Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,23258,21358,17116,18575
"Revenue 23258 21358 17116 18575  Other Revenue, Total - - - -","Revenue 23258 21358 17116 18575  Other Revenue, Total - - - -","Revenue 23258 21358 17116 18575  Other Revenue, Total - - - -","Revenue 23258 21358 17116 18575  Other Revenue, Total - - - -","Revenue 23258 21358 17116 18575  Other Revenue, Total - - - -"
Revenue,23258,21358,17116,18575
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",16442,15392,12112,13243
Gross Profit,6816,5966,5004,5332
Total Operating Expenses,19080,17978,14381,15429
"Selling/General/Admin. Expenses, Total 1830 1720 1655 1786  Research & Development 454 505 367 234  Depreciation / Amortization 1301 1142 135 142  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 15 111 23  Other Operating Expenses, Total -947 -781 1 1","Selling/General/Admin. Expenses, Total 1830 1720 1655 1786  Research & Development 454 505 367 234  Depreciation / Amortization 1301 1142 135 142  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 15 111 23  Other Operating Expenses, Total -947 -781 1 1","Selling/General/Admin. Expenses, Total 1830 1720 1655 1786  Research & Development 454 505 367 234  Depreciation / Amortization 1301 1142 135 142  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 15 111 23  Other Operating Expenses, Total -947 -781 1 1","Selling/General/Admin. Expenses, Total 1830 1720 1655 1786  Research & Development 454 505 367 234  Depreciation / Amortization 1301 1142 135 142  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 15 111 23  Other Operating Expenses, Total -947 -781 1 1","Selling/General/Admin. Expenses, Total 1830 1720 1655 1786  Research & Development 454 505 367 234  Depreciation / Amortization 1301 1142 135 142  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 15 111 23  Other Operating Expenses, Total -947 -781 1 1"
"Selling/General/Admin. Expenses, Total",1830,1720,1655,1786
Research & Development,454,505,367,234
Depreciation / Amortization,1301,1142,135,142
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,15,111,23
"Other Operating Expenses, Total",-947,-781,1,1
Operating Income,4178,3380,2735,3146
"Interest Income (Expense), Net Non-Operating",-,472,289,325
Gain (Loss) on Sale of Assets,-196,-,3,85
"Other, Net",-3488,-544,89,76
Net Income Before Taxes,7862,3924,3116,3632
Provision for Income Taxes,2748,962,864,796
Net Income After Taxes,5114,2962,2252,2836
Minority Interest,2095,2032,-118,-113
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,5022,2817,2134,2723
Total Extraordinary Items,-,-,-,-
Net Income,5022,2817,2134,2723
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,5022,2817,2133,2722
Dilution Adjustment,-,-,-,-
Diluted Net Income,5022,2817,2133,2722
Diluted Weighted Average Shares,24.38,25.46,25.96,26.94
Diluted EPS Excluding Extraordinary Items,205.98,110.65,82.16,101.03
DPS - Common Stock Primary Issue,50,50,50,50
Diluted Normalized EPS,122.99,91,85.16,99.23
