Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,31041,27356,21815.52,22562.46
"Revenue 31041 27356.2 21815.52 22562.46  Other Revenue, Total - - - -","Revenue 31041 27356.2 21815.52 22562.46  Other Revenue, Total - - - -","Revenue 31041 27356.2 21815.52 22562.46  Other Revenue, Total - - - -","Revenue 31041 27356.2 21815.52 22562.46  Other Revenue, Total - - - -","Revenue 31041 27356.2 21815.52 22562.46  Other Revenue, Total - - - -"
Revenue,31041,27356.2,21815.52,22562.46
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",26870,25220.87,18361.78,18332.53
Gross Profit,4171,2135.33,3453.73,4229.94
Total Operating Expenses,30000,28176.15,20938.66,21220.47
"Selling/General/Admin. Expenses, Total 3130 2897.89 2853.37 2757.66  Research & Development - - 6.7 9.62  Depreciation / Amortization 1063 - 43.91 34.73  Interest Expense (Income) - Net Operating -18 - - -  Unusual Expense (Income) - 57.39 -327.11 85.94  Other Operating Expenses, Total -991 - - -","Selling/General/Admin. Expenses, Total 3130 2897.89 2853.37 2757.66  Research & Development - - 6.7 9.62  Depreciation / Amortization 1063 - 43.91 34.73  Interest Expense (Income) - Net Operating -18 - - -  Unusual Expense (Income) - 57.39 -327.11 85.94  Other Operating Expenses, Total -991 - - -","Selling/General/Admin. Expenses, Total 3130 2897.89 2853.37 2757.66  Research & Development - - 6.7 9.62  Depreciation / Amortization 1063 - 43.91 34.73  Interest Expense (Income) - Net Operating -18 - - -  Unusual Expense (Income) - 57.39 -327.11 85.94  Other Operating Expenses, Total -991 - - -","Selling/General/Admin. Expenses, Total 3130 2897.89 2853.37 2757.66  Research & Development - - 6.7 9.62  Depreciation / Amortization 1063 - 43.91 34.73  Interest Expense (Income) - Net Operating -18 - - -  Unusual Expense (Income) - 57.39 -327.11 85.94  Other Operating Expenses, Total -991 - - -","Selling/General/Admin. Expenses, Total 3130 2897.89 2853.37 2757.66  Research & Development - - 6.7 9.62  Depreciation / Amortization 1063 - 43.91 34.73  Interest Expense (Income) - Net Operating -18 - - -  Unusual Expense (Income) - 57.39 -327.11 85.94  Other Operating Expenses, Total -991 - - -"
"Selling/General/Admin. Expenses, Total",3130,2897.89,2853.37,2757.66
Research & Development,-,-,6.7,9.62
Depreciation / Amortization,1063,-,43.91,34.73
Interest Expense (Income) - Net Operating,-18,-,-,-
Unusual Expense (Income),-,57.39,-327.11,85.94
"Other Operating Expenses, Total",-991,-,-,-
Operating Income,1041,-819.95,876.86,1341.99
"Interest Income (Expense), Net Non-Operating",-,32.75,35.44,40.09
Gain (Loss) on Sale of Assets,1,0.09,2.24,1.36
"Other, Net",-75,32.02,18.17,4.19
Net Income Before Taxes,1115,-755.09,932.71,1387.63
Provision for Income Taxes,104,212.6,203.29,425.16
Net Income After Taxes,1011,-967.69,729.41,962.47
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1011,-967.69,729.41,962.47
Total Extraordinary Items,-,-,-,-
Net Income,1011,-967.69,729.41,962.47
Total Adjustments to Net Income,-,-0,-0,-
Income Available to Common Excluding Extraordinary Items,1011,-967.69,729.41,962.47
Dilution Adjustment,-,-,-,-
Diluted Net Income,1011,-967.69,729.41,962.47
Diluted Weighted Average Shares,3.84,3.84,3.84,3.84
Diluted EPS Excluding Extraordinary Items,263.17,-252.05,190.18,250.94
DPS - Common Stock Primary Issue,-,6,30,80
Diluted Normalized EPS,182.05,-242.35,123.03,266.24
