Period Ending:,202231/08,202131/08,202031/08,Unnamed: 4
Total Revenue,11721,11786.08,12164.49,-
"Revenue 11721 11786.08 12164.49 -  Other Revenue, Total - - - -","Revenue 11721 11786.08 12164.49 -  Other Revenue, Total - - - -","Revenue 11721 11786.08 12164.49 -  Other Revenue, Total - - - -","Revenue 11721 11786.08 12164.49 -  Other Revenue, Total - - - -","Revenue 11721 11786.08 12164.49 -  Other Revenue, Total - - - -"
Revenue,11721,11786.08,12164.49,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",9342,9506.07,9780.1,-
Gross Profit,2379,2280.01,2384.39,-
Total Operating Expenses,11520,11543.12,12055.6,-
"Selling/General/Admin. Expenses, Total 2178 1902.9 1891.74 -  Research & Development - 20.72 28.2 -  Depreciation / Amortization 217 173.7 220.71 -  Interest Expense (Income) - Net Operating -29 - - -  Unusual Expense (Income) - -60.28 134.86 -  Other Operating Expenses, Total -188 - - -","Selling/General/Admin. Expenses, Total 2178 1902.9 1891.74 -  Research & Development - 20.72 28.2 -  Depreciation / Amortization 217 173.7 220.71 -  Interest Expense (Income) - Net Operating -29 - - -  Unusual Expense (Income) - -60.28 134.86 -  Other Operating Expenses, Total -188 - - -","Selling/General/Admin. Expenses, Total 2178 1902.9 1891.74 -  Research & Development - 20.72 28.2 -  Depreciation / Amortization 217 173.7 220.71 -  Interest Expense (Income) - Net Operating -29 - - -  Unusual Expense (Income) - -60.28 134.86 -  Other Operating Expenses, Total -188 - - -","Selling/General/Admin. Expenses, Total 2178 1902.9 1891.74 -  Research & Development - 20.72 28.2 -  Depreciation / Amortization 217 173.7 220.71 -  Interest Expense (Income) - Net Operating -29 - - -  Unusual Expense (Income) - -60.28 134.86 -  Other Operating Expenses, Total -188 - - -","Selling/General/Admin. Expenses, Total 2178 1902.9 1891.74 -  Research & Development - 20.72 28.2 -  Depreciation / Amortization 217 173.7 220.71 -  Interest Expense (Income) - Net Operating -29 - - -  Unusual Expense (Income) - -60.28 134.86 -  Other Operating Expenses, Total -188 - - -"
"Selling/General/Admin. Expenses, Total",2178,1902.9,1891.74,-
Research & Development,-,20.72,28.2,-
Depreciation / Amortization,217,173.7,220.71,-
Interest Expense (Income) - Net Operating,-29,-,-,-
Unusual Expense (Income),-,-60.28,134.86,-
"Other Operating Expenses, Total",-188,-,-,-
Operating Income,201,242.96,108.89,-
"Interest Income (Expense), Net Non-Operating",-,-37.27,-40.19,-
Gain (Loss) on Sale of Assets,178,1.56,0.28,-
"Other, Net",-339,21.11,10.79,-
Net Income Before Taxes,362,228.36,79.78,-
Provision for Income Taxes,134,65.27,52.44,-
Net Income After Taxes,228,163.09,27.34,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,228,163.09,27.34,-
Total Extraordinary Items,-,-,-,-
Net Income,228,163.09,27.34,-
Total Adjustments to Net Income,-,-0,-0,-
Income Available to Common Excluding Extraordinary Items,228,163.09,27.34,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,228,163.09,27.34,-
Diluted Weighted Average Shares,1.92,1.92,1.92,-
Diluted EPS Excluding Extraordinary Items,118.75,84.94,14.24,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,61.52,61.94,59.8,-
