Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,689777,569325,365135,361249
"Revenue 689777 569325 365135 361249  Other Revenue, Total - - - -","Revenue 689777 569325 365135 361249  Other Revenue, Total - - - -","Revenue 689777 569325 365135 361249  Other Revenue, Total - - - -","Revenue 689777 569325 365135 361249  Other Revenue, Total - - - -","Revenue 689777 569325 365135 361249  Other Revenue, Total - - - -"
Revenue,689777,569325,365135,361249
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",565268,462236,294761,290465
Gross Profit,124509,107089,70374,70784
Total Operating Expenses,671914,549730,355944,347040
"Selling/General/Admin. Expenses, Total 94576 76752 51767 51583  Research & Development - - - -  Depreciation / Amortization 17239 15158 8882 7515  Interest Expense (Income) - Net Operating -2528 -2203 24 98  Unusual Expense (Income) - 12490 5419 1660  Other Operating Expenses, Total -2641 -2213 -4909 -4281","Selling/General/Admin. Expenses, Total 94576 76752 51767 51583  Research & Development - - - -  Depreciation / Amortization 17239 15158 8882 7515  Interest Expense (Income) - Net Operating -2528 -2203 24 98  Unusual Expense (Income) - 12490 5419 1660  Other Operating Expenses, Total -2641 -2213 -4909 -4281","Selling/General/Admin. Expenses, Total 94576 76752 51767 51583  Research & Development - - - -  Depreciation / Amortization 17239 15158 8882 7515  Interest Expense (Income) - Net Operating -2528 -2203 24 98  Unusual Expense (Income) - 12490 5419 1660  Other Operating Expenses, Total -2641 -2213 -4909 -4281","Selling/General/Admin. Expenses, Total 94576 76752 51767 51583  Research & Development - - - -  Depreciation / Amortization 17239 15158 8882 7515  Interest Expense (Income) - Net Operating -2528 -2203 24 98  Unusual Expense (Income) - 12490 5419 1660  Other Operating Expenses, Total -2641 -2213 -4909 -4281","Selling/General/Admin. Expenses, Total 94576 76752 51767 51583  Research & Development - - - -  Depreciation / Amortization 17239 15158 8882 7515  Interest Expense (Income) - Net Operating -2528 -2203 24 98  Unusual Expense (Income) - 12490 5419 1660  Other Operating Expenses, Total -2641 -2213 -4909 -4281"
"Selling/General/Admin. Expenses, Total",94576,76752,51767,51583
Research & Development,-,-,-,-
Depreciation / Amortization,17239,15158,8882,7515
Interest Expense (Income) - Net Operating,-2528,-2203,24,98
Unusual Expense (Income),-,12490,5419,1660
"Other Operating Expenses, Total",-2641,-2213,-4909,-4281
Operating Income,17863,19595,9191,14209
"Interest Income (Expense), Net Non-Operating",-,-1007,-1319,-867
Gain (Loss) on Sale of Assets,-527,-150,-,-
"Other, Net",1360,7741,-131,-23
Net Income Before Taxes,17030,12004,7741,13319
Provision for Income Taxes,7065,9799,5074,4344
Net Income After Taxes,9965,2205,2667,8975
Minority Interest,4264,6507,-756,-748
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,10207,832,1911,8227
Total Extraordinary Items,-,-,-,-
Net Income,10207,832,1911,8227
Total Adjustments to Net Income,-,-,-1,-
Income Available to Common Excluding Extraordinary Items,10207,832,1910,8227
Dilution Adjustment,-,0.928,-,-
Diluted Net Income,10207,831.07,1910,8227
Diluted Weighted Average Shares,125.93,125.92,125.88,125.79
Diluted EPS Excluding Extraordinary Items,81.05,6.6,15.17,65.4
DPS - Common Stock Primary Issue,25,31,10,24
Diluted Normalized EPS,119.15,110.28,43.15,74.29
