Period Ending:,202120/06,202020/06,201920/06,201820/06
Total Revenue,132499,124909,148226,148676
"Revenue 132499 124909 148226 148676  Other Revenue, Total - - - -","Revenue 132499 124909 148226 148676  Other Revenue, Total - - - -","Revenue 132499 124909 148226 148676  Other Revenue, Total - - - -","Revenue 132499 124909 148226 148676  Other Revenue, Total - - - -","Revenue 132499 124909 148226 148676  Other Revenue, Total - - - -"
Revenue,132499,124909,148226,148676
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",90652,89969,107048,108186
Gross Profit,41847,34940,41178,40490
Total Operating Expenses,121110,113350,142845,141470
"Selling/General/Admin. Expenses, Total 32981 29009 34543 34105  Research & Development - - - -  Depreciation / Amortization 2785 2650 3140 3183  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 117 -2372 3019 775  Other Operating Expenses, Total -5425 -5906 -4905 -4779","Selling/General/Admin. Expenses, Total 32981 29009 34543 34105  Research & Development - - - -  Depreciation / Amortization 2785 2650 3140 3183  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 117 -2372 3019 775  Other Operating Expenses, Total -5425 -5906 -4905 -4779","Selling/General/Admin. Expenses, Total 32981 29009 34543 34105  Research & Development - - - -  Depreciation / Amortization 2785 2650 3140 3183  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 117 -2372 3019 775  Other Operating Expenses, Total -5425 -5906 -4905 -4779","Selling/General/Admin. Expenses, Total 32981 29009 34543 34105  Research & Development - - - -  Depreciation / Amortization 2785 2650 3140 3183  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 117 -2372 3019 775  Other Operating Expenses, Total -5425 -5906 -4905 -4779","Selling/General/Admin. Expenses, Total 32981 29009 34543 34105  Research & Development - - - -  Depreciation / Amortization 2785 2650 3140 3183  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 117 -2372 3019 775  Other Operating Expenses, Total -5425 -5906 -4905 -4779"
"Selling/General/Admin. Expenses, Total",32981,29009,34543,34105
Research & Development,-,-,-,-
Depreciation / Amortization,2785,2650,3140,3183
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),117,-2372,3019,775
"Other Operating Expenses, Total",-5425,-5906,-4905,-4779
Operating Income,11389,11559,5381,7206
"Interest Income (Expense), Net Non-Operating",-43,284,338,198
Gain (Loss) on Sale of Assets,523,1468,-22,71
"Other, Net",1029,799,1014,652
Net Income Before Taxes,12898,14110,6711,8127
Provision for Income Taxes,3913,3161,2326,2532
Net Income After Taxes,8985,10949,4385,5595
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,8985,10949,4385,5595
Total Extraordinary Items,-,-,-,-
Net Income,8985,10949,4385,5595
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,8985,10949,4384,5594
Dilution Adjustment,-,-,-,-
Diluted Net Income,8985,10949,4384,5594
Diluted Weighted Average Shares,69.27,69.26,69.23,72.8
Diluted EPS Excluding Extraordinary Items,129.72,158.1,63.33,76.84
DPS - Common Stock Primary Issue,33.5,30.5,25,24
Diluted Normalized EPS,125.63,115.07,92.03,83.5
