Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,249442,242458,220712,226371
"Revenue - 242458 220712 226371  Other Revenue, Total - - - -","Revenue - 242458 220712 226371  Other Revenue, Total - - - -","Revenue - 242458 220712 226371  Other Revenue, Total - - - -","Revenue - 242458 220712 226371  Other Revenue, Total - - - -","Revenue - 242458 220712 226371  Other Revenue, Total - - - -"
Revenue,-,242458,220712,226371
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",-,210620,189232,197283
Gross Profit,-,31838,31480,29088
Total Operating Expenses,-,229821,207779,215379
"Selling/General/Admin. Expenses, Total - 19190 16933 16128  Research & Development 1771 - 1666 1443  Depreciation / Amortization - - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 10 -53 524  Other Operating Expenses, Total -3522 1 1 1","Selling/General/Admin. Expenses, Total - 19190 16933 16128  Research & Development 1771 - 1666 1443  Depreciation / Amortization - - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 10 -53 524  Other Operating Expenses, Total -3522 1 1 1","Selling/General/Admin. Expenses, Total - 19190 16933 16128  Research & Development 1771 - 1666 1443  Depreciation / Amortization - - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 10 -53 524  Other Operating Expenses, Total -3522 1 1 1","Selling/General/Admin. Expenses, Total - 19190 16933 16128  Research & Development 1771 - 1666 1443  Depreciation / Amortization - - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 10 -53 524  Other Operating Expenses, Total -3522 1 1 1","Selling/General/Admin. Expenses, Total - 19190 16933 16128  Research & Development 1771 - 1666 1443  Depreciation / Amortization - - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 10 -53 524  Other Operating Expenses, Total -3522 1 1 1"
"Selling/General/Admin. Expenses, Total",-,19190,16933,16128
Research & Development,1771,-,1666,1443
Depreciation / Amortization,-,-,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,10,-53,524
"Other Operating Expenses, Total",-3522,1,1,1
Operating Income,-,12637,12933,10992
"Interest Income (Expense), Net Non-Operating",-,4391,1533,2231
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-,174,433,516
Net Income Before Taxes,-,17202,14899,13739
Provision for Income Taxes,-,5188,5251,4035
Net Income After Taxes,-,12014,9648,9704
Minority Interest,-,528,637,91
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-,12542,10285,9795
Total Extraordinary Items,-,-,-,-
Net Income,-,12542,10285,9795
Total Adjustments to Net Income,-,-1,-,-
Income Available to Common Excluding Extraordinary Items,-,12541,10285,9795
Dilution Adjustment,-,-,-,-
Diluted Net Income,-,12541,10285,9795
Diluted Weighted Average Shares,-,37.54,37.83,37.97
Diluted EPS Excluding Extraordinary Items,-,334.09,271.9,258
DPS - Common Stock Primary Issue,223,172,140,143
Diluted Normalized EPS,-,335.05,271.76,268.51
