Period Ending:,202330/04,202230/04,202130/04,202030/04
Total Revenue,26429,23401,19597.06,15730.29
"Revenue 26429 23401 19597.06 15730.29  Other Revenue, Total - - - -","Revenue 26429 23401 19597.06 15730.29  Other Revenue, Total - - - -","Revenue 26429 23401 19597.06 15730.29  Other Revenue, Total - - - -","Revenue 26429 23401 19597.06 15730.29  Other Revenue, Total - - - -","Revenue 26429 23401 19597.06 15730.29  Other Revenue, Total - - - -"
Revenue,26429,23401,19597.06,15730.29
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",19708,17308,13480.72,10955.34
Gross Profit,6721,6093,6116.35,4774.95
Total Operating Expenses,25080,22199,18642.94,15033
"Selling/General/Admin. Expenses, Total 5372 4876 5115.13 4044.91  Research & Development - - - -  Depreciation / Amortization 229 210 - -  Interest Expense (Income) - Net Operating -4 -6 - -  Unusual Expense (Income) - 41.97 47.09 32.75  Other Operating Expenses, Total -225 -189 - -","Selling/General/Admin. Expenses, Total 5372 4876 5115.13 4044.91  Research & Development - - - -  Depreciation / Amortization 229 210 - -  Interest Expense (Income) - Net Operating -4 -6 - -  Unusual Expense (Income) - 41.97 47.09 32.75  Other Operating Expenses, Total -225 -189 - -","Selling/General/Admin. Expenses, Total 5372 4876 5115.13 4044.91  Research & Development - - - -  Depreciation / Amortization 229 210 - -  Interest Expense (Income) - Net Operating -4 -6 - -  Unusual Expense (Income) - 41.97 47.09 32.75  Other Operating Expenses, Total -225 -189 - -","Selling/General/Admin. Expenses, Total 5372 4876 5115.13 4044.91  Research & Development - - - -  Depreciation / Amortization 229 210 - -  Interest Expense (Income) - Net Operating -4 -6 - -  Unusual Expense (Income) - 41.97 47.09 32.75  Other Operating Expenses, Total -225 -189 - -","Selling/General/Admin. Expenses, Total 5372 4876 5115.13 4044.91  Research & Development - - - -  Depreciation / Amortization 229 210 - -  Interest Expense (Income) - Net Operating -4 -6 - -  Unusual Expense (Income) - 41.97 47.09 32.75  Other Operating Expenses, Total -225 -189 - -"
"Selling/General/Admin. Expenses, Total",5372,4876,5115.13,4044.91
Research & Development,-,-,-,-
Depreciation / Amortization,229,210,-,-
Interest Expense (Income) - Net Operating,-4,-6,-,-
Unusual Expense (Income),-,41.97,47.09,32.75
"Other Operating Expenses, Total",-225,-189,-,-
Operating Income,1349,1202,954.12,697.29
"Interest Income (Expense), Net Non-Operating",-,-2.58,-4.08,9.09
Gain (Loss) on Sale of Assets,-44,-19,0.58,4.3
"Other, Net",89,49,85.14,3.91
Net Income Before Taxes,1304,1172,1035.75,714.59
Provision for Income Taxes,454,443.36,379.16,308.61
Net Income After Taxes,850,729,656.59,405.97
Minority Interest,207,198,-2.09,2.03
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,865,709,654.51,408
Total Extraordinary Items,-,-,-,-
Net Income,865,709.96,654.51,408
Total Adjustments to Net Income,-,-0,-0,-0
Income Available to Common Excluding Extraordinary Items,865,709.96,654.5,408
Dilution Adjustment,-,-,-,-
Diluted Net Income,865,709,654.5,408
Diluted Weighted Average Shares,6.31,6.3,6.29,6.33
Diluted EPS Excluding Extraordinary Items,136.99,112.48,104.03,64.48
DPS - Common Stock Primary Issue,-,16,14,10
Diluted Normalized EPS,135.8,117.1,120.18,73.69
