Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,8917,8207,7484.96,7252.04
"Revenue 8917 8207 7484.96 7252.04  Other Revenue, Total - - - -","Revenue 8917 8207 7484.96 7252.04  Other Revenue, Total - - - -","Revenue 8917 8207 7484.96 7252.04  Other Revenue, Total - - - -","Revenue 8917 8207 7484.96 7252.04  Other Revenue, Total - - - -","Revenue 8917 8207 7484.96 7252.04  Other Revenue, Total - - - -"
Revenue,8917,8207,7484.96,7252.04
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",6255,5811,5364.67,5164.55
Gross Profit,2662,2396,2120.29,2087.49
Total Operating Expenses,7416,6999,6260.03,6100.33
"Selling/General/Admin. Expenses, Total 1318 1062 935.16 914.61  Research & Development - - - -  Depreciation / Amortization 1251 1140 30.12 36.83  Interest Expense (Income) - Net Operating -62 -59 - -  Unusual Expense (Income) - - -66.2 -14.25  Other Operating Expenses, Total -1346 -955 -3.72 -1.41","Selling/General/Admin. Expenses, Total 1318 1062 935.16 914.61  Research & Development - - - -  Depreciation / Amortization 1251 1140 30.12 36.83  Interest Expense (Income) - Net Operating -62 -59 - -  Unusual Expense (Income) - - -66.2 -14.25  Other Operating Expenses, Total -1346 -955 -3.72 -1.41","Selling/General/Admin. Expenses, Total 1318 1062 935.16 914.61  Research & Development - - - -  Depreciation / Amortization 1251 1140 30.12 36.83  Interest Expense (Income) - Net Operating -62 -59 - -  Unusual Expense (Income) - - -66.2 -14.25  Other Operating Expenses, Total -1346 -955 -3.72 -1.41","Selling/General/Admin. Expenses, Total 1318 1062 935.16 914.61  Research & Development - - - -  Depreciation / Amortization 1251 1140 30.12 36.83  Interest Expense (Income) - Net Operating -62 -59 - -  Unusual Expense (Income) - - -66.2 -14.25  Other Operating Expenses, Total -1346 -955 -3.72 -1.41","Selling/General/Admin. Expenses, Total 1318 1062 935.16 914.61  Research & Development - - - -  Depreciation / Amortization 1251 1140 30.12 36.83  Interest Expense (Income) - Net Operating -62 -59 - -  Unusual Expense (Income) - - -66.2 -14.25  Other Operating Expenses, Total -1346 -955 -3.72 -1.41"
"Selling/General/Admin. Expenses, Total",1318,1062,935.16,914.61
Research & Development,-,-,-,-
Depreciation / Amortization,1251,1140,30.12,36.83
Interest Expense (Income) - Net Operating,-62,-59,-,-
Unusual Expense (Income),-,-,-66.2,-14.25
"Other Operating Expenses, Total",-1346,-955,-3.72,-1.41
Operating Income,1501,1208,1224.93,1151.71
"Interest Income (Expense), Net Non-Operating",-,-56.24,-72.27,-82.13
Gain (Loss) on Sale of Assets,-,126,-,-
"Other, Net",62,-278,-,-
Net Income Before Taxes,1439,1360,1152.66,1069.58
Provision for Income Taxes,423,271,394.31,341.68
Net Income After Taxes,1016,1089,758.35,727.9
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1016,1089,758.35,727.9
Total Extraordinary Items,-,-,-,-
Net Income,1016,1089,758.35,727.9
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,1016,1089,758.35,727.9
Dilution Adjustment,-0.381,-0.654,-,-
Diluted Net Income,1016.38,1089.65,758.35,727.9
Diluted Weighted Average Shares,18.12,18.1,17.91,17.91
Diluted EPS Excluding Extraordinary Items,56.08,60.21,42.35,40.65
DPS - Common Stock Primary Issue,10,5,-,-
Diluted Normalized EPS,49.62,42.62,39.92,40.11
