Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,11429,12576,11046.14,11046.68
"Revenue 11429 12576.57 11046.14 11046.68  Other Revenue, Total - - - -","Revenue 11429 12576.57 11046.14 11046.68  Other Revenue, Total - - - -","Revenue 11429 12576.57 11046.14 11046.68  Other Revenue, Total - - - -","Revenue 11429 12576.57 11046.14 11046.68  Other Revenue, Total - - - -","Revenue 11429 12576.57 11046.14 11046.68  Other Revenue, Total - - - -"
Revenue,11429,12576.57,11046.14,11046.68
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",9435,8740.6,8269.03,9266.95
Gross Profit,1994,3835.97,2777.11,1779.72
Total Operating Expenses,11454,11264.2,10372.53,11276.28
"Selling/General/Admin. Expenses, Total 2019 1998.67 1857.13 1567.64  Research & Development - - 26.78 38.32  Depreciation / Amortization 123 - - -  Interest Expense (Income) - Net Operating -28 - - -  Unusual Expense (Income) - 524.94 219.59 403.37  Other Operating Expenses, Total -132 - - -","Selling/General/Admin. Expenses, Total 2019 1998.67 1857.13 1567.64  Research & Development - - 26.78 38.32  Depreciation / Amortization 123 - - -  Interest Expense (Income) - Net Operating -28 - - -  Unusual Expense (Income) - 524.94 219.59 403.37  Other Operating Expenses, Total -132 - - -","Selling/General/Admin. Expenses, Total 2019 1998.67 1857.13 1567.64  Research & Development - - 26.78 38.32  Depreciation / Amortization 123 - - -  Interest Expense (Income) - Net Operating -28 - - -  Unusual Expense (Income) - 524.94 219.59 403.37  Other Operating Expenses, Total -132 - - -","Selling/General/Admin. Expenses, Total 2019 1998.67 1857.13 1567.64  Research & Development - - 26.78 38.32  Depreciation / Amortization 123 - - -  Interest Expense (Income) - Net Operating -28 - - -  Unusual Expense (Income) - 524.94 219.59 403.37  Other Operating Expenses, Total -132 - - -","Selling/General/Admin. Expenses, Total 2019 1998.67 1857.13 1567.64  Research & Development - - 26.78 38.32  Depreciation / Amortization 123 - - -  Interest Expense (Income) - Net Operating -28 - - -  Unusual Expense (Income) - 524.94 219.59 403.37  Other Operating Expenses, Total -132 - - -"
"Selling/General/Admin. Expenses, Total",2019,1998.67,1857.13,1567.64
Research & Development,-,-,26.78,38.32
Depreciation / Amortization,123,-,-,-
Interest Expense (Income) - Net Operating,-28,-,-,-
Unusual Expense (Income),-,524.94,219.59,403.37
"Other Operating Expenses, Total",-132,-,-,-
Operating Income,-25,1312.36,673.6,-229.6
"Interest Income (Expense), Net Non-Operating",-,-1.52,-48.07,-43.1
Gain (Loss) on Sale of Assets,21,1473.09,21.22,-
"Other, Net",285,-16.35,48.45,23.04
Net Income Before Taxes,-331,2767.58,695.2,-249.66
Provision for Income Taxes,108,907.68,152.77,191.05
Net Income After Taxes,-439,1859.9,542.43,-440.7
Minority Interest,104,16.44,3.85,-0.01
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-409,1876.34,546.29,-440.71
Total Extraordinary Items,-,-,-,-
Net Income,-409,1876.34,546.29,-440.71
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,-409,1876.34,546.29,-440.71
Dilution Adjustment,-,-,-,-
Diluted Net Income,-409,1876.34,546.29,-440.71
Diluted Weighted Average Shares,16.84,17.17,17.37,17.37
Diluted EPS Excluding Extraordinary Items,-24.28,109.31,31.45,-25.38
DPS - Common Stock Primary Issue,3,3,3,-
Diluted Normalized EPS,9.2,76.61,45.05,-5.6
