Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,6600,6689,5351.93,5052.79
"Revenue 6600 6689 5351.93 5052.79  Other Revenue, Total - - - -","Revenue 6600 6689 5351.93 5052.79  Other Revenue, Total - - - -","Revenue 6600 6689 5351.93 5052.79  Other Revenue, Total - - - -","Revenue 6600 6689 5351.93 5052.79  Other Revenue, Total - - - -","Revenue 6600 6689 5351.93 5052.79  Other Revenue, Total - - - -"
Revenue,6600,6689,5351.93,5052.79
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3390,3148,2527.51,2479.39
Gross Profit,3210,3541,2824.42,2573.4
Total Operating Expenses,4969,4484,3623.83,3577.03
"Selling/General/Admin. Expenses, Total 1579 1245 1086.55 1034.68  Research & Development - 91 17.91 68.63  Depreciation / Amortization 173 132 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -1.56 -8.13 -5.67  Other Operating Expenses, Total -173 -132 - -","Selling/General/Admin. Expenses, Total 1579 1245 1086.55 1034.68  Research & Development - 91 17.91 68.63  Depreciation / Amortization 173 132 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -1.56 -8.13 -5.67  Other Operating Expenses, Total -173 -132 - -","Selling/General/Admin. Expenses, Total 1579 1245 1086.55 1034.68  Research & Development - 91 17.91 68.63  Depreciation / Amortization 173 132 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -1.56 -8.13 -5.67  Other Operating Expenses, Total -173 -132 - -","Selling/General/Admin. Expenses, Total 1579 1245 1086.55 1034.68  Research & Development - 91 17.91 68.63  Depreciation / Amortization 173 132 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -1.56 -8.13 -5.67  Other Operating Expenses, Total -173 -132 - -","Selling/General/Admin. Expenses, Total 1579 1245 1086.55 1034.68  Research & Development - 91 17.91 68.63  Depreciation / Amortization 173 132 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -1.56 -8.13 -5.67  Other Operating Expenses, Total -173 -132 - -"
"Selling/General/Admin. Expenses, Total",1579,1245,1086.55,1034.68
Research & Development,-,91,17.91,68.63
Depreciation / Amortization,173,132,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-1.56,-8.13,-5.67
"Other Operating Expenses, Total",-173,-132,-,-
Operating Income,1631,2205,1728.1,1475.76
"Interest Income (Expense), Net Non-Operating",-,38.17,32.69,54.65
Gain (Loss) on Sale of Assets,25,-5,-,-
"Other, Net",-265,-102,6,10.83
Net Income Before Taxes,1871,2312,1766.79,1541.23
Provision for Income Taxes,572,721,574.66,504.45
Net Income After Taxes,1299,1591,1192.13,1036.79
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1299,1591,1192.13,1036.79
Total Extraordinary Items,-,-,-,-
Net Income,1299,1591,1192.13,1036.79
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,1299,1591,1192.13,1036.79
Dilution Adjustment,-0.778,-0.312,-,-
Diluted Net Income,1299.78,1591.31,1192.13,1036.79
Diluted Weighted Average Shares,13.54,15.57,15.46,15.37
Diluted EPS Excluding Extraordinary Items,95.96,102.23,77.09,67.47
DPS - Common Stock Primary Issue,47,45,35,35
Diluted Normalized EPS,83.29,91.14,76.74,67.22
