Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Revenue,5646,4844,4152.65,3426.85
"Revenue 5646 4844.89 4152.65 3426.85  Other Revenue, Total - - - -","Revenue 5646 4844.89 4152.65 3426.85  Other Revenue, Total - - - -","Revenue 5646 4844.89 4152.65 3426.85  Other Revenue, Total - - - -","Revenue 5646 4844.89 4152.65 3426.85  Other Revenue, Total - - - -","Revenue 5646 4844.89 4152.65 3426.85  Other Revenue, Total - - - -"
Revenue,5646,4844.89,4152.65,3426.85
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",874,821.7,735.3,605.11
Gross Profit,4772,4023.19,3417.35,2821.75
Total Operating Expenses,5183,4491.99,3644.01,3239.63
"Selling/General/Admin. Expenses, Total 4309 3417.83 2667.85 2424.7  Research & Development 259 225.25 210.85 209.82  Depreciation / Amortization 39 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 27.2 30 -  Other Operating Expenses, Total -298 -0 - -","Selling/General/Admin. Expenses, Total 4309 3417.83 2667.85 2424.7  Research & Development 259 225.25 210.85 209.82  Depreciation / Amortization 39 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 27.2 30 -  Other Operating Expenses, Total -298 -0 - -","Selling/General/Admin. Expenses, Total 4309 3417.83 2667.85 2424.7  Research & Development 259 225.25 210.85 209.82  Depreciation / Amortization 39 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 27.2 30 -  Other Operating Expenses, Total -298 -0 - -","Selling/General/Admin. Expenses, Total 4309 3417.83 2667.85 2424.7  Research & Development 259 225.25 210.85 209.82  Depreciation / Amortization 39 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 27.2 30 -  Other Operating Expenses, Total -298 -0 - -","Selling/General/Admin. Expenses, Total 4309 3417.83 2667.85 2424.7  Research & Development 259 225.25 210.85 209.82  Depreciation / Amortization 39 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 27.2 30 -  Other Operating Expenses, Total -298 -0 - -"
"Selling/General/Admin. Expenses, Total",4309,3417.83,2667.85,2424.7
Research & Development,259,225.25,210.85,209.82
Depreciation / Amortization,39,-,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,27.2,30,-
"Other Operating Expenses, Total",-298,-0,-,-
Operating Income,463,352.9,508.65,187.22
"Interest Income (Expense), Net Non-Operating",-,0.77,-2.53,-9.78
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",12,2.53,-0.67,0.07
Net Income Before Taxes,451,356.2,505.46,177.51
Provision for Income Taxes,130,132.37,150.48,67.62
Net Income After Taxes,321,223.84,354.98,109.9
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,321,223.84,354.98,109.9
Total Extraordinary Items,-,-,-,-
Net Income,321,223.84,354.98,109.9
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,321,223.84,354.98,109.9
Dilution Adjustment,-0.078,-,-,-
Diluted Net Income,321.08,223.84,354.98,109.9
Diluted Weighted Average Shares,32.5,32.5,32.43,15.39
Diluted EPS Excluding Extraordinary Items,9.88,6.89,10.95,7.14
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,8.67,7.41,11.6,7.14
