Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,13029,11934,11002.26,11490.32
"Revenue 13029 11934 11002.26 11490.32  Other Revenue, Total - - - -","Revenue 13029 11934 11002.26 11490.32  Other Revenue, Total - - - -","Revenue 13029 11934 11002.26 11490.32  Other Revenue, Total - - - -","Revenue 13029 11934 11002.26 11490.32  Other Revenue, Total - - - -","Revenue 13029 11934 11002.26 11490.32  Other Revenue, Total - - - -"
Revenue,13029,11934,11002.26,11490.32
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",10119,9544,9045.18,9521.34
Gross Profit,2910,2390,1957.09,1968.98
Total Operating Expenses,11289,10647,10146.7,10685.87
"Selling/General/Admin. Expenses, Total 1170 1103 1060.77 1162.09  Research & Development - - - -  Depreciation / Amortization 542 544 - -  Interest Expense (Income) - Net Operating -14 -17 - -  Unusual Expense (Income) - 13.75 40.74 2.43  Other Operating Expenses, Total -528 -527 - -","Selling/General/Admin. Expenses, Total 1170 1103 1060.77 1162.09  Research & Development - - - -  Depreciation / Amortization 542 544 - -  Interest Expense (Income) - Net Operating -14 -17 - -  Unusual Expense (Income) - 13.75 40.74 2.43  Other Operating Expenses, Total -528 -527 - -","Selling/General/Admin. Expenses, Total 1170 1103 1060.77 1162.09  Research & Development - - - -  Depreciation / Amortization 542 544 - -  Interest Expense (Income) - Net Operating -14 -17 - -  Unusual Expense (Income) - 13.75 40.74 2.43  Other Operating Expenses, Total -528 -527 - -","Selling/General/Admin. Expenses, Total 1170 1103 1060.77 1162.09  Research & Development - - - -  Depreciation / Amortization 542 544 - -  Interest Expense (Income) - Net Operating -14 -17 - -  Unusual Expense (Income) - 13.75 40.74 2.43  Other Operating Expenses, Total -528 -527 - -","Selling/General/Admin. Expenses, Total 1170 1103 1060.77 1162.09  Research & Development - - - -  Depreciation / Amortization 542 544 - -  Interest Expense (Income) - Net Operating -14 -17 - -  Unusual Expense (Income) - 13.75 40.74 2.43  Other Operating Expenses, Total -528 -527 - -"
"Selling/General/Admin. Expenses, Total",1170,1103,1060.77,1162.09
Research & Development,-,-,-,-
Depreciation / Amortization,542,544,-,-
Interest Expense (Income) - Net Operating,-14,-17,-,-
Unusual Expense (Income),-,13.75,40.74,2.43
"Other Operating Expenses, Total",-528,-527,-,-
Operating Income,1740,1287,855.57,804.45
"Interest Income (Expense), Net Non-Operating",-,-6.37,8.86,-12.86
Gain (Loss) on Sale of Assets,8,-5,8.77,12.85
"Other, Net",-62,-4,49.62,28.23
Net Income Before Taxes,1794,1296,922.81,832.68
Provision for Income Taxes,534,423,304.59,262.23
Net Income After Taxes,1260,873,618.22,570.45
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1260,873,618.22,570.45
Total Extraordinary Items,-,-,-,-
Net Income,1260,873,618.22,570.45
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,1260,873,618.22,570.45
Dilution Adjustment,-,-,-,-
Diluted Net Income,1260,873,618.22,570.45
Diluted Weighted Average Shares,15.87,15.87,15.87,15.87
Diluted EPS Excluding Extraordinary Items,79.39,55,38.95,35.94
DPS - Common Stock Primary Issue,-,15,11,11
Diluted Normalized EPS,70.33,51.39,40.3,36.68
