Period Ending:,202231/12,202131/12,202031/12,202031/03
Total Revenue,27856,24961,16840.8,24687.75
"Revenue 27856 24961.16 16840.8 24687.75  Other Revenue, Total - - - -","Revenue 27856 24961.16 16840.8 24687.75  Other Revenue, Total - - - -","Revenue 27856 24961.16 16840.8 24687.75  Other Revenue, Total - - - -","Revenue 27856 24961.16 16840.8 24687.75  Other Revenue, Total - - - -","Revenue 27856 24961.16 16840.8 24687.75  Other Revenue, Total - - - -"
Revenue,27856,24961.16,16840.8,24687.75
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",22471,20229.97,13693.48,19875.04
Gross Profit,5385,4731.19,3147.32,4812.71
Total Operating Expenses,26486,24027.82,16189.96,23395.76
"Selling/General/Admin. Expenses, Total 3965 3747.76 2465.32 3520.72  Research & Development - - - -  Depreciation / Amortization 118 50.09 36.25 -  Interest Expense (Income) - Net Operating -360 - - -  Unusual Expense (Income) - - -5.08 -  Other Operating Expenses, Total 292 - - -","Selling/General/Admin. Expenses, Total 3965 3747.76 2465.32 3520.72  Research & Development - - - -  Depreciation / Amortization 118 50.09 36.25 -  Interest Expense (Income) - Net Operating -360 - - -  Unusual Expense (Income) - - -5.08 -  Other Operating Expenses, Total 292 - - -","Selling/General/Admin. Expenses, Total 3965 3747.76 2465.32 3520.72  Research & Development - - - -  Depreciation / Amortization 118 50.09 36.25 -  Interest Expense (Income) - Net Operating -360 - - -  Unusual Expense (Income) - - -5.08 -  Other Operating Expenses, Total 292 - - -","Selling/General/Admin. Expenses, Total 3965 3747.76 2465.32 3520.72  Research & Development - - - -  Depreciation / Amortization 118 50.09 36.25 -  Interest Expense (Income) - Net Operating -360 - - -  Unusual Expense (Income) - - -5.08 -  Other Operating Expenses, Total 292 - - -","Selling/General/Admin. Expenses, Total 3965 3747.76 2465.32 3520.72  Research & Development - - - -  Depreciation / Amortization 118 50.09 36.25 -  Interest Expense (Income) - Net Operating -360 - - -  Unusual Expense (Income) - - -5.08 -  Other Operating Expenses, Total 292 - - -"
"Selling/General/Admin. Expenses, Total",3965,3747.76,2465.32,3520.72
Research & Development,-,-,-,-
Depreciation / Amortization,118,50.09,36.25,-
Interest Expense (Income) - Net Operating,-360,-,-,-
Unusual Expense (Income),-,-,-5.08,-
"Other Operating Expenses, Total",292,-,-,-
Operating Income,1370,933.34,650.83,1291.99
"Interest Income (Expense), Net Non-Operating",-,-255.61,-184.35,-250.47
Gain (Loss) on Sale of Assets,-,-,0.34,0.5
"Other, Net",461,-27.32,-34.18,-108.6
Net Income Before Taxes,909,650.41,432.64,933.41
Provision for Income Taxes,366,336.89,167.65,308.1
Net Income After Taxes,543,313.52,264.99,625.32
Minority Interest,48,-1.24,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,527,312.28,264.99,625.32
Total Extraordinary Items,-,-,-,-
Net Income,527,312.28,264.99,625.32
Total Adjustments to Net Income,-,-0,-,-
Income Available to Common Excluding Extraordinary Items,527,312.28,264.99,625.32
Dilution Adjustment,-,-,-,-
Diluted Net Income,527,312.28,264.99,625.32
Diluted Weighted Average Shares,46.57,43.39,39.52,36.9
Diluted EPS Excluding Extraordinary Items,11.32,7.2,6.71,16.95
DPS - Common Stock Primary Issue,4.5,3.5,2.63,20
Diluted Normalized EPS,12.43,7.59,6.94,16.94
