Period Ending:,202230/06,202130/06,202030/06,Unnamed: 4
Total Revenue,1465,1356,852.02,-
"Revenue 1465 1356 852.02 -  Other Revenue, Total - - - -","Revenue 1465 1356 852.02 -  Other Revenue, Total - - - -","Revenue 1465 1356 852.02 -  Other Revenue, Total - - - -","Revenue 1465 1356 852.02 -  Other Revenue, Total - - - -","Revenue 1465 1356 852.02 -  Other Revenue, Total - - - -"
Revenue,1465,1356,852.02,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",657,596,378.65,-
Gross Profit,808,760,473.37,-
Total Operating Expenses,1472,1297,930.19,-
"Selling/General/Admin. Expenses, Total 815 701 551.54 -  Research & Development - - - -  Depreciation / Amortization 103 - - -  Interest Expense (Income) - Net Operating -37 -35 - -  Unusual Expense (Income) - -24.05 - -  Other Operating Expenses, Total -66 35 - -","Selling/General/Admin. Expenses, Total 815 701 551.54 -  Research & Development - - - -  Depreciation / Amortization 103 - - -  Interest Expense (Income) - Net Operating -37 -35 - -  Unusual Expense (Income) - -24.05 - -  Other Operating Expenses, Total -66 35 - -","Selling/General/Admin. Expenses, Total 815 701 551.54 -  Research & Development - - - -  Depreciation / Amortization 103 - - -  Interest Expense (Income) - Net Operating -37 -35 - -  Unusual Expense (Income) - -24.05 - -  Other Operating Expenses, Total -66 35 - -","Selling/General/Admin. Expenses, Total 815 701 551.54 -  Research & Development - - - -  Depreciation / Amortization 103 - - -  Interest Expense (Income) - Net Operating -37 -35 - -  Unusual Expense (Income) - -24.05 - -  Other Operating Expenses, Total -66 35 - -","Selling/General/Admin. Expenses, Total 815 701 551.54 -  Research & Development - - - -  Depreciation / Amortization 103 - - -  Interest Expense (Income) - Net Operating -37 -35 - -  Unusual Expense (Income) - -24.05 - -  Other Operating Expenses, Total -66 35 - -"
"Selling/General/Admin. Expenses, Total",815,701,551.54,-
Research & Development,-,-,-,-
Depreciation / Amortization,103,-,-,-
Interest Expense (Income) - Net Operating,-37,-35,-,-
Unusual Expense (Income),-,-24.05,-,-
"Other Operating Expenses, Total",-66,35,-,-
Operating Income,-7,59,-78.17,-
"Interest Income (Expense), Net Non-Operating",-,-32.18,-25.64,-
Gain (Loss) on Sale of Assets,-,-2,-,-
"Other, Net",35,-,-0.37,-
Net Income Before Taxes,-42,61,-104.19,-
Provision for Income Taxes,13,-12,1.25,-
Net Income After Taxes,-55,73,-105.44,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-55,73,-105.44,-
Total Extraordinary Items,-,-,-,-
Net Income,-55,73,-105.44,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,-55,73,-105.44,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,-55,73,-105.44,-
Diluted Weighted Average Shares,0.7,0.7,0.7,-
Diluted EPS Excluding Extraordinary Items,-78.57,104.29,-150.62,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-30.36,33.04,-150.62,-
