Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,2338,1682,1083.32,1047.51
"Revenue 2338 1682 1083.32 1047.51  Other Revenue, Total - - - -","Revenue 2338 1682 1083.32 1047.51  Other Revenue, Total - - - -","Revenue 2338 1682 1083.32 1047.51  Other Revenue, Total - - - -","Revenue 2338 1682 1083.32 1047.51  Other Revenue, Total - - - -","Revenue 2338 1682 1083.32 1047.51  Other Revenue, Total - - - -"
Revenue,2338,1682,1083.32,1047.51
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1437,937,511.05,502.87
Gross Profit,901,745,572.27,544.64
Total Operating Expenses,2279,1740,1258.26,1106.42
"Selling/General/Admin. Expenses, Total 842 803 655.27 585.02  Research & Development - - - 1.27  Depreciation / Amortization 8 4 18.43 17.35  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -12.17 73.5 -0.09  Other Operating Expenses, Total -8 -4 - -","Selling/General/Admin. Expenses, Total 842 803 655.27 585.02  Research & Development - - - 1.27  Depreciation / Amortization 8 4 18.43 17.35  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -12.17 73.5 -0.09  Other Operating Expenses, Total -8 -4 - -","Selling/General/Admin. Expenses, Total 842 803 655.27 585.02  Research & Development - - - 1.27  Depreciation / Amortization 8 4 18.43 17.35  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -12.17 73.5 -0.09  Other Operating Expenses, Total -8 -4 - -","Selling/General/Admin. Expenses, Total 842 803 655.27 585.02  Research & Development - - - 1.27  Depreciation / Amortization 8 4 18.43 17.35  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -12.17 73.5 -0.09  Other Operating Expenses, Total -8 -4 - -","Selling/General/Admin. Expenses, Total 842 803 655.27 585.02  Research & Development - - - 1.27  Depreciation / Amortization 8 4 18.43 17.35  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -12.17 73.5 -0.09  Other Operating Expenses, Total -8 -4 - -"
"Selling/General/Admin. Expenses, Total",842,803,655.27,585.02
Research & Development,-,-,-,1.27
Depreciation / Amortization,8,4,18.43,17.35
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-12.17,73.5,-0.09
"Other Operating Expenses, Total",-8,-4,-,-
Operating Income,59,-58,-174.94,-58.91
"Interest Income (Expense), Net Non-Operating",-,-1.63,21.8,-0.41
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",8,-12,-17.42,-4.58
Net Income Before Taxes,51,-46,-170.56,-63.9
Provision for Income Taxes,21,-17,3.65,4.69
Net Income After Taxes,30,-29,-174.21,-68.59
Minority Interest,24,15,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,26,-29,-174.21,-68.59
Total Extraordinary Items,-,-,-,-
Net Income,26,-29,-174.21,-68.59
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,26,-29,-174.21,-68.59
Dilution Adjustment,-0.76,-,-,-
Diluted Net Income,26.76,-29,-174.21,-68.59
Diluted Weighted Average Shares,5.35,5.33,5.1,4.22
Diluted EPS Excluding Extraordinary Items,4.87,-5.44,-34.18,-16.27
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,5.21,-6.8,-24.81,-16.29
