Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,32055,20227,17129.12,16522.91
"Revenue 32055 20227.29 17129.12 16522.91  Other Revenue, Total - - - -","Revenue 32055 20227.29 17129.12 16522.91  Other Revenue, Total - - - -","Revenue 32055 20227.29 17129.12 16522.91  Other Revenue, Total - - - -","Revenue 32055 20227.29 17129.12 16522.91  Other Revenue, Total - - - -","Revenue 32055 20227.29 17129.12 16522.91  Other Revenue, Total - - - -"
Revenue,32055,20227.29,17129.12,16522.91
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",22110,14042.53,11948.88,11596.74
Gross Profit,9945,6184.77,5180.24,4926.17
Total Operating Expenses,31349,18734.69,15922.81,15390.27
"Selling/General/Admin. Expenses, Total 8295 4662.52 3936.39 3793.74  Research & Development - - - -  Depreciation / Amortization 1059 - - -  Interest Expense (Income) - Net Operating -18 - - -  Unusual Expense (Income) - 29.64 37.53 -0.2  Other Operating Expenses, Total -97 - - -","Selling/General/Admin. Expenses, Total 8295 4662.52 3936.39 3793.74  Research & Development - - - -  Depreciation / Amortization 1059 - - -  Interest Expense (Income) - Net Operating -18 - - -  Unusual Expense (Income) - 29.64 37.53 -0.2  Other Operating Expenses, Total -97 - - -","Selling/General/Admin. Expenses, Total 8295 4662.52 3936.39 3793.74  Research & Development - - - -  Depreciation / Amortization 1059 - - -  Interest Expense (Income) - Net Operating -18 - - -  Unusual Expense (Income) - 29.64 37.53 -0.2  Other Operating Expenses, Total -97 - - -","Selling/General/Admin. Expenses, Total 8295 4662.52 3936.39 3793.74  Research & Development - - - -  Depreciation / Amortization 1059 - - -  Interest Expense (Income) - Net Operating -18 - - -  Unusual Expense (Income) - 29.64 37.53 -0.2  Other Operating Expenses, Total -97 - - -","Selling/General/Admin. Expenses, Total 8295 4662.52 3936.39 3793.74  Research & Development - - - -  Depreciation / Amortization 1059 - - -  Interest Expense (Income) - Net Operating -18 - - -  Unusual Expense (Income) - 29.64 37.53 -0.2  Other Operating Expenses, Total -97 - - -"
"Selling/General/Admin. Expenses, Total",8295,4662.52,3936.39,3793.74
Research & Development,-,-,-,-
Depreciation / Amortization,1059,-,-,-
Interest Expense (Income) - Net Operating,-18,-,-,-
Unusual Expense (Income),-,29.64,37.53,-0.2
"Other Operating Expenses, Total",-97,-,-,-
Operating Income,706,1492.6,1206.32,1132.64
"Interest Income (Expense), Net Non-Operating",-,30.39,501.39,502.93
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-71,14.6,56.42,7.66
Net Income Before Taxes,777,1537.59,1764.13,1643.23
Provision for Income Taxes,296,339.04,529.05,480.23
Net Income After Taxes,481,1198.55,1235.08,1163
Minority Interest,3785,4.9,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,364,1203.45,1235.08,1163
Total Extraordinary Items,-,-,-,-
Net Income,364,1203.45,1235.08,1163
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,364,1203.45,1235.08,1163
Dilution Adjustment,-0.478,-,-,-
Diluted Net Income,364.48,1203.45,1235.08,1163
Diluted Weighted Average Shares,10.33,10.5,10.52,10.62
Diluted EPS Excluding Extraordinary Items,35.25,114.58,117.44,109.55
DPS - Common Stock Primary Issue,11,36,36,34
Diluted Normalized EPS,34.95,116.78,119.94,109.54
