Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,34881,31525,29629.97,31997.54
"Revenue 34881 31525.65 29629.97 31997.54  Other Revenue, Total - - - -","Revenue 34881 31525.65 29629.97 31997.54  Other Revenue, Total - - - -","Revenue 34881 31525.65 29629.97 31997.54  Other Revenue, Total - - - -","Revenue 34881 31525.65 29629.97 31997.54  Other Revenue, Total - - - -","Revenue 34881 31525.65 29629.97 31997.54  Other Revenue, Total - - - -"
Revenue,34881,31525.65,29629.97,31997.54
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",28415,25960.17,24594.87,26699.8
Gross Profit,6466,5565.49,5035.1,5297.74
Total Operating Expenses,34201,31257.79,29805.04,31773.55
"Selling/General/Admin. Expenses, Total 5727 5238.47 5056.28 5012.45  Research & Development - - - -  Depreciation / Amortization 91 56.47 59.24 58.83  Interest Expense (Income) - Net Operating -14 - - -  Unusual Expense (Income) - 2.69 94.66 2.47  Other Operating Expenses, Total -18 - - -","Selling/General/Admin. Expenses, Total 5727 5238.47 5056.28 5012.45  Research & Development - - - -  Depreciation / Amortization 91 56.47 59.24 58.83  Interest Expense (Income) - Net Operating -14 - - -  Unusual Expense (Income) - 2.69 94.66 2.47  Other Operating Expenses, Total -18 - - -","Selling/General/Admin. Expenses, Total 5727 5238.47 5056.28 5012.45  Research & Development - - - -  Depreciation / Amortization 91 56.47 59.24 58.83  Interest Expense (Income) - Net Operating -14 - - -  Unusual Expense (Income) - 2.69 94.66 2.47  Other Operating Expenses, Total -18 - - -","Selling/General/Admin. Expenses, Total 5727 5238.47 5056.28 5012.45  Research & Development - - - -  Depreciation / Amortization 91 56.47 59.24 58.83  Interest Expense (Income) - Net Operating -14 - - -  Unusual Expense (Income) - 2.69 94.66 2.47  Other Operating Expenses, Total -18 - - -","Selling/General/Admin. Expenses, Total 5727 5238.47 5056.28 5012.45  Research & Development - - - -  Depreciation / Amortization 91 56.47 59.24 58.83  Interest Expense (Income) - Net Operating -14 - - -  Unusual Expense (Income) - 2.69 94.66 2.47  Other Operating Expenses, Total -18 - - -"
"Selling/General/Admin. Expenses, Total",5727,5238.47,5056.28,5012.45
Research & Development,-,-,-,-
Depreciation / Amortization,91,56.47,59.24,58.83
Interest Expense (Income) - Net Operating,-14,-,-,-
Unusual Expense (Income),-,2.69,94.66,2.47
"Other Operating Expenses, Total",-18,-,-,-
Operating Income,680,267.86,-175.08,223.99
"Interest Income (Expense), Net Non-Operating",-,14.36,-30.32,-17.07
Gain (Loss) on Sale of Assets,16,-13.42,-13.33,-16.46
"Other, Net",-27,64.99,157.33,113.83
Net Income Before Taxes,691,333.79,-61.4,304.3
Provision for Income Taxes,272,152.99,46.07,134.96
Net Income After Taxes,419,180.8,-107.47,169.33
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,419,180.8,-107.47,169.33
Total Extraordinary Items,-,-,-,-
Net Income,419,180.8,-107.47,169.33
Total Adjustments to Net Income,-,-0,-,-
Income Available to Common Excluding Extraordinary Items,419,180.79,-107.47,169.33
Dilution Adjustment,-,-,-,-
Diluted Net Income,419,180.79,-107.47,169.33
Diluted Weighted Average Shares,3.94,3.93,3.91,3.89
Diluted EPS Excluding Extraordinary Items,106.36,46.05,-27.5,43.48
DPS - Common Stock Primary Issue,22,12,-,10
Diluted Normalized EPS,-,48.28,-9.54,46.19
