Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,1242521,1157945,1056560,1129254
"Revenue 1242521 1157945 1056560 1129254  Other Revenue, Total - - - -","Revenue 1242521 1157945 1056560 1129254  Other Revenue, Total - - - -","Revenue 1242521 1157945 1056560 1129254  Other Revenue, Total - - - -","Revenue 1242521 1157945 1056560 1129254  Other Revenue, Total - - - -","Revenue 1242521 1157945 1056560 1129254  Other Revenue, Total - - - -"
Revenue,1242521,1157945,1056560,1129254
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",865281,801994,726174,766551
Gross Profit,377240,355951,330386,362703
Total Operating Expenses,1152829,1069065,991688,1048621
"Selling/General/Admin. Expenses, Total 285574 215941 213301 223651  Research & Development - 37010 35110 37146  Depreciation / Amortization 48995 45912 14673 13930  Interest Expense (Income) - Net Operating -871 -774 - -  Unusual Expense (Income) - 51508 2428 7341  Other Operating Expenses, Total -33188 -31018 2 2","Selling/General/Admin. Expenses, Total 285574 215941 213301 223651  Research & Development - 37010 35110 37146  Depreciation / Amortization 48995 45912 14673 13930  Interest Expense (Income) - Net Operating -871 -774 - -  Unusual Expense (Income) - 51508 2428 7341  Other Operating Expenses, Total -33188 -31018 2 2","Selling/General/Admin. Expenses, Total 285574 215941 213301 223651  Research & Development - 37010 35110 37146  Depreciation / Amortization 48995 45912 14673 13930  Interest Expense (Income) - Net Operating -871 -774 - -  Unusual Expense (Income) - 51508 2428 7341  Other Operating Expenses, Total -33188 -31018 2 2","Selling/General/Admin. Expenses, Total 285574 215941 213301 223651  Research & Development - 37010 35110 37146  Depreciation / Amortization 48995 45912 14673 13930  Interest Expense (Income) - Net Operating -871 -774 - -  Unusual Expense (Income) - 51508 2428 7341  Other Operating Expenses, Total -33188 -31018 2 2","Selling/General/Admin. Expenses, Total 285574 215941 213301 223651  Research & Development - 37010 35110 37146  Depreciation / Amortization 48995 45912 14673 13930  Interest Expense (Income) - Net Operating -871 -774 - -  Unusual Expense (Income) - 51508 2428 7341  Other Operating Expenses, Total -33188 -31018 2 2"
"Selling/General/Admin. Expenses, Total",285574,215941,213301,223651
Research & Development,-,37010,35110,37146
Depreciation / Amortization,48995,45912,14673,13930
Interest Expense (Income) - Net Operating,-871,-774,-,-
Unusual Expense (Income),-,51508,2428,7341
"Other Operating Expenses, Total",-33188,-31018,2,2
Operating Income,89692,88880,64872,80633
"Interest Income (Expense), Net Non-Operating",-,34416,8817,14335
Gain (Loss) on Sale of Assets,-2304,24365,1428,-2713
"Other, Net",-7497,-5342,-11938,-8468
Net Income Before Taxes,99493,69857,63179,83787
Provision for Income Taxes,28726,31098,19902,22575
Net Income After Taxes,70767,38759,43277,61212
Minority Interest,27498,28116,-1733,-2030
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,69263,37067,41544,59182
Total Extraordinary Items,-,-,-,-
Net Income,69263,37067,41544,59182
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,69263,37067,41544,59181
Dilution Adjustment,-,-,-,-
Diluted Net Income,69263,37067,41544,59181
Diluted Weighted Average Shares,435.1,445.7,451.96,459.59
Diluted EPS Excluding Extraordinary Items,159.19,83.17,91.92,128.77
DPS - Common Stock Primary Issue,59,49,47,46
Diluted Normalized EPS,143.44,132.23,103.21,151.8
