Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,3734,3018,1713.2,1268.11
"Revenue 3734 3018 1713.2 1268.11  Other Revenue, Total - - - -","Revenue 3734 3018 1713.2 1268.11  Other Revenue, Total - - - -","Revenue 3734 3018 1713.2 1268.11  Other Revenue, Total - - - -","Revenue 3734 3018 1713.2 1268.11  Other Revenue, Total - - - -","Revenue 3734 3018 1713.2 1268.11  Other Revenue, Total - - - -"
Revenue,3734,3018,1713.2,1268.11
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",798,435.92,389.35,389.76
Gross Profit,2936,2582.08,1323.85,878.35
Total Operating Expenses,4855,2977.13,1678.55,1677.71
"Selling/General/Admin. Expenses, Total 3677 2541.2 1270.53 1201.07  Research & Development - - - -  Depreciation / Amortization 54 - - 19.68  Interest Expense (Income) - Net Operating -21 - - -  Unusual Expense (Income) - - 18.68 67.21  Other Operating Expenses, Total 347 - - -","Selling/General/Admin. Expenses, Total 3677 2541.2 1270.53 1201.07  Research & Development - - - -  Depreciation / Amortization 54 - - 19.68  Interest Expense (Income) - Net Operating -21 - - -  Unusual Expense (Income) - - 18.68 67.21  Other Operating Expenses, Total 347 - - -","Selling/General/Admin. Expenses, Total 3677 2541.2 1270.53 1201.07  Research & Development - - - -  Depreciation / Amortization 54 - - 19.68  Interest Expense (Income) - Net Operating -21 - - -  Unusual Expense (Income) - - 18.68 67.21  Other Operating Expenses, Total 347 - - -","Selling/General/Admin. Expenses, Total 3677 2541.2 1270.53 1201.07  Research & Development - - - -  Depreciation / Amortization 54 - - 19.68  Interest Expense (Income) - Net Operating -21 - - -  Unusual Expense (Income) - - 18.68 67.21  Other Operating Expenses, Total 347 - - -","Selling/General/Admin. Expenses, Total 3677 2541.2 1270.53 1201.07  Research & Development - - - -  Depreciation / Amortization 54 - - 19.68  Interest Expense (Income) - Net Operating -21 - - -  Unusual Expense (Income) - - 18.68 67.21  Other Operating Expenses, Total 347 - - -"
"Selling/General/Admin. Expenses, Total",3677,2541.2,1270.53,1201.07
Research & Development,-,-,-,-
Depreciation / Amortization,54,-,-,19.68
Interest Expense (Income) - Net Operating,-21,-,-,-
Unusual Expense (Income),-,-,18.68,67.21
"Other Operating Expenses, Total",347,-,-,-
Operating Income,-1121,40.88,34.65,-409.61
"Interest Income (Expense), Net Non-Operating",-,0.93,-45.18,3.21
Gain (Loss) on Sale of Assets,3,-,-,150
"Other, Net",106,-44.2,-1.93,14.6
Net Income Before Taxes,-1230,-2.4,-12.46,-241.8
Provision for Income Taxes,85,83.19,4.28,3.46
Net Income After Taxes,-1315,-85.59,-16.74,-245.26
Minority Interest,-,-,-,6.89
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-1315,-85.59,-16.74,-238.38
Total Extraordinary Items,-,-,-,-
Net Income,-1315,-85.59,-16.74,-238.38
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,-1315,-85.59,-16.74,-238.38
Dilution Adjustment,-,-,-,-
Diluted Net Income,-1315,-85.59,-16.74,-238.38
Diluted Weighted Average Shares,29.88,26.3,21.63,10.5
Diluted EPS Excluding Extraordinary Items,-44.01,-3.25,-0.77,-22.7
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-20.14,-2.91,-0.21,-25.23
