Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,4352,2720,1635.79,2448.69
"Revenue 4352 2720 1635.79 2448.69  Other Revenue, Total - - - -","Revenue 4352 2720 1635.79 2448.69  Other Revenue, Total - - - -","Revenue 4352 2720 1635.79 2448.69  Other Revenue, Total - - - -","Revenue 4352 2720 1635.79 2448.69  Other Revenue, Total - - - -","Revenue 4352 2720 1635.79 2448.69  Other Revenue, Total - - - -"
Revenue,4352,2720,1635.79,2448.69
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3353,1805,787.93,1346.79
Gross Profit,999,915,847.86,1101.9
Total Operating Expenses,4013,2385,1585.48,2237.74
"Selling/General/Admin. Expenses, Total 660 535 627.94 886.27  Research & Development - - - -  Depreciation / Amortization 198 201 - -  Interest Expense (Income) - Net Operating -95 -96 - -  Unusual Expense (Income) - 128.95 169.6 4.69  Other Operating Expenses, Total -103 -60 - -","Selling/General/Admin. Expenses, Total 660 535 627.94 886.27  Research & Development - - - -  Depreciation / Amortization 198 201 - -  Interest Expense (Income) - Net Operating -95 -96 - -  Unusual Expense (Income) - 128.95 169.6 4.69  Other Operating Expenses, Total -103 -60 - -","Selling/General/Admin. Expenses, Total 660 535 627.94 886.27  Research & Development - - - -  Depreciation / Amortization 198 201 - -  Interest Expense (Income) - Net Operating -95 -96 - -  Unusual Expense (Income) - 128.95 169.6 4.69  Other Operating Expenses, Total -103 -60 - -","Selling/General/Admin. Expenses, Total 660 535 627.94 886.27  Research & Development - - - -  Depreciation / Amortization 198 201 - -  Interest Expense (Income) - Net Operating -95 -96 - -  Unusual Expense (Income) - 128.95 169.6 4.69  Other Operating Expenses, Total -103 -60 - -","Selling/General/Admin. Expenses, Total 660 535 627.94 886.27  Research & Development - - - -  Depreciation / Amortization 198 201 - -  Interest Expense (Income) - Net Operating -95 -96 - -  Unusual Expense (Income) - 128.95 169.6 4.69  Other Operating Expenses, Total -103 -60 - -"
"Selling/General/Admin. Expenses, Total",660,535,627.94,886.27
Research & Development,-,-,-,-
Depreciation / Amortization,198,201,-,-
Interest Expense (Income) - Net Operating,-95,-96,-,-
Unusual Expense (Income),-,128.95,169.6,4.69
"Other Operating Expenses, Total",-103,-60,-,-
Operating Income,339,335,50.31,210.95
"Interest Income (Expense), Net Non-Operating",-,-79.58,-85.22,-100.82
Gain (Loss) on Sale of Assets,-45,-24,-,-
"Other, Net",422,261,-1.95,-6.92
Net Income Before Taxes,-38,98,-36.85,103.21
Provision for Income Taxes,28,35,7.37,19.68
Net Income After Taxes,-66,63,-44.23,83.53
Minority Interest,-,7.3,0.14,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-66,70,-44.09,83.53
Total Extraordinary Items,-,-,-,-
Net Income,-66,70,-44.09,83.53
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,-66,70,-44.09,83.53
Dilution Adjustment,-,-,-,-
Diluted Net Income,-66,70,-44.09,83.53
Diluted Weighted Average Shares,29.37,28.5,27.87,27.87
Diluted EPS Excluding Extraordinary Items,-2.25,2.46,-1.58,3
DPS - Common Stock Primary Issue,-,2,2,1
Diluted Normalized EPS,3.06,5.03,2.81,4.13
