Period Ending:,202331/03,202231/03,202131/03,Unnamed: 4
Total Revenue,5359,3993,4046,-
"Revenue 5359 3993 4046 -  Other Revenue, Total - - - -","Revenue 5359 3993 4046 -  Other Revenue, Total - - - -","Revenue 5359 3993 4046 -  Other Revenue, Total - - - -","Revenue 5359 3993 4046 -  Other Revenue, Total - - - -","Revenue 5359 3993 4046 -  Other Revenue, Total - - - -"
Revenue,5359,3993,4046,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2196,1767,1663,-
Gross Profit,3163,2226,2383,-
Total Operating Expenses,5305,4324,4218,-
"Selling/General/Admin. Expenses, Total 3109 2557 2555 -  Research & Development - - - -  Depreciation / Amortization 105 - - -  Interest Expense (Income) - Net Operating -12 -11 -7 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -93 11 7 -","Selling/General/Admin. Expenses, Total 3109 2557 2555 -  Research & Development - - - -  Depreciation / Amortization 105 - - -  Interest Expense (Income) - Net Operating -12 -11 -7 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -93 11 7 -","Selling/General/Admin. Expenses, Total 3109 2557 2555 -  Research & Development - - - -  Depreciation / Amortization 105 - - -  Interest Expense (Income) - Net Operating -12 -11 -7 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -93 11 7 -","Selling/General/Admin. Expenses, Total 3109 2557 2555 -  Research & Development - - - -  Depreciation / Amortization 105 - - -  Interest Expense (Income) - Net Operating -12 -11 -7 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -93 11 7 -","Selling/General/Admin. Expenses, Total 3109 2557 2555 -  Research & Development - - - -  Depreciation / Amortization 105 - - -  Interest Expense (Income) - Net Operating -12 -11 -7 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -93 11 7 -"
"Selling/General/Admin. Expenses, Total",3109,2557,2555,-
Research & Development,-,-,-,-
Depreciation / Amortization,105,-,-,-
Interest Expense (Income) - Net Operating,-12,-11,-7,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-93,11,7,-
Operating Income,54,-331,-172,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,-,2,1,-
"Other, Net",-152,-362,87,-
Net Income Before Taxes,206,29,-260,-
Provision for Income Taxes,69,-,-88,-
Net Income After Taxes,137,29,-172,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,137,29,-172,-
Total Extraordinary Items,-,-,-,-
Net Income,137,29,-172,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,137,29,-172,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,137,29,-172,-
Diluted Weighted Average Shares,1.34,1.3,1.3,-
Diluted EPS Excluding Extraordinary Items,102.48,22.31,-132.31,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,127.16,79.33,-64.42,-
