Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Revenue,5752,4756,3579.62,3065.27
"Revenue 5752 4756 3579.62 3065.27  Other Revenue, Total - - - -","Revenue 5752 4756 3579.62 3065.27  Other Revenue, Total - - - -","Revenue 5752 4756 3579.62 3065.27  Other Revenue, Total - - - -","Revenue 5752 4756 3579.62 3065.27  Other Revenue, Total - - - -","Revenue 5752 4756 3579.62 3065.27  Other Revenue, Total - - - -"
Revenue,5752,4756,3579.62,3065.27
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3473,3126,2496.22,2298.01
Gross Profit,2279,1630,1083.4,767.26
Total Operating Expenses,5215,4159,3213.86,2942.28
"Selling/General/Admin. Expenses, Total 1039 698 481.16 378.84  Research & Development 675 315 154.94 131.3  Depreciation / Amortization 356 268 81.55 134.13  Interest Expense (Income) - Net Operating -34 -50 - -  Unusual Expense (Income) - 8.15 - -  Other Operating Expenses, Total -294 -198 - -","Selling/General/Admin. Expenses, Total 1039 698 481.16 378.84  Research & Development 675 315 154.94 131.3  Depreciation / Amortization 356 268 81.55 134.13  Interest Expense (Income) - Net Operating -34 -50 - -  Unusual Expense (Income) - 8.15 - -  Other Operating Expenses, Total -294 -198 - -","Selling/General/Admin. Expenses, Total 1039 698 481.16 378.84  Research & Development 675 315 154.94 131.3  Depreciation / Amortization 356 268 81.55 134.13  Interest Expense (Income) - Net Operating -34 -50 - -  Unusual Expense (Income) - 8.15 - -  Other Operating Expenses, Total -294 -198 - -","Selling/General/Admin. Expenses, Total 1039 698 481.16 378.84  Research & Development 675 315 154.94 131.3  Depreciation / Amortization 356 268 81.55 134.13  Interest Expense (Income) - Net Operating -34 -50 - -  Unusual Expense (Income) - 8.15 - -  Other Operating Expenses, Total -294 -198 - -","Selling/General/Admin. Expenses, Total 1039 698 481.16 378.84  Research & Development 675 315 154.94 131.3  Depreciation / Amortization 356 268 81.55 134.13  Interest Expense (Income) - Net Operating -34 -50 - -  Unusual Expense (Income) - 8.15 - -  Other Operating Expenses, Total -294 -198 - -"
"Selling/General/Admin. Expenses, Total",1039,698,481.16,378.84
Research & Development,675,315,154.94,131.3
Depreciation / Amortization,356,268,81.55,134.13
Interest Expense (Income) - Net Operating,-34,-50,-,-
Unusual Expense (Income),-,8.15,-,-
"Other Operating Expenses, Total",-294,-198,-,-
Operating Income,537,597,365.75,122.99
"Interest Income (Expense), Net Non-Operating",-,-50.2,-48.26,-37.34
Gain (Loss) on Sale of Assets,5,-,-,-
"Other, Net",-160,7,5.39,19.26
Net Income Before Taxes,692,590,322.89,104.91
Provision for Income Taxes,135,95,12.43,27.95
Net Income After Taxes,557,495,310.46,76.96
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,557,495,310.46,76.96
Total Extraordinary Items,-,-,-,-
Net Income,557,495,310.46,76.96
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,557,495,310.46,76.96
Dilution Adjustment,-,-,-,-
Diluted Net Income,557,495,310.46,76.96
Diluted Weighted Average Shares,5.44,5.34,3.77,3.76
Diluted EPS Excluding Extraordinary Items,102.34,92.75,82.26,20.46
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,78.89,70.03,98.71,51.42
