Period Ending:,202331/03,202231/03,Unnamed: 3,Unnamed: 4
Total Revenue,76320,64399,-,-
"Revenue 76320 64399 - -  Other Revenue, Total - - - -","Revenue 76320 64399 - -  Other Revenue, Total - - - -","Revenue 76320 64399 - -  Other Revenue, Total - - - -","Revenue 76320 64399 - -  Other Revenue, Total - - - -","Revenue 76320 64399 - -  Other Revenue, Total - - - -"
Revenue,76320,64399,-,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",58492,53570,-,-
Gross Profit,17828,10829,-,-
Total Operating Expenses,64058,58844,-,-
"Selling/General/Admin. Expenses, Total 5440 5140 - -  Research & Development - 65 - -  Depreciation / Amortization 2336 2427 - -  Interest Expense (Income) - Net Operating -6 -6 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -2246 -2352 - -","Selling/General/Admin. Expenses, Total 5440 5140 - -  Research & Development - 65 - -  Depreciation / Amortization 2336 2427 - -  Interest Expense (Income) - Net Operating -6 -6 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -2246 -2352 - -","Selling/General/Admin. Expenses, Total 5440 5140 - -  Research & Development - 65 - -  Depreciation / Amortization 2336 2427 - -  Interest Expense (Income) - Net Operating -6 -6 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -2246 -2352 - -","Selling/General/Admin. Expenses, Total 5440 5140 - -  Research & Development - 65 - -  Depreciation / Amortization 2336 2427 - -  Interest Expense (Income) - Net Operating -6 -6 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -2246 -2352 - -","Selling/General/Admin. Expenses, Total 5440 5140 - -  Research & Development - 65 - -  Depreciation / Amortization 2336 2427 - -  Interest Expense (Income) - Net Operating -6 -6 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -2246 -2352 - -"
"Selling/General/Admin. Expenses, Total",5440,5140,-,-
Research & Development,-,65,-,-
Depreciation / Amortization,2336,2427,-,-
Interest Expense (Income) - Net Operating,-6,-6,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-2246,-2352,-,-
Operating Income,12262,5555,-,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,-136,-142,-,-
"Other, Net",71,132,-,-
Net Income Before Taxes,12327,5565,-,-
Provision for Income Taxes,3707,1713,-,-
Net Income After Taxes,8620,3852,-,-
Minority Interest,645,603,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,8577,3785,-,-
Total Extraordinary Items,-,-,-,-
Net Income,8577,3785,-,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,8577,3785,-,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,8577,3785,-,-
Diluted Weighted Average Shares,27.62,27.61,-,-
Diluted EPS Excluding Extraordinary Items,310.51,137.09,-,-
DPS - Common Stock Primary Issue,94,43,-,-
Diluted Normalized EPS,280.44,126.76,-,-
