Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Revenue,12450,11051,7045,11925.39
"Revenue 12450 11051 7045 11925.39  Other Revenue, Total - - - -","Revenue 12450 11051 7045 11925.39  Other Revenue, Total - - - -","Revenue 12450 11051 7045 11925.39  Other Revenue, Total - - - -","Revenue 12450 11051 7045 11925.39  Other Revenue, Total - - - -","Revenue 12450 11051 7045 11925.39  Other Revenue, Total - - - -"
Revenue,12450,11051,7045,11925.39
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",8300,7605,5478,8134.47
Gross Profit,4150,3446,1567,3790.92
Total Operating Expenses,11050,10321,7752,10895.38
"Selling/General/Admin. Expenses, Total 2750 2716 2274 2755.46  Research & Development - - - -  Depreciation / Amortization 467 514 596 -  Interest Expense (Income) - Net Operating -7 -7 -5 -  Unusual Expense (Income) - 0.92 9.84 5.45  Other Operating Expenses, Total -460 -507 -591 -","Selling/General/Admin. Expenses, Total 2750 2716 2274 2755.46  Research & Development - - - -  Depreciation / Amortization 467 514 596 -  Interest Expense (Income) - Net Operating -7 -7 -5 -  Unusual Expense (Income) - 0.92 9.84 5.45  Other Operating Expenses, Total -460 -507 -591 -","Selling/General/Admin. Expenses, Total 2750 2716 2274 2755.46  Research & Development - - - -  Depreciation / Amortization 467 514 596 -  Interest Expense (Income) - Net Operating -7 -7 -5 -  Unusual Expense (Income) - 0.92 9.84 5.45  Other Operating Expenses, Total -460 -507 -591 -","Selling/General/Admin. Expenses, Total 2750 2716 2274 2755.46  Research & Development - - - -  Depreciation / Amortization 467 514 596 -  Interest Expense (Income) - Net Operating -7 -7 -5 -  Unusual Expense (Income) - 0.92 9.84 5.45  Other Operating Expenses, Total -460 -507 -591 -","Selling/General/Admin. Expenses, Total 2750 2716 2274 2755.46  Research & Development - - - -  Depreciation / Amortization 467 514 596 -  Interest Expense (Income) - Net Operating -7 -7 -5 -  Unusual Expense (Income) - 0.92 9.84 5.45  Other Operating Expenses, Total -460 -507 -591 -"
"Selling/General/Admin. Expenses, Total",2750,2716,2274,2755.46
Research & Development,-,-,-,-
Depreciation / Amortization,467,514,596,-
Interest Expense (Income) - Net Operating,-7,-7,-5,-
Unusual Expense (Income),-,0.92,9.84,5.45
"Other Operating Expenses, Total",-460,-507,-591,-
Operating Income,1400,730,-707,1030.01
"Interest Income (Expense), Net Non-Operating",-,-22.55,-56.15,45.82
Gain (Loss) on Sale of Assets,-4,1,-19,0.22
"Other, Net",189,-107,-183,2.51
Net Income Before Taxes,1215,836,-505,1078.56
Provision for Income Taxes,500,292,-138,356.65
Net Income After Taxes,715,544,-367,721.91
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,715,544,-367,721.91
Total Extraordinary Items,-,-,-,-
Net Income,715,544,-367,721.91
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,715,544,-367,721.91
Dilution Adjustment,-,-,-,-
Diluted Net Income,715,544,-367,721.91
Diluted Weighted Average Shares,14.33,14.33,14.33,14.33
Diluted EPS Excluding Extraordinary Items,49.9,37.97,-25.61,50.38
DPS - Common Stock Primary Issue,-,10,5,5
Diluted Normalized EPS,61.24,36.46,-20.81,50.63
