Period Ending:,202231/03,202131/03,202031/03,Unnamed: 4
Total Revenue,738.06,495.13,272.42,-
"Revenue 738.06 495.13 272.42 -  Other Revenue, Total - - - -","Revenue 738.06 495.13 272.42 -  Other Revenue, Total - - - -","Revenue 738.06 495.13 272.42 -  Other Revenue, Total - - - -","Revenue 738.06 495.13 272.42 -  Other Revenue, Total - - - -","Revenue 738.06 495.13 272.42 -  Other Revenue, Total - - - -"
Revenue,738.06,495.13,272.42,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",272.35,162.87,89.41,-
Gross Profit,465.71,332.27,183,-
Total Operating Expenses,578.37,449.11,258.94,-
"Selling/General/Admin. Expenses, Total 311.28 281.7 167.64 -  Research & Development - 1.8 - -  Depreciation / Amortization - 1.74 1.88 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) -5.26 1 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 311.28 281.7 167.64 -  Research & Development - 1.8 - -  Depreciation / Amortization - 1.74 1.88 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) -5.26 1 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 311.28 281.7 167.64 -  Research & Development - 1.8 - -  Depreciation / Amortization - 1.74 1.88 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) -5.26 1 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 311.28 281.7 167.64 -  Research & Development - 1.8 - -  Depreciation / Amortization - 1.74 1.88 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) -5.26 1 - -  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 311.28 281.7 167.64 -  Research & Development - 1.8 - -  Depreciation / Amortization - 1.74 1.88 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) -5.26 1 - -  Other Operating Expenses, Total - - - -"
"Selling/General/Admin. Expenses, Total",311.28,281.7,167.64,-
Research & Development,-,1.8,-,-
Depreciation / Amortization,-,1.74,1.88,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-5.26,1,-,-
"Other Operating Expenses, Total",-,-,-,-
Operating Income,159.69,46.02,13.48,-
"Interest Income (Expense), Net Non-Operating",-0.4,-0.39,-0.13,-
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-8.09,0.17,-0.01,-
Net Income Before Taxes,151.21,45.8,13.33,-
Provision for Income Taxes,47.03,14.8,5.61,-
Net Income After Taxes,104.18,31,7.72,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,104.18,31,7.72,-
Total Extraordinary Items,-,-,-,-
Net Income,104.18,31,7.72,-
Total Adjustments to Net Income,-,-0,-0,-
Income Available to Common Excluding Extraordinary Items,104.18,31,7.72,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,104.18,31,7.72,-
Diluted Weighted Average Shares,2.44,2.99,2.99,-
Diluted EPS Excluding Extraordinary Items,42.63,10.36,2.58,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,41.14,10.58,2.58,-
