Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,815269,710938,631812,637259
"Revenue 815269 710938 631812 637259  Other Revenue, Total - - - -","Revenue 815269 710938 631812 637259  Other Revenue, Total - - - -","Revenue 815269 710938 631812 637259  Other Revenue, Total - - - -","Revenue 815269 710938 631812 637259  Other Revenue, Total - - - -","Revenue 815269 710938 631812 637259  Other Revenue, Total - - - -"
Revenue,815269,710938,631812,637259
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",495681,403614,345209,354987
Gross Profit,319588,307324,286603,282272
Total Operating Expenses,759890,626255,552880,569897
"Selling/General/Admin. Expenses, Total 259183 204306 191316 198486  Research & Development - 43818 43080 -  Depreciation / Amortization 42575 38700 38252 16844  Interest Expense (Income) - Net Operating -4983 -756 -1383 461  Unusual Expense (Income) - - 34039 -367  Other Operating Expenses, Total -66729 -63427 -63594 -514","Selling/General/Admin. Expenses, Total 259183 204306 191316 198486  Research & Development - 43818 43080 -  Depreciation / Amortization 42575 38700 38252 16844  Interest Expense (Income) - Net Operating -4983 -756 -1383 461  Unusual Expense (Income) - - 34039 -367  Other Operating Expenses, Total -66729 -63427 -63594 -514","Selling/General/Admin. Expenses, Total 259183 204306 191316 198486  Research & Development - 43818 43080 -  Depreciation / Amortization 42575 38700 38252 16844  Interest Expense (Income) - Net Operating -4983 -756 -1383 461  Unusual Expense (Income) - - 34039 -367  Other Operating Expenses, Total -66729 -63427 -63594 -514","Selling/General/Admin. Expenses, Total 259183 204306 191316 198486  Research & Development - 43818 43080 -  Depreciation / Amortization 42575 38700 38252 16844  Interest Expense (Income) - Net Operating -4983 -756 -1383 461  Unusual Expense (Income) - - 34039 -367  Other Operating Expenses, Total -66729 -63427 -63594 -514","Selling/General/Admin. Expenses, Total 259183 204306 191316 198486  Research & Development - 43818 43080 -  Depreciation / Amortization 42575 38700 38252 16844  Interest Expense (Income) - Net Operating -4983 -756 -1383 461  Unusual Expense (Income) - - 34039 -367  Other Operating Expenses, Total -66729 -63427 -63594 -514"
"Selling/General/Admin. Expenses, Total",259183,204306,191316,198486
Research & Development,-,43818,43080,-
Depreciation / Amortization,42575,38700,38252,16844
Interest Expense (Income) - Net Operating,-4983,-756,-1383,461
Unusual Expense (Income),-,-,34039,-367
"Other Operating Expenses, Total",-66729,-63427,-63594,-514
Operating Income,55379,84683,78932,67362
"Interest Income (Expense), Net Non-Operating",-,927,-624,-32
Gain (Loss) on Sale of Assets,-,25,-840,-
"Other, Net",-1573,-1770,36829,-284
Net Income Before Taxes,56952,86428,42943,67046
Provision for Income Taxes,17866,24914,18285,17347
Net Income After Taxes,39086,61514,24658,49699
Minority Interest,60,65,16657,-132
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,39082,61030,24520,49567
Total Extraordinary Items,-,-,-,-
Net Income,39082,61030,24520,49567
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,39082,61030,24520,49566
Dilution Adjustment,0.37,-0.736,-1.35,-
Diluted Net Income,39081.63,61030.74,24521.35,49566
Diluted Weighted Average Shares,256.75,260.61,260.67,260.59
Diluted EPS Excluding Extraordinary Items,152.22,234.18,94.07,190.21
DPS - Common Stock Primary Issue,-,64,60,60
Diluted Normalized EPS,138.62,210.49,192.61,189.16
