Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,56227,53416,47202.96,43302.22
"Revenue 56227 53416.05 47202.96 43302.22  Other Revenue, Total - - - -","Revenue 56227 53416.05 47202.96 43302.22  Other Revenue, Total - - - -","Revenue 56227 53416.05 47202.96 43302.22  Other Revenue, Total - - - -","Revenue 56227 53416.05 47202.96 43302.22  Other Revenue, Total - - - -","Revenue 56227 53416.05 47202.96 43302.22  Other Revenue, Total - - - -"
Revenue,56227,53416.05,47202.96,43302.22
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",49690,47721.02,42307.22,38451.6
Gross Profit,6537,5695.03,4895.74,4850.62
Total Operating Expenses,53840,51807.84,45600.88,41100.64
"Selling/General/Admin. Expenses, Total 3677 3394.58 2832.02 2647.74  Research & Development - - - -  Depreciation / Amortization 119 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) - 692.25 461.65 1.3  Other Operating Expenses, Total 363 - - -","Selling/General/Admin. Expenses, Total 3677 3394.58 2832.02 2647.74  Research & Development - - - -  Depreciation / Amortization 119 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) - 692.25 461.65 1.3  Other Operating Expenses, Total 363 - - -","Selling/General/Admin. Expenses, Total 3677 3394.58 2832.02 2647.74  Research & Development - - - -  Depreciation / Amortization 119 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) - 692.25 461.65 1.3  Other Operating Expenses, Total 363 - - -","Selling/General/Admin. Expenses, Total 3677 3394.58 2832.02 2647.74  Research & Development - - - -  Depreciation / Amortization 119 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) - 692.25 461.65 1.3  Other Operating Expenses, Total 363 - - -","Selling/General/Admin. Expenses, Total 3677 3394.58 2832.02 2647.74  Research & Development - - - -  Depreciation / Amortization 119 - - -  Interest Expense (Income) - Net Operating -9 - - -  Unusual Expense (Income) - 692.25 461.65 1.3  Other Operating Expenses, Total 363 - - -"
"Selling/General/Admin. Expenses, Total",3677,3394.58,2832.02,2647.74
Research & Development,-,-,-,-
Depreciation / Amortization,119,-,-,-
Interest Expense (Income) - Net Operating,-9,-,-,-
Unusual Expense (Income),-,692.25,461.65,1.3
"Other Operating Expenses, Total",363,-,-,-
Operating Income,2387,1608.21,1602.08,2201.57
"Interest Income (Expense), Net Non-Operating",-,392.59,-2.49,-1.61
Gain (Loss) on Sale of Assets,3,-,-,-
"Other, Net",10,12.61,2.69,11.76
Net Income Before Taxes,2374,2013.4,1602.27,2211.72
Provision for Income Taxes,784,852.01,521.39,705.47
Net Income After Taxes,1590,1161.4,1080.89,1506.25
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1590,1161.4,1080.89,1506.25
Total Extraordinary Items,-,-,-,-
Net Income,1590,1161.4,1080.89,1506.25
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,1590,1161.4,1080.88,1506.25
Dilution Adjustment,-,-,-,-
Diluted Net Income,1590,1161.4,1080.88,1506.25
Diluted Weighted Average Shares,17.62,17.65,17.63,17.83
Diluted EPS Excluding Extraordinary Items,90.23,65.8,61.32,84.49
DPS - Common Stock Primary Issue,45,44,42,35
Diluted Normalized EPS,85.15,88.81,79.18,84.73
