Period Ending:,202331/03,202231/03,Unnamed: 3,Unnamed: 4
Total Revenue,19601,17434,-,-
"Revenue 19601 17434 - -  Other Revenue, Total - - - -","Revenue 19601 17434 - -  Other Revenue, Total - - - -","Revenue 19601 17434 - -  Other Revenue, Total - - - -","Revenue 19601 17434 - -  Other Revenue, Total - - - -","Revenue 19601 17434 - -  Other Revenue, Total - - - -"
Revenue,19601,17434,-,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",15096,13306,-,-
Gross Profit,4505,4128,-,-
Total Operating Expenses,18804,16694,-,-
"Selling/General/Admin. Expenses, Total 3708 3388 - -  Research & Development - - - -  Depreciation / Amortization 1005 - - -  Interest Expense (Income) - Net Operating -42 -46 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -963 46 - -","Selling/General/Admin. Expenses, Total 3708 3388 - -  Research & Development - - - -  Depreciation / Amortization 1005 - - -  Interest Expense (Income) - Net Operating -42 -46 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -963 46 - -","Selling/General/Admin. Expenses, Total 3708 3388 - -  Research & Development - - - -  Depreciation / Amortization 1005 - - -  Interest Expense (Income) - Net Operating -42 -46 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -963 46 - -","Selling/General/Admin. Expenses, Total 3708 3388 - -  Research & Development - - - -  Depreciation / Amortization 1005 - - -  Interest Expense (Income) - Net Operating -42 -46 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -963 46 - -","Selling/General/Admin. Expenses, Total 3708 3388 - -  Research & Development - - - -  Depreciation / Amortization 1005 - - -  Interest Expense (Income) - Net Operating -42 -46 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -963 46 - -"
"Selling/General/Admin. Expenses, Total",3708,3388,-,-
Research & Development,-,-,-,-
Depreciation / Amortization,1005,-,-,-
Interest Expense (Income) - Net Operating,-42,-46,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-963,46,-,-
Operating Income,797,740,-,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,30,529,-,-
"Other, Net",104,-252,-,-
Net Income Before Taxes,663,463,-,-
Provision for Income Taxes,153,-9,-,-
Net Income After Taxes,510,472,-,-
Minority Interest,58,51,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,504,462,-,-
Total Extraordinary Items,-,-,-,-
Net Income,504,462,-,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,504,462,-,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,504,462,-,-
Diluted Weighted Average Shares,1.29,1.29,-,-
Diluted EPS Excluding Extraordinary Items,391.9,359.24,-,-
DPS - Common Stock Primary Issue,-,15,-,-
Diluted Normalized EPS,412.8,339.7,-,-
