Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Revenue,81193,80065,67590,60824
"Revenue 81193 80065 67590 60824  Other Revenue, Total - - - -","Revenue 81193 80065 67590 60824  Other Revenue, Total - - - -","Revenue 81193 80065 67590 60824  Other Revenue, Total - - - -","Revenue 81193 80065 67590 60824  Other Revenue, Total - - - -","Revenue 81193 80065 67590 60824  Other Revenue, Total - - - -"
Revenue,81193,80065,67590,60824
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",58638,59282,50270,44742
Gross Profit,22555,20783,17320,16082
Total Operating Expenses,63926,64707,54985,49308
"Selling/General/Admin. Expenses, Total 4620 4375 3713 3723  Research & Development 668 675 676 631  Depreciation / Amortization 566 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 374 325 211  Other Operating Expenses, Total -566 1 1 1","Selling/General/Admin. Expenses, Total 4620 4375 3713 3723  Research & Development 668 675 676 631  Depreciation / Amortization 566 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 374 325 211  Other Operating Expenses, Total -566 1 1 1","Selling/General/Admin. Expenses, Total 4620 4375 3713 3723  Research & Development 668 675 676 631  Depreciation / Amortization 566 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 374 325 211  Other Operating Expenses, Total -566 1 1 1","Selling/General/Admin. Expenses, Total 4620 4375 3713 3723  Research & Development 668 675 676 631  Depreciation / Amortization 566 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 374 325 211  Other Operating Expenses, Total -566 1 1 1","Selling/General/Admin. Expenses, Total 4620 4375 3713 3723  Research & Development 668 675 676 631  Depreciation / Amortization 566 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 374 325 211  Other Operating Expenses, Total -566 1 1 1"
"Selling/General/Admin. Expenses, Total",4620,4375,3713,3723
Research & Development,668,675,676,631
Depreciation / Amortization,566,-,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,374,325,211
"Other Operating Expenses, Total",-566,1,1,1
Operating Income,17267,15358,12605,11516
"Interest Income (Expense), Net Non-Operating",-,229,641,281
Gain (Loss) on Sale of Assets,486,3,-,11
"Other, Net",-1263,325,-41,157
Net Income Before Taxes,18044,15915,13205,11965
Provision for Income Taxes,5696,4605,4225,3892
Net Income After Taxes,12348,11310,8980,8073
Minority Interest,93,30,25,6
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,12366,11340,9005,8079
Total Extraordinary Items,-,-,-,-
Net Income,12366,11340,9005,8079
Total Adjustments to Net Income,-,-,-,1
Income Available to Common Excluding Extraordinary Items,12366,11340,9005,8080
Dilution Adjustment,-,-,-,-
Diluted Net Income,12366,11340,9005,8080
Diluted Weighted Average Shares,53.52,53.83,53.83,53.83
Diluted EPS Excluding Extraordinary Items,231.05,210.67,167.29,150.11
DPS - Common Stock Primary Issue,118,105.5,79.5,67.5
Diluted Normalized EPS,206.67,217.39,173.22,154.44
