Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,16540,16424,15988,16349
"Revenue 16540 16424 15988 16349  Other Revenue, Total - - - -","Revenue 16540 16424 15988 16349  Other Revenue, Total - - - -","Revenue 16540 16424 15988 16349  Other Revenue, Total - - - -","Revenue 16540 16424 15988 16349  Other Revenue, Total - - - -","Revenue 16540 16424 15988 16349  Other Revenue, Total - - - -"
Revenue,16540,16424,15988,16349
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",10557,10290,9781,9971
Gross Profit,5983,6134,6207,6378
Total Operating Expenses,14890,14514,14138,14524
"Selling/General/Admin. Expenses, Total 3832 3702 3782 4049  Research & Development 401 419 486 405  Depreciation / Amortization 537 465 87 89  Interest Expense (Income) - Net Operating -6 -5 - -  Unusual Expense (Income) - 69 2 9  Other Operating Expenses, Total -431 -357 - 1","Selling/General/Admin. Expenses, Total 3832 3702 3782 4049  Research & Development 401 419 486 405  Depreciation / Amortization 537 465 87 89  Interest Expense (Income) - Net Operating -6 -5 - -  Unusual Expense (Income) - 69 2 9  Other Operating Expenses, Total -431 -357 - 1","Selling/General/Admin. Expenses, Total 3832 3702 3782 4049  Research & Development 401 419 486 405  Depreciation / Amortization 537 465 87 89  Interest Expense (Income) - Net Operating -6 -5 - -  Unusual Expense (Income) - 69 2 9  Other Operating Expenses, Total -431 -357 - 1","Selling/General/Admin. Expenses, Total 3832 3702 3782 4049  Research & Development 401 419 486 405  Depreciation / Amortization 537 465 87 89  Interest Expense (Income) - Net Operating -6 -5 - -  Unusual Expense (Income) - 69 2 9  Other Operating Expenses, Total -431 -357 - 1","Selling/General/Admin. Expenses, Total 3832 3702 3782 4049  Research & Development 401 419 486 405  Depreciation / Amortization 537 465 87 89  Interest Expense (Income) - Net Operating -6 -5 - -  Unusual Expense (Income) - 69 2 9  Other Operating Expenses, Total -431 -357 - 1"
"Selling/General/Admin. Expenses, Total",3832,3702,3782,4049
Research & Development,401,419,486,405
Depreciation / Amortization,537,465,87,89
Interest Expense (Income) - Net Operating,-6,-5,-,-
Unusual Expense (Income),-,69,2,9
"Other Operating Expenses, Total",-431,-357,-,1
Operating Income,1650,1910,1850,1825
"Interest Income (Expense), Net Non-Operating",-,36,32,72
Gain (Loss) on Sale of Assets,74,-9,-,-
"Other, Net",-135,21,32,44
Net Income Before Taxes,1711,1898,1914,1941
Provision for Income Taxes,493,551,540,572
Net Income After Taxes,1218,1347,1374,1369
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1218,1347,1374,1369
Total Extraordinary Items,-,-,-,-
Net Income,1218,1347,1374,1369
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,1218,1347,1374,1369
Dilution Adjustment,-,-,-,-
Diluted Net Income,1218,1347,1374,1369
Diluted Weighted Average Shares,19.81,19.83,19.83,19.83
Diluted EPS Excluding Extraordinary Items,61.48,67.92,69.28,69.03
DPS - Common Stock Primary Issue,18,17,17,16
Diluted Normalized EPS,54.64,62.02,69.35,69.35
