Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,50627,48474,41179,46191
"Revenue 50627 48474 41179 46191  Other Revenue, Total - - - -","Revenue 50627 48474 41179 46191  Other Revenue, Total - - - -","Revenue 50627 48474 41179 46191  Other Revenue, Total - - - -","Revenue 50627 48474 41179 46191  Other Revenue, Total - - - -","Revenue 50627 48474 41179 46191  Other Revenue, Total - - - -"
Revenue,50627,48474,41179,46191
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",34456,32431,27410,30990
Gross Profit,16171,16043,13769,15201
Total Operating Expenses,47999,45956,39652,44584
"Selling/General/Admin. Expenses, Total 11479 11597 10484 11730  Research & Development 2064 1992 1868 2075  Depreciation / Amortization 2417 - - -  Interest Expense (Income) - Net Operating -35 - - -  Unusual Expense (Income) - -65 -111 -212  Other Operating Expenses, Total -2382 1 1 1","Selling/General/Admin. Expenses, Total 11479 11597 10484 11730  Research & Development 2064 1992 1868 2075  Depreciation / Amortization 2417 - - -  Interest Expense (Income) - Net Operating -35 - - -  Unusual Expense (Income) - -65 -111 -212  Other Operating Expenses, Total -2382 1 1 1","Selling/General/Admin. Expenses, Total 11479 11597 10484 11730  Research & Development 2064 1992 1868 2075  Depreciation / Amortization 2417 - - -  Interest Expense (Income) - Net Operating -35 - - -  Unusual Expense (Income) - -65 -111 -212  Other Operating Expenses, Total -2382 1 1 1","Selling/General/Admin. Expenses, Total 11479 11597 10484 11730  Research & Development 2064 1992 1868 2075  Depreciation / Amortization 2417 - - -  Interest Expense (Income) - Net Operating -35 - - -  Unusual Expense (Income) - -65 -111 -212  Other Operating Expenses, Total -2382 1 1 1","Selling/General/Admin. Expenses, Total 11479 11597 10484 11730  Research & Development 2064 1992 1868 2075  Depreciation / Amortization 2417 - - -  Interest Expense (Income) - Net Operating -35 - - -  Unusual Expense (Income) - -65 -111 -212  Other Operating Expenses, Total -2382 1 1 1"
"Selling/General/Admin. Expenses, Total",11479,11597,10484,11730
Research & Development,2064,1992,1868,2075
Depreciation / Amortization,2417,-,-,-
Interest Expense (Income) - Net Operating,-35,-,-,-
Unusual Expense (Income),-,-65,-111,-212
"Other Operating Expenses, Total",-2382,1,1,1
Operating Income,2628,2518,1527,1607
"Interest Income (Expense), Net Non-Operating",-,248,-34,-117
Gain (Loss) on Sale of Assets,16,607,4,7
"Other, Net",-656,88,273,105
Net Income Before Taxes,3268,3461,1770,1602
Provision for Income Taxes,1007,738,600,502
Net Income After Taxes,2261,2723,1170,1100
Minority Interest,2432,-127,-125,-199
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,2114,2596,1045,901
Total Extraordinary Items,-,-,-,-
Net Income,2114,2596,1045,901
Total Adjustments to Net Income,-,-1,-1,-1
Income Available to Common Excluding Extraordinary Items,2114,2595,1044,900
Dilution Adjustment,-,-,-,-
Diluted Net Income,2114,2595,1044,900
Diluted Weighted Average Shares,15.77,15.75,15.73,15.71
Diluted EPS Excluding Extraordinary Items,134.03,164.77,66.37,57.29
DPS - Common Stock Primary Issue,30,22,10,16
Diluted Normalized EPS,116.42,131.2,61.67,48.1
