Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,57881,47243,47794.8,49710.06
"Revenue 57881 47243.83 47794.8 49710.06  Other Revenue, Total - - - -","Revenue 57881 47243.83 47794.8 49710.06  Other Revenue, Total - - - -","Revenue 57881 47243.83 47794.8 49710.06  Other Revenue, Total - - - -","Revenue 57881 47243.83 47794.8 49710.06  Other Revenue, Total - - - -","Revenue 57881 47243.83 47794.8 49710.06  Other Revenue, Total - - - -"
Revenue,57881,47243.83,47794.8,49710.06
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",51681,42883.71,42722.06,44334.5
Gross Profit,6200,4360.12,5072.74,5375.55
Total Operating Expenses,55201,46072.75,46401.18,47521.3
"Selling/General/Admin. Expenses, Total 3520 3160.01 2872.57 2954.2  Research & Development - - 163.65 118.79  Depreciation / Amortization 629 - - -  Interest Expense (Income) - Net Operating -33 - - -  Unusual Expense (Income) - 29.02 642.9 113.81  Other Operating Expenses, Total -596 - - -","Selling/General/Admin. Expenses, Total 3520 3160.01 2872.57 2954.2  Research & Development - - 163.65 118.79  Depreciation / Amortization 629 - - -  Interest Expense (Income) - Net Operating -33 - - -  Unusual Expense (Income) - 29.02 642.9 113.81  Other Operating Expenses, Total -596 - - -","Selling/General/Admin. Expenses, Total 3520 3160.01 2872.57 2954.2  Research & Development - - 163.65 118.79  Depreciation / Amortization 629 - - -  Interest Expense (Income) - Net Operating -33 - - -  Unusual Expense (Income) - 29.02 642.9 113.81  Other Operating Expenses, Total -596 - - -","Selling/General/Admin. Expenses, Total 3520 3160.01 2872.57 2954.2  Research & Development - - 163.65 118.79  Depreciation / Amortization 629 - - -  Interest Expense (Income) - Net Operating -33 - - -  Unusual Expense (Income) - 29.02 642.9 113.81  Other Operating Expenses, Total -596 - - -","Selling/General/Admin. Expenses, Total 3520 3160.01 2872.57 2954.2  Research & Development - - 163.65 118.79  Depreciation / Amortization 629 - - -  Interest Expense (Income) - Net Operating -33 - - -  Unusual Expense (Income) - 29.02 642.9 113.81  Other Operating Expenses, Total -596 - - -"
"Selling/General/Admin. Expenses, Total",3520,3160.01,2872.57,2954.2
Research & Development,-,-,163.65,118.79
Depreciation / Amortization,629,-,-,-
Interest Expense (Income) - Net Operating,-33,-,-,-
Unusual Expense (Income),-,29.02,642.9,113.81
"Other Operating Expenses, Total",-596,-,-,-
Operating Income,2680,1171.09,1393.63,2188.76
"Interest Income (Expense), Net Non-Operating",-,-19.62,-33.78,-40.77
Gain (Loss) on Sale of Assets,1,-16.56,-11.91,-11.85
"Other, Net",204,98.66,213.28,7.8
Net Income Before Taxes,2475,1233.57,1561.22,2143.94
Provision for Income Taxes,792,461.66,528.15,700.11
Net Income After Taxes,1683,771.91,1033.06,1443.83
Minority Interest,291,16.22,21.37,-16.87
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1646,788.12,1054.44,1426.96
Total Extraordinary Items,-,-,-,-
Net Income,1646,788.12,1054.44,1426.96
Total Adjustments to Net Income,-13.79,-13.63,-13.51,-19.37
Income Available to Common Excluding Extraordinary Items,1632.21,774.49,1040.92,1407.6
Dilution Adjustment,-0.275,13.63,13.51,19.37
Diluted Net Income,1646.28,788.12,1054.44,1426.96
Diluted Weighted Average Shares,14.51,14.51,15.69,19.6
Diluted EPS Excluding Extraordinary Items,113.47,54.32,67.19,72.81
DPS - Common Stock Primary Issue,10,10,10,10
Diluted Normalized EPS,114.62,56.29,94.8,77.13
