Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,307911,243202,214120,215050
"Revenue 307911 243202 214120 215050  Other Revenue, Total - - - -","Revenue 307911 243202 214120 215050  Other Revenue, Total - - - -","Revenue 307911 243202 214120 215050  Other Revenue, Total - - - -","Revenue 307911 243202 214120 215050  Other Revenue, Total - - - -","Revenue 307911 243202 214120 215050  Other Revenue, Total - - - -"
Revenue,307911,243202,214120,215050
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",285218,220490,192163,191401
Gross Profit,22693,22712,21957,23649
Total Operating Expenses,306488,238912,208082,209791
"Selling/General/Admin. Expenses, Total 21270 18418 16284 18234  Research & Development - - - -  Depreciation / Amortization 3235 - - -  Interest Expense (Income) - Net Operating -158 - - -  Unusual Expense (Income) - 3 -366 155  Other Operating Expenses, Total -3867 1 1 1","Selling/General/Admin. Expenses, Total 21270 18418 16284 18234  Research & Development - - - -  Depreciation / Amortization 3235 - - -  Interest Expense (Income) - Net Operating -158 - - -  Unusual Expense (Income) - 3 -366 155  Other Operating Expenses, Total -3867 1 1 1","Selling/General/Admin. Expenses, Total 21270 18418 16284 18234  Research & Development - - - -  Depreciation / Amortization 3235 - - -  Interest Expense (Income) - Net Operating -158 - - -  Unusual Expense (Income) - 3 -366 155  Other Operating Expenses, Total -3867 1 1 1","Selling/General/Admin. Expenses, Total 21270 18418 16284 18234  Research & Development - - - -  Depreciation / Amortization 3235 - - -  Interest Expense (Income) - Net Operating -158 - - -  Unusual Expense (Income) - 3 -366 155  Other Operating Expenses, Total -3867 1 1 1","Selling/General/Admin. Expenses, Total 21270 18418 16284 18234  Research & Development - - - -  Depreciation / Amortization 3235 - - -  Interest Expense (Income) - Net Operating -158 - - -  Unusual Expense (Income) - 3 -366 155  Other Operating Expenses, Total -3867 1 1 1"
"Selling/General/Admin. Expenses, Total",21270,18418,16284,18234
Research & Development,-,-,-,-
Depreciation / Amortization,3235,-,-,-
Interest Expense (Income) - Net Operating,-158,-,-,-
Unusual Expense (Income),-,3,-366,155
"Other Operating Expenses, Total",-3867,1,1,1
Operating Income,1423,4290,6038,5259
"Interest Income (Expense), Net Non-Operating",-,212,12,128
Gain (Loss) on Sale of Assets,329,-19,99,18
"Other, Net",-543,607,323,301
Net Income Before Taxes,1637,5090,6472,5706
Provision for Income Taxes,595,1401,1972,1866
Net Income After Taxes,1042,3689,4500,3840
Minority Interest,546,-29,-61,2
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1030,3660,4439,3842
Total Extraordinary Items,-,-,-,-
Net Income,1030,3660,4439,3842
Total Adjustments to Net Income,-,-1,-1,-
Income Available to Common Excluding Extraordinary Items,1030,3659,4438,3842
Dilution Adjustment,-,-,-,-
Diluted Net Income,1030,3659,4438,3842
Diluted Weighted Average Shares,38.17,38.66,39.35,39.36
Diluted EPS Excluding Extraordinary Items,26.99,94.64,112.78,97.62
DPS - Common Stock Primary Issue,25,25,25,25
Diluted Normalized EPS,28.67,95.05,104.56,99.96
