Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,32763,25829,67355,163204
"Revenue 32763 25829 67355 163204  Other Revenue, Total - - - -","Revenue 32763 25829 67355 163204  Other Revenue, Total - - - -","Revenue 32763 25829 67355 163204  Other Revenue, Total - - - -","Revenue 32763 25829 67355 163204  Other Revenue, Total - - - -","Revenue 32763 25829 67355 163204  Other Revenue, Total - - - -"
Revenue,32763,25829,67355,163204
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",20811,17483,63888,149034
Gross Profit,11952,8346,3467,14170
Total Operating Expenses,31943,26662,73744,162788
"Selling/General/Admin. Expenses, Total 11050 9137 9782 13074  Research & Development - - - -  Depreciation / Amortization 2354 42 49 82  Interest Expense (Income) - Net Operating -237 -360 - -  Unusual Expense (Income) - 471 158 688  Other Operating Expenses, Total -2035 -2205 -133 -90","Selling/General/Admin. Expenses, Total 11050 9137 9782 13074  Research & Development - - - -  Depreciation / Amortization 2354 42 49 82  Interest Expense (Income) - Net Operating -237 -360 - -  Unusual Expense (Income) - 471 158 688  Other Operating Expenses, Total -2035 -2205 -133 -90","Selling/General/Admin. Expenses, Total 11050 9137 9782 13074  Research & Development - - - -  Depreciation / Amortization 2354 42 49 82  Interest Expense (Income) - Net Operating -237 -360 - -  Unusual Expense (Income) - 471 158 688  Other Operating Expenses, Total -2035 -2205 -133 -90","Selling/General/Admin. Expenses, Total 11050 9137 9782 13074  Research & Development - - - -  Depreciation / Amortization 2354 42 49 82  Interest Expense (Income) - Net Operating -237 -360 - -  Unusual Expense (Income) - 471 158 688  Other Operating Expenses, Total -2035 -2205 -133 -90","Selling/General/Admin. Expenses, Total 11050 9137 9782 13074  Research & Development - - - -  Depreciation / Amortization 2354 42 49 82  Interest Expense (Income) - Net Operating -237 -360 - -  Unusual Expense (Income) - 471 158 688  Other Operating Expenses, Total -2035 -2205 -133 -90"
"Selling/General/Admin. Expenses, Total",11050,9137,9782,13074
Research & Development,-,-,-,-
Depreciation / Amortization,2354,42,49,82
Interest Expense (Income) - Net Operating,-237,-360,-,-
Unusual Expense (Income),-,471,158,688
"Other Operating Expenses, Total",-2035,-2205,-133,-90
Operating Income,820,-833,-6389,416
"Interest Income (Expense), Net Non-Operating",-,-479,-212,-3
Gain (Loss) on Sale of Assets,649,-,-,-
"Other, Net",-1079,483,435,9
Net Income Before Taxes,1250,-1316,-6166,422
Provision for Income Taxes,-165,-191,506,292
Net Income After Taxes,1415,-1125,-6672,130
Minority Interest,3,3,8,-8
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1415,-1122,-6664,122
Total Extraordinary Items,-,-,-,-
Net Income,1415,-1122,-6664,122
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,1415,-1122,-6664,121
Dilution Adjustment,-,-,-,-
Diluted Net Income,1415,-1122,-6664,121
Diluted Weighted Average Shares,15.26,15.13,13.91,13.62
Diluted EPS Excluding Extraordinary Items,92.72,-74.14,-479.01,8.88
DPS - Common Stock Primary Issue,-,-,-,5
Diluted Normalized EPS,24.61,-34.7,-471.63,41.71
