Period Ending:,202331/03,202231/03,Unnamed: 3,Unnamed: 4
Total Revenue,4818,4790,-,-
"Revenue 4818 4790 - -  Other Revenue, Total - - - -","Revenue 4818 4790 - -  Other Revenue, Total - - - -","Revenue 4818 4790 - -  Other Revenue, Total - - - -","Revenue 4818 4790 - -  Other Revenue, Total - - - -","Revenue 4818 4790 - -  Other Revenue, Total - - - -"
Revenue,4818,4790,-,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3207,3042,-,-
Gross Profit,1611,1748,-,-
Total Operating Expenses,4424,4178,-,-
"Selling/General/Admin. Expenses, Total 1217 1136 - -  Research & Development - - - -  Depreciation / Amortization 60 - - -  Interest Expense (Income) - Net Operating -7 -8 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -53 8 - -","Selling/General/Admin. Expenses, Total 1217 1136 - -  Research & Development - - - -  Depreciation / Amortization 60 - - -  Interest Expense (Income) - Net Operating -7 -8 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -53 8 - -","Selling/General/Admin. Expenses, Total 1217 1136 - -  Research & Development - - - -  Depreciation / Amortization 60 - - -  Interest Expense (Income) - Net Operating -7 -8 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -53 8 - -","Selling/General/Admin. Expenses, Total 1217 1136 - -  Research & Development - - - -  Depreciation / Amortization 60 - - -  Interest Expense (Income) - Net Operating -7 -8 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -53 8 - -","Selling/General/Admin. Expenses, Total 1217 1136 - -  Research & Development - - - -  Depreciation / Amortization 60 - - -  Interest Expense (Income) - Net Operating -7 -8 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -53 8 - -"
"Selling/General/Admin. Expenses, Total",1217,1136,-,-
Research & Development,-,-,-,-
Depreciation / Amortization,60,-,-,-
Interest Expense (Income) - Net Operating,-7,-8,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-53,8,-,-
Operating Income,394,612,-,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,5,4,-,-
"Other, Net",15,1,-,-
Net Income Before Taxes,374,607,-,-
Provision for Income Taxes,132,213,-,-
Net Income After Taxes,242,394,-,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,242,394,-,-
Total Extraordinary Items,-,-,-,-
Net Income,242,394,-,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,242,394,-,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,242,394,-,-
Diluted Weighted Average Shares,2.71,2.71,-,-
Diluted EPS Excluding Extraordinary Items,89.4,145.55,-,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,85.43,140.84,-,-
