Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,37893,35670,33519,38037
"Revenue 37893 35670 33519 38037  Other Revenue, Total - - - -","Revenue 37893 35670 33519 38037  Other Revenue, Total - - - -","Revenue 37893 35670 33519 38037  Other Revenue, Total - - - -","Revenue 37893 35670 33519 38037  Other Revenue, Total - - - -","Revenue 37893 35670 33519 38037  Other Revenue, Total - - - -"
Revenue,37893,35670,33519,38037
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",31287,29072,27192,30466
Gross Profit,-,6598,6327,7571
Total Operating Expenses,-,34313,32322,36200
"Selling/General/Admin. Expenses, Total 5387 5241 5130 5613  Research & Development - 337 353 -  Depreciation / Amortization 1845 1901 1933 -  Interest Expense (Income) - Net Operating -226 -253 -272 -  Unusual Expense (Income) - 838 1287 121  Other Operating Expenses, Total -1619 -1985 -2014 1","Selling/General/Admin. Expenses, Total 5387 5241 5130 5613  Research & Development - 337 353 -  Depreciation / Amortization 1845 1901 1933 -  Interest Expense (Income) - Net Operating -226 -253 -272 -  Unusual Expense (Income) - 838 1287 121  Other Operating Expenses, Total -1619 -1985 -2014 1","Selling/General/Admin. Expenses, Total 5387 5241 5130 5613  Research & Development - 337 353 -  Depreciation / Amortization 1845 1901 1933 -  Interest Expense (Income) - Net Operating -226 -253 -272 -  Unusual Expense (Income) - 838 1287 121  Other Operating Expenses, Total -1619 -1985 -2014 1","Selling/General/Admin. Expenses, Total 5387 5241 5130 5613  Research & Development - 337 353 -  Depreciation / Amortization 1845 1901 1933 -  Interest Expense (Income) - Net Operating -226 -253 -272 -  Unusual Expense (Income) - 838 1287 121  Other Operating Expenses, Total -1619 -1985 -2014 1","Selling/General/Admin. Expenses, Total 5387 5241 5130 5613  Research & Development - 337 353 -  Depreciation / Amortization 1845 1901 1933 -  Interest Expense (Income) - Net Operating -226 -253 -272 -  Unusual Expense (Income) - 838 1287 121  Other Operating Expenses, Total -1619 -1985 -2014 1"
"Selling/General/Admin. Expenses, Total",5387,5241,5130,5613
Research & Development,-,337,353,-
Depreciation / Amortization,1845,1901,1933,-
Interest Expense (Income) - Net Operating,-226,-253,-272,-
Unusual Expense (Income),-,838,1287,121
"Other Operating Expenses, Total",-1619,-1985,-2014,1
Operating Income,1219,1357,1197,1837
"Interest Income (Expense), Net Non-Operating",-,-194,-210,-220
Gain (Loss) on Sale of Assets,-883,2,102,12
"Other, Net",1211,1060,1159,-165
Net Income Before Taxes,891,295,-64,1464
Provision for Income Taxes,-,260,250,594
Net Income After Taxes,1582,35,-314,870
Minority Interest,19,1,895,91
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1568,49,9,961
Total Extraordinary Items,-,-,-,-
Net Income,1568,49,9,961
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,-,49,9,961
Dilution Adjustment,-,-,-,-
Diluted Net Income,-,49,9,961
Diluted Weighted Average Shares,11.59,11.23,10.79,10.79
Diluted EPS Excluding Extraordinary Items,135.29,4.36,0.834,89.1
DPS - Common Stock Primary Issue,-,40,40,40
Diluted Normalized EPS,59.46,59.04,84.17,95.11
