Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,13622,12038,10992.81,9646.84
"Revenue 13622 12038.77 10992.81 9646.84  Other Revenue, Total - - - -","Revenue 13622 12038.77 10992.81 9646.84  Other Revenue, Total - - - -","Revenue 13622 12038.77 10992.81 9646.84  Other Revenue, Total - - - -","Revenue 13622 12038.77 10992.81 9646.84  Other Revenue, Total - - - -","Revenue 13622 12038.77 10992.81 9646.84  Other Revenue, Total - - - -"
Revenue,13622,12038.77,10992.81,9646.84
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",10064,8947.16,7900.29,7115.17
Gross Profit,3558,3091.61,3092.52,2531.67
Total Operating Expenses,12716,11432.41,10151.16,9098.41
"Selling/General/Admin. Expenses, Total 2652 2452.9 2239.99 1975.65  Research & Development 4 - 8.92 7.8  Depreciation / Amortization 124 - - -  Interest Expense (Income) - Net Operating -7 - - -  Unusual Expense (Income) - 32.35 1.96 -0.21  Other Operating Expenses, Total -121 - - -","Selling/General/Admin. Expenses, Total 2652 2452.9 2239.99 1975.65  Research & Development 4 - 8.92 7.8  Depreciation / Amortization 124 - - -  Interest Expense (Income) - Net Operating -7 - - -  Unusual Expense (Income) - 32.35 1.96 -0.21  Other Operating Expenses, Total -121 - - -","Selling/General/Admin. Expenses, Total 2652 2452.9 2239.99 1975.65  Research & Development 4 - 8.92 7.8  Depreciation / Amortization 124 - - -  Interest Expense (Income) - Net Operating -7 - - -  Unusual Expense (Income) - 32.35 1.96 -0.21  Other Operating Expenses, Total -121 - - -","Selling/General/Admin. Expenses, Total 2652 2452.9 2239.99 1975.65  Research & Development 4 - 8.92 7.8  Depreciation / Amortization 124 - - -  Interest Expense (Income) - Net Operating -7 - - -  Unusual Expense (Income) - 32.35 1.96 -0.21  Other Operating Expenses, Total -121 - - -","Selling/General/Admin. Expenses, Total 2652 2452.9 2239.99 1975.65  Research & Development 4 - 8.92 7.8  Depreciation / Amortization 124 - - -  Interest Expense (Income) - Net Operating -7 - - -  Unusual Expense (Income) - 32.35 1.96 -0.21  Other Operating Expenses, Total -121 - - -"
"Selling/General/Admin. Expenses, Total",2652,2452.9,2239.99,1975.65
Research & Development,4,-,8.92,7.8
Depreciation / Amortization,124,-,-,-
Interest Expense (Income) - Net Operating,-7,-,-,-
Unusual Expense (Income),-,32.35,1.96,-0.21
"Other Operating Expenses, Total",-121,-,-,-
Operating Income,906,606.36,841.65,548.43
"Interest Income (Expense), Net Non-Operating",-,87.83,67.91,55.22
Gain (Loss) on Sale of Assets,64,-,-,-
"Other, Net",-323,16,28.48,14.88
Net Income Before Taxes,1165,710.19,938.05,618.53
Provision for Income Taxes,423,255.43,303.88,206.93
Net Income After Taxes,742,454.76,634.17,411.6
Minority Interest,18,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,743,454.76,634.17,411.6
Total Extraordinary Items,-,-,-,-
Net Income,743,454.76,634.17,411.6
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,743,454.76,634.16,411.6
Dilution Adjustment,-0.305,-,-,-
Diluted Net Income,743.3,454.76,634.16,411.6
Diluted Weighted Average Shares,11.3,11.64,11.66,11.72
Diluted EPS Excluding Extraordinary Items,65.79,39.07,54.41,35.11
DPS - Common Stock Primary Issue,18,16,16,5
Diluted Normalized EPS,60.99,42.89,56.63,37.06
