Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,572285,514353,497156,484395
"Revenue - 514353 497156 484395  Other Revenue, Total - - - -","Revenue - 514353 497156 484395  Other Revenue, Total - - - -","Revenue - 514353 497156 484395  Other Revenue, Total - - - -","Revenue - 514353 497156 484395  Other Revenue, Total - - - -","Revenue - 514353 497156 484395  Other Revenue, Total - - - -"
Revenue,-,514353,497156,484395
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",511667,460709,442670,434768
Gross Profit,-,53644,54486,49627
Total Operating Expenses,551124,494332,475908,465735
"Selling/General/Admin. Expenses, Total 39457 33138 32324 30491  Research & Development - - 361 341  Depreciation / Amortization 5213 - - -116  Interest Expense (Income) - Net Operating -424 - - -  Unusual Expense (Income) - 484 552 250  Other Operating Expenses, Total -4789 1 1 1","Selling/General/Admin. Expenses, Total 39457 33138 32324 30491  Research & Development - - 361 341  Depreciation / Amortization 5213 - - -116  Interest Expense (Income) - Net Operating -424 - - -  Unusual Expense (Income) - 484 552 250  Other Operating Expenses, Total -4789 1 1 1","Selling/General/Admin. Expenses, Total 39457 33138 32324 30491  Research & Development - - 361 341  Depreciation / Amortization 5213 - - -116  Interest Expense (Income) - Net Operating -424 - - -  Unusual Expense (Income) - 484 552 250  Other Operating Expenses, Total -4789 1 1 1","Selling/General/Admin. Expenses, Total 39457 33138 32324 30491  Research & Development - - 361 341  Depreciation / Amortization 5213 - - -116  Interest Expense (Income) - Net Operating -424 - - -  Unusual Expense (Income) - 484 552 250  Other Operating Expenses, Total -4789 1 1 1","Selling/General/Admin. Expenses, Total 39457 33138 32324 30491  Research & Development - - 361 341  Depreciation / Amortization 5213 - - -116  Interest Expense (Income) - Net Operating -424 - - -  Unusual Expense (Income) - 484 552 250  Other Operating Expenses, Total -4789 1 1 1"
"Selling/General/Admin. Expenses, Total",39457,33138,32324,30491
Research & Development,-,-,361,341
Depreciation / Amortization,5213,-,-,-116
Interest Expense (Income) - Net Operating,-424,-,-,-
Unusual Expense (Income),-,484,552,250
"Other Operating Expenses, Total",-4789,1,1,1
Operating Income,21161,20021,21248,18660
"Interest Income (Expense), Net Non-Operating",-,291,375,422
Gain (Loss) on Sale of Assets,41,-,-1,189
"Other, Net",455,492,-387,599
Net Income Before Taxes,20665,20804,21235,19870
Provision for Income Taxes,9060,8418,8873,8041
Net Income After Taxes,-,12386,12362,11829
Minority Interest,3077,-213,-82,-25
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-,12173,12280,11804
Total Extraordinary Items,-,-,-,-
Net Income,12063,12173,12280,11804
Total Adjustments to Net Income,-,-1,-,-1
Income Available to Common Excluding Extraordinary Items,-,12172,12280,11803
Dilution Adjustment,16,-16,-16,-16
Diluted Net Income,12047,12156,12264,11787
Diluted Weighted Average Shares,103.92,104.03,103.97,104.66
Diluted EPS Excluding Extraordinary Items,115.93,116.86,117.95,112.62
DPS - Common Stock Primary Issue,42,41,40,37.5
Diluted Normalized EPS,128.35,137.69,139.87,128.28
