Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,129054,112085,108679,100679
"Revenue 129054 112085 108679 100679  Other Revenue, Total - - - -","Revenue 129054 112085 108679 100679  Other Revenue, Total - - - -","Revenue 129054 112085 108679 100679  Other Revenue, Total - - - -","Revenue 129054 112085 108679 100679  Other Revenue, Total - - - -","Revenue 129054 112085 108679 100679  Other Revenue, Total - - - -"
Revenue,129054,112085,108679,100679
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",82267,72068,71207,67288
Gross Profit,46787,40017,37472,33391
Total Operating Expenses,110490,98547,97079,91345
"Selling/General/Admin. Expenses, Total 28223 26479 23331 21771  Research & Development 1741 1735 1951 1544  Depreciation / Amortization 3103 2989 - -  Interest Expense (Income) - Net Operating -22 -34 - -  Unusual Expense (Income) - 53 589 741  Other Operating Expenses, Total -4822 -4690 1 1","Selling/General/Admin. Expenses, Total 28223 26479 23331 21771  Research & Development 1741 1735 1951 1544  Depreciation / Amortization 3103 2989 - -  Interest Expense (Income) - Net Operating -22 -34 - -  Unusual Expense (Income) - 53 589 741  Other Operating Expenses, Total -4822 -4690 1 1","Selling/General/Admin. Expenses, Total 28223 26479 23331 21771  Research & Development 1741 1735 1951 1544  Depreciation / Amortization 3103 2989 - -  Interest Expense (Income) - Net Operating -22 -34 - -  Unusual Expense (Income) - 53 589 741  Other Operating Expenses, Total -4822 -4690 1 1","Selling/General/Admin. Expenses, Total 28223 26479 23331 21771  Research & Development 1741 1735 1951 1544  Depreciation / Amortization 3103 2989 - -  Interest Expense (Income) - Net Operating -22 -34 - -  Unusual Expense (Income) - 53 589 741  Other Operating Expenses, Total -4822 -4690 1 1","Selling/General/Admin. Expenses, Total 28223 26479 23331 21771  Research & Development 1741 1735 1951 1544  Depreciation / Amortization 3103 2989 - -  Interest Expense (Income) - Net Operating -22 -34 - -  Unusual Expense (Income) - 53 589 741  Other Operating Expenses, Total -4822 -4690 1 1"
"Selling/General/Admin. Expenses, Total",28223,26479,23331,21771
Research & Development,1741,1735,1951,1544
Depreciation / Amortization,3103,2989,-,-
Interest Expense (Income) - Net Operating,-22,-34,-,-
Unusual Expense (Income),-,53,589,741
"Other Operating Expenses, Total",-4822,-4690,1,1
Operating Income,18564,13538,11600,9334
"Interest Income (Expense), Net Non-Operating",-,-353,-698,-5
Gain (Loss) on Sale of Assets,-51,-53,-,-
"Other, Net",965,422,48,-144
Net Income Before Taxes,17650,13169,10950,9185
Provision for Income Taxes,5041,4225,3584,2953
Net Income After Taxes,12610,8944,7366,6232
Minority Interest,32,19,-3,-5
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,12598,8944,7363,6227
Total Extraordinary Items,-,-,-,-
Net Income,12598,8944,7363,6227
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,12598,8944,7362,6226
Dilution Adjustment,-,-,-,-
Diluted Net Income,12598,8944,7362,6226
Diluted Weighted Average Shares,65.1,65.16,65.16,65.16
Diluted EPS Excluding Extraordinary Items,193.51,137.25,112.98,95.54
DPS - Common Stock Primary Issue,78,56,46,38.5
Diluted Normalized EPS,176.02,126.81,119.06,103.26
