Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,47971,47935,48539,50683
"Revenue 47971 47935 48539 50683  Other Revenue, Total - - - -","Revenue 47971 47935 48539 50683  Other Revenue, Total - - - -","Revenue 47971 47935 48539 50683  Other Revenue, Total - - - -","Revenue 47971 47935 48539 50683  Other Revenue, Total - - - -","Revenue 47971 47935 48539 50683  Other Revenue, Total - - - -"
Revenue,47971,47935,48539,50683
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",36370,36036,37790,40124
Gross Profit,11601,11899,10749,10559
Total Operating Expenses,44784,44201,46867,52415
"Selling/General/Admin. Expenses, Total 8165 7986 8584 9158  Research & Development 681 - - -  Depreciation / Amortization 580 215 215 85  Interest Expense (Income) - Net Operating -83 - - -  Unusual Expense (Income) - -37 276 3046  Other Operating Expenses, Total -929 1 2 2","Selling/General/Admin. Expenses, Total 8165 7986 8584 9158  Research & Development 681 - - -  Depreciation / Amortization 580 215 215 85  Interest Expense (Income) - Net Operating -83 - - -  Unusual Expense (Income) - -37 276 3046  Other Operating Expenses, Total -929 1 2 2","Selling/General/Admin. Expenses, Total 8165 7986 8584 9158  Research & Development 681 - - -  Depreciation / Amortization 580 215 215 85  Interest Expense (Income) - Net Operating -83 - - -  Unusual Expense (Income) - -37 276 3046  Other Operating Expenses, Total -929 1 2 2","Selling/General/Admin. Expenses, Total 8165 7986 8584 9158  Research & Development 681 - - -  Depreciation / Amortization 580 215 215 85  Interest Expense (Income) - Net Operating -83 - - -  Unusual Expense (Income) - -37 276 3046  Other Operating Expenses, Total -929 1 2 2","Selling/General/Admin. Expenses, Total 8165 7986 8584 9158  Research & Development 681 - - -  Depreciation / Amortization 580 215 215 85  Interest Expense (Income) - Net Operating -83 - - -  Unusual Expense (Income) - -37 276 3046  Other Operating Expenses, Total -929 1 2 2"
"Selling/General/Admin. Expenses, Total",8165,7986,8584,9158
Research & Development,681,-,-,-
Depreciation / Amortization,580,215,215,85
Interest Expense (Income) - Net Operating,-83,-,-,-
Unusual Expense (Income),-,-37,276,3046
"Other Operating Expenses, Total",-929,1,2,2
Operating Income,3187,3734,1672,-1732
"Interest Income (Expense), Net Non-Operating",-,-62,1066,4942
Gain (Loss) on Sale of Assets,633,272,-,-
"Other, Net",-1051,34,-39,148
Net Income Before Taxes,3605,3978,2699,3358
Provision for Income Taxes,1451,1466,977,1788
Net Income After Taxes,2154,2512,1722,1570
Minority Interest,679,-34,-52,-70
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,2093,2478,1670,1500
Total Extraordinary Items,-,-,-,-
Net Income,2093,2478,1670,1500
Total Adjustments to Net Income,-,-2,-1,-
Income Available to Common Excluding Extraordinary Items,2093,2476,1669,1500
Dilution Adjustment,-,-,-,-
Diluted Net Income,2093,2476,1669,1500
Diluted Weighted Average Shares,16.94,16.87,16.6,17.68
Diluted EPS Excluding Extraordinary Items,123.54,146.73,100.54,84.82
DPS - Common Stock Primary Issue,60,60,60,50
Diluted Normalized EPS,112.87,140.85,116.57,175.59
