Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Revenue,90378,70248,42572.92,28769.95
"Revenue 90378 70248 42572.92 28769.95  Other Revenue, Total - - - -","Revenue 90378 70248 42572.92 28769.95  Other Revenue, Total - - - -","Revenue 90378 70248 42572.92 28769.95  Other Revenue, Total - - - -","Revenue 90378 70248 42572.92 28769.95  Other Revenue, Total - - - -","Revenue 90378 70248 42572.92 28769.95  Other Revenue, Total - - - -"
Revenue,90378,70248,42572.92,28769.95
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",42591,33296,19581.07,12853.15
Gross Profit,47787,36952,22991.84,15916.8
Total Operating Expenses,57886,44174,27515.98,20830.99
"Selling/General/Admin. Expenses, Total 6669 5240 4631.65 4264.19  Research & Development 8626 5706 3297.52 3590.3  Depreciation / Amortization 3483 1642 208.35 121  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 5.74 2.34  Other Operating Expenses, Total -3483 -1710 - -","Selling/General/Admin. Expenses, Total 6669 5240 4631.65 4264.19  Research & Development 8626 5706 3297.52 3590.3  Depreciation / Amortization 3483 1642 208.35 121  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 5.74 2.34  Other Operating Expenses, Total -3483 -1710 - -","Selling/General/Admin. Expenses, Total 6669 5240 4631.65 4264.19  Research & Development 8626 5706 3297.52 3590.3  Depreciation / Amortization 3483 1642 208.35 121  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 5.74 2.34  Other Operating Expenses, Total -3483 -1710 - -","Selling/General/Admin. Expenses, Total 6669 5240 4631.65 4264.19  Research & Development 8626 5706 3297.52 3590.3  Depreciation / Amortization 3483 1642 208.35 121  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 5.74 2.34  Other Operating Expenses, Total -3483 -1710 - -","Selling/General/Admin. Expenses, Total 6669 5240 4631.65 4264.19  Research & Development 8626 5706 3297.52 3590.3  Depreciation / Amortization 3483 1642 208.35 121  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 5.74 2.34  Other Operating Expenses, Total -3483 -1710 - -"
"Selling/General/Admin. Expenses, Total",6669,5240,4631.65,4264.19
Research & Development,8626,5706,3297.52,3590.3
Depreciation / Amortization,3483,1642,208.35,121
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-,5.74,2.34
"Other Operating Expenses, Total",-3483,-1710,-,-
Operating Income,32492,26074,15056.94,7938.96
"Interest Income (Expense), Net Non-Operating",-,357.67,50.42,-112.97
Gain (Loss) on Sale of Assets,235,-,-,-
"Other, Net",-1324,-364,8.06,8.5
Net Income Before Taxes,33581,26438,15115.42,7834.49
Provision for Income Taxes,8731,7188,4291.85,1900.56
Net Income After Taxes,24850,19250,10823.57,5933.93
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,24850,19250,10823.57,5933.93
Total Extraordinary Items,-,-,-,-
Net Income,24850,19250,10823.57,5933.93
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,24850,19250,10823.57,5933.93
Dilution Adjustment,-1.05,-0.256,-,-
Diluted Net Income,24851.05,19250.26,10823.57,5933.93
Diluted Weighted Average Shares,90.26,90.25,90.25,90.25
Diluted EPS Excluding Extraordinary Items,275.34,213.29,119.92,65.75
DPS - Common Stock Primary Issue,97,75,42.5,23.5
Diluted Normalized EPS,230.91,183.08,119.97,65.77
