Period Ending:,202331/03,202231/03,Unnamed: 3,Unnamed: 4
Total Revenue,709641,682912,-,-
"Revenue 400937 390678 - -  Other Revenue, Total 308704 292234 - -","Revenue 400937 390678 - -  Other Revenue, Total 308704 292234 - -","Revenue 400937 390678 - -  Other Revenue, Total 308704 292234 - -","Revenue 400937 390678 - -  Other Revenue, Total 308704 292234 - -","Revenue 400937 390678 - -  Other Revenue, Total 308704 292234 - -"
Revenue,400937,390678,-,-
"Other Revenue, Total",308704,292234,-,-
"Cost of Revenue, Total",611517,591302,-,-
Gross Profit,98124,91610,-,-
Total Operating Expenses,669145,645422,-,-
"Selling/General/Admin. Expenses, Total 57628 40247 - -  Research & Development 4917 7125 - -  Depreciation / Amortization 24597 24890 - -  Interest Expense (Income) - Net Operating -2264 -2571 - -  Unusual Expense (Income) - 1651 - -  Other Operating Expenses, Total -15601 -15571 - -","Selling/General/Admin. Expenses, Total 57628 40247 - -  Research & Development 4917 7125 - -  Depreciation / Amortization 24597 24890 - -  Interest Expense (Income) - Net Operating -2264 -2571 - -  Unusual Expense (Income) - 1651 - -  Other Operating Expenses, Total -15601 -15571 - -","Selling/General/Admin. Expenses, Total 57628 40247 - -  Research & Development 4917 7125 - -  Depreciation / Amortization 24597 24890 - -  Interest Expense (Income) - Net Operating -2264 -2571 - -  Unusual Expense (Income) - 1651 - -  Other Operating Expenses, Total -15601 -15571 - -","Selling/General/Admin. Expenses, Total 57628 40247 - -  Research & Development 4917 7125 - -  Depreciation / Amortization 24597 24890 - -  Interest Expense (Income) - Net Operating -2264 -2571 - -  Unusual Expense (Income) - 1651 - -  Other Operating Expenses, Total -15601 -15571 - -","Selling/General/Admin. Expenses, Total 57628 40247 - -  Research & Development 4917 7125 - -  Depreciation / Amortization 24597 24890 - -  Interest Expense (Income) - Net Operating -2264 -2571 - -  Unusual Expense (Income) - 1651 - -  Other Operating Expenses, Total -15601 -15571 - -"
"Selling/General/Admin. Expenses, Total",57628,40247,-,-
Research & Development,4917,7125,-,-
Depreciation / Amortization,24597,24890,-,-
Interest Expense (Income) - Net Operating,-2264,-2571,-,-
Unusual Expense (Income),-,1651,-,-
"Other Operating Expenses, Total",-15601,-15571,-,-
Operating Income,40496,37490,-,-
"Interest Income (Expense), Net Non-Operating",-,8906,-,-
Gain (Loss) on Sale of Assets,12051,7453,-,-
"Other, Net",-23359,-14485,-,-
Net Income Before Taxes,51804,44522,-,-
Provision for Income Taxes,14983,14744,-,-
Net Income After Taxes,36821,29778,-,-
Minority Interest,9622,8953,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,35870,26689,-,-
Total Extraordinary Items,-,-,-,-
Net Income,35870,26689,-,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,35870,26689,-,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,35870,26689,-,-
Diluted Weighted Average Shares,259.2,281.73,-,-
Diluted EPS Excluding Extraordinary Items,138.39,94.73,-,-
DPS - Common Stock Primary Issue,55,40,-,-
Diluted Normalized EPS,97.04,73.41,-,-
