Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Revenue,359679,331484,319079,480621
"Revenue 359679 331484 319079 480621  Other Revenue, Total - - - -","Revenue 359679 331484 319079 480621  Other Revenue, Total - - - -","Revenue 359679 331484 319079 480621  Other Revenue, Total - - - -","Revenue 359679 331484 319079 480621  Other Revenue, Total - - - -","Revenue 359679 331484 319079 480621  Other Revenue, Total - - - -"
Revenue,359679,331484,319079,480621
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",190142,183642,184711,273667
Gross Profit,169537,147842,134368,206954
Total Operating Expenses,333417,321649,326799,440335
"Selling/General/Admin. Expenses, Total 117767 110152 106866 130989  Research & Development - - - -  Depreciation / Amortization 49107 49629 50361 30601  Interest Expense (Income) - Net Operating -4742 -5214 -5580 -  Unusual Expense (Income) - -202 28013 1883  Other Operating Expenses, Total -18857 -16560 -9559 3195","Selling/General/Admin. Expenses, Total 117767 110152 106866 130989  Research & Development - - - -  Depreciation / Amortization 49107 49629 50361 30601  Interest Expense (Income) - Net Operating -4742 -5214 -5580 -  Unusual Expense (Income) - -202 28013 1883  Other Operating Expenses, Total -18857 -16560 -9559 3195","Selling/General/Admin. Expenses, Total 117767 110152 106866 130989  Research & Development - - - -  Depreciation / Amortization 49107 49629 50361 30601  Interest Expense (Income) - Net Operating -4742 -5214 -5580 -  Unusual Expense (Income) - -202 28013 1883  Other Operating Expenses, Total -18857 -16560 -9559 3195","Selling/General/Admin. Expenses, Total 117767 110152 106866 130989  Research & Development - - - -  Depreciation / Amortization 49107 49629 50361 30601  Interest Expense (Income) - Net Operating -4742 -5214 -5580 -  Unusual Expense (Income) - -202 28013 1883  Other Operating Expenses, Total -18857 -16560 -9559 3195","Selling/General/Admin. Expenses, Total 117767 110152 106866 130989  Research & Development - - - -  Depreciation / Amortization 49107 49629 50361 30601  Interest Expense (Income) - Net Operating -4742 -5214 -5580 -  Unusual Expense (Income) - -202 28013 1883  Other Operating Expenses, Total -18857 -16560 -9559 3195"
"Selling/General/Admin. Expenses, Total",117767,110152,106866,130989
Research & Development,-,-,-,-
Depreciation / Amortization,49107,49629,50361,30601
Interest Expense (Income) - Net Operating,-4742,-5214,-5580,-
Unusual Expense (Income),-,-202,28013,1883
"Other Operating Expenses, Total",-18857,-16560,-9559,3195
Operating Income,26262,9835,-7720,40286
"Interest Income (Expense), Net Non-Operating",-,-3191,-4407,-3127
Gain (Loss) on Sale of Assets,-1312,3073,-1260,-
"Other, Net",10701,572,22212,2
Net Income Before Taxes,16873,6190,-28672,37161
Provision for Income Taxes,2611,2225,-2252,13767
Net Income After Taxes,14262,3965,-26420,23394
Minority Interest,12025,11751,12171,-2141
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,14237,4321,-26193,21253
Total Extraordinary Items,-,-,-,-
Net Income,14237,4321,-26193,21253
Total Adjustments to Net Income,-,-,-,-2
Income Available to Common Excluding Extraordinary Items,14237,4321,-26193,21251
Dilution Adjustment,-1.26,-0.847,-,-
Diluted Net Income,14238.26,4321.85,-26193,21251
Diluted Weighted Average Shares,262.21,261.93,261.84,261.81
Diluted EPS Excluding Extraordinary Items,54.3,16.5,-100.03,81.17
DPS - Common Stock Primary Issue,31,29,27,36
Diluted Normalized EPS,59.45,20.58,-21.94,85.7
