Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,27164,27708,26250.63,29087.31
"Revenue 27164 27708.98 26250.63 29087.31  Other Revenue, Total - - - -","Revenue 27164 27708.98 26250.63 29087.31  Other Revenue, Total - - - -","Revenue 27164 27708.98 26250.63 29087.31  Other Revenue, Total - - - -","Revenue 27164 27708.98 26250.63 29087.31  Other Revenue, Total - - - -","Revenue 27164 27708.98 26250.63 29087.31  Other Revenue, Total - - - -"
Revenue,27164,27708.98,26250.63,29087.31
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",22951,23349.73,21997.38,24711.33
Gross Profit,4213,4359.25,4253.26,4375.98
Total Operating Expenses,25430,25816.97,24511.53,27346.65
"Selling/General/Admin. Expenses, Total 2417 2395.45 2401.22 2558.11  Research & Development - - - -  Depreciation / Amortization 210 62.75 56.4 58.98  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 9.05 56.54 18.22  Other Operating Expenses, Total -142 - - -","Selling/General/Admin. Expenses, Total 2417 2395.45 2401.22 2558.11  Research & Development - - - -  Depreciation / Amortization 210 62.75 56.4 58.98  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 9.05 56.54 18.22  Other Operating Expenses, Total -142 - - -","Selling/General/Admin. Expenses, Total 2417 2395.45 2401.22 2558.11  Research & Development - - - -  Depreciation / Amortization 210 62.75 56.4 58.98  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 9.05 56.54 18.22  Other Operating Expenses, Total -142 - - -","Selling/General/Admin. Expenses, Total 2417 2395.45 2401.22 2558.11  Research & Development - - - -  Depreciation / Amortization 210 62.75 56.4 58.98  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 9.05 56.54 18.22  Other Operating Expenses, Total -142 - - -","Selling/General/Admin. Expenses, Total 2417 2395.45 2401.22 2558.11  Research & Development - - - -  Depreciation / Amortization 210 62.75 56.4 58.98  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 9.05 56.54 18.22  Other Operating Expenses, Total -142 - - -"
"Selling/General/Admin. Expenses, Total",2417,2395.45,2401.22,2558.11
Research & Development,-,-,-,-
Depreciation / Amortization,210,62.75,56.4,58.98
Interest Expense (Income) - Net Operating,-6,-,-,-
Unusual Expense (Income),-,9.05,56.54,18.22
"Other Operating Expenses, Total",-142,-,-,-
Operating Income,1734,1892.01,1739.1,1740.67
"Interest Income (Expense), Net Non-Operating",-,90.15,4.56,9.4
Gain (Loss) on Sale of Assets,-4,-,-,-55.37
"Other, Net",-159,65,61.11,62.58
Net Income Before Taxes,1897,2047.16,1804.77,1757.28
Provision for Income Taxes,622,674.66,625.43,626.26
Net Income After Taxes,1275,1372.5,1179.34,1131.02
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1275,1372.5,1179.34,1131.02
Total Extraordinary Items,-,-,-,-
Net Income,1275,1372.5,1179.34,1131.02
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,1275,1372.5,1179.34,1131.02
Dilution Adjustment,-,-,-,-
Diluted Net Income,1275,1372.5,1179.34,1131.02
Diluted Weighted Average Shares,9.14,9.13,9.12,9.11
Diluted EPS Excluding Extraordinary Items,139.48,150.35,129.36,124.18
DPS - Common Stock Primary Issue,40,30,30,30
Diluted Normalized EPS,129.97,151.01,133.41,129.38
