Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Revenue,3709,3616,4005,4142.8
"Revenue 3709 3616 4005 4142.8  Other Revenue, Total - - - -","Revenue 3709 3616 4005 4142.8  Other Revenue, Total - - - -","Revenue 3709 3616 4005 4142.8  Other Revenue, Total - - - -","Revenue 3709 3616 4005 4142.8  Other Revenue, Total - - - -","Revenue 3709 3616 4005 4142.8  Other Revenue, Total - - - -"
Revenue,3709,3616,4005,4142.8
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1268,1331,1472,1492.57
Gross Profit,2441,2285,2533,2650.23
Total Operating Expenses,3966,3603,3911,3372.88
"Selling/General/Admin. Expenses, Total 2698 2272 2434 1862.19  Research & Development - - - -  Depreciation / Amortization 54 27 26 -  Interest Expense (Income) - Net Operating -2 -3 -4 -  Unusual Expense (Income) - -0.77 3.19 18.12  Other Operating Expenses, Total -52 -24 -17 -","Selling/General/Admin. Expenses, Total 2698 2272 2434 1862.19  Research & Development - - - -  Depreciation / Amortization 54 27 26 -  Interest Expense (Income) - Net Operating -2 -3 -4 -  Unusual Expense (Income) - -0.77 3.19 18.12  Other Operating Expenses, Total -52 -24 -17 -","Selling/General/Admin. Expenses, Total 2698 2272 2434 1862.19  Research & Development - - - -  Depreciation / Amortization 54 27 26 -  Interest Expense (Income) - Net Operating -2 -3 -4 -  Unusual Expense (Income) - -0.77 3.19 18.12  Other Operating Expenses, Total -52 -24 -17 -","Selling/General/Admin. Expenses, Total 2698 2272 2434 1862.19  Research & Development - - - -  Depreciation / Amortization 54 27 26 -  Interest Expense (Income) - Net Operating -2 -3 -4 -  Unusual Expense (Income) - -0.77 3.19 18.12  Other Operating Expenses, Total -52 -24 -17 -","Selling/General/Admin. Expenses, Total 2698 2272 2434 1862.19  Research & Development - - - -  Depreciation / Amortization 54 27 26 -  Interest Expense (Income) - Net Operating -2 -3 -4 -  Unusual Expense (Income) - -0.77 3.19 18.12  Other Operating Expenses, Total -52 -24 -17 -"
"Selling/General/Admin. Expenses, Total",2698,2272,2434,1862.19
Research & Development,-,-,-,-
Depreciation / Amortization,54,27,26,-
Interest Expense (Income) - Net Operating,-2,-3,-4,-
Unusual Expense (Income),-,-0.77,3.19,18.12
"Other Operating Expenses, Total",-52,-24,-17,-
Operating Income,-257,13,94,769.92
"Interest Income (Expense), Net Non-Operating",-,-0.5,-4.3,-0.61
Gain (Loss) on Sale of Assets,-,2,-,-
"Other, Net",-16,-4,3,1.79
Net Income Before Taxes,-241,15,91,771.1
Provision for Income Taxes,-13,36,56,231
Net Income After Taxes,-228,-21,35,540.11
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-228,-21,35,540.11
Total Extraordinary Items,-,-,-,-
Net Income,-228,-21,35,540.11
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,-228,-21,35,540.11
Dilution Adjustment,-,-,0.013,-
Diluted Net Income,-228,-21,34.99,540.11
Diluted Weighted Average Shares,14.02,14.01,13.61,12.89
Diluted EPS Excluding Extraordinary Items,-16.26,-1.5,2.57,41.9
DPS - Common Stock Primary Issue,5,5,5,5
Diluted Normalized EPS,-10.83,0.491,4.36,42.88
