Period Ending:,202330/04,202230/04,202130/04,202030/04
Total Revenue,27871,25921,22465,23016.99
"Revenue 27871 25921 22465 23016.99  Other Revenue, Total - - - -","Revenue 27871 25921 22465 23016.99  Other Revenue, Total - - - -","Revenue 27871 25921 22465 23016.99  Other Revenue, Total - - - -","Revenue 27871 25921 22465 23016.99  Other Revenue, Total - - - -","Revenue 27871 25921 22465 23016.99  Other Revenue, Total - - - -"
Revenue,27871,25921,22465,23016.99
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",17238,15747,12301,12726.36
Gross Profit,10633,10174,10164,10290.63
Total Operating Expenses,25730,24232,20779,21603.08
"Selling/General/Admin. Expenses, Total 8492 8001 7967 8388.78  Research & Development - - - -  Depreciation / Amortization 1403 1482 1838 480.82  Interest Expense (Income) - Net Operating -18 -24 -33 -  Unusual Expense (Income) - 369.09 29.73 7.13  Other Operating Expenses, Total -1385 -974 -1294 -","Selling/General/Admin. Expenses, Total 8492 8001 7967 8388.78  Research & Development - - - -  Depreciation / Amortization 1403 1482 1838 480.82  Interest Expense (Income) - Net Operating -18 -24 -33 -  Unusual Expense (Income) - 369.09 29.73 7.13  Other Operating Expenses, Total -1385 -974 -1294 -","Selling/General/Admin. Expenses, Total 8492 8001 7967 8388.78  Research & Development - - - -  Depreciation / Amortization 1403 1482 1838 480.82  Interest Expense (Income) - Net Operating -18 -24 -33 -  Unusual Expense (Income) - 369.09 29.73 7.13  Other Operating Expenses, Total -1385 -974 -1294 -","Selling/General/Admin. Expenses, Total 8492 8001 7967 8388.78  Research & Development - - - -  Depreciation / Amortization 1403 1482 1838 480.82  Interest Expense (Income) - Net Operating -18 -24 -33 -  Unusual Expense (Income) - 369.09 29.73 7.13  Other Operating Expenses, Total -1385 -974 -1294 -","Selling/General/Admin. Expenses, Total 8492 8001 7967 8388.78  Research & Development - - - -  Depreciation / Amortization 1403 1482 1838 480.82  Interest Expense (Income) - Net Operating -18 -24 -33 -  Unusual Expense (Income) - 369.09 29.73 7.13  Other Operating Expenses, Total -1385 -974 -1294 -"
"Selling/General/Admin. Expenses, Total",8492,8001,7967,8388.78
Research & Development,-,-,-,-
Depreciation / Amortization,1403,1482,1838,480.82
Interest Expense (Income) - Net Operating,-18,-24,-33,-
Unusual Expense (Income),-,369.09,29.73,7.13
"Other Operating Expenses, Total",-1385,-974,-1294,-
Operating Income,2141,1689,1686,1413.9
"Interest Income (Expense), Net Non-Operating",-,238.37,6.64,-83.96
Gain (Loss) on Sale of Assets,111,116,70,57.89
"Other, Net",-422,-240,-243,161.22
Net Income Before Taxes,2452,1813,1859,1549.05
Provision for Income Taxes,866,757,649,556.47
Net Income After Taxes,1586,1056,1210,992.58
Minority Interest,6,6,7,2.02
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1586,1058,1211,994.61
Total Extraordinary Items,-,-,-,-
Net Income,1586,1058,1211,994.61
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,1586,1058,1211,994.61
Dilution Adjustment,-,-,-,-
Diluted Net Income,1586,1058,1211,994.61
Diluted Weighted Average Shares,20.26,20.27,19.88,19.82
Diluted EPS Excluding Extraordinary Items,78.27,52.2,60.93,50.19
DPS - Common Stock Primary Issue,20,20,20,15
Diluted Normalized EPS,72.39,63.78,57.25,54.39
