Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Revenue,340553,301184,313691,337789
"Revenue 340553 301184 313691 337789  Other Revenue, Total - - - -","Revenue 340553 301184 313691 337789  Other Revenue, Total - - - -","Revenue 340553 301184 313691 337789  Other Revenue, Total - - - -","Revenue 340553 301184 313691 337789  Other Revenue, Total - - - -","Revenue 340553 301184 313691 337789  Other Revenue, Total - - - -"
Revenue,340553,301184,313691,337789
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",271272,232177,245808,269300
Gross Profit,69281,69007,67883,68489
Total Operating Expenses,336770,296615,311957,338222
"Selling/General/Admin. Expenses, Total 63925 62702 64153 66024  Research & Development 2379 2401 - -  Depreciation / Amortization 8006 8079 1714 1727  Interest Expense (Income) - Net Operating -599 -597 - -  Unusual Expense (Income) - 791 281 1171  Other Operating Expenses, Total -8213 -8147 1 -","Selling/General/Admin. Expenses, Total 63925 62702 64153 66024  Research & Development 2379 2401 - -  Depreciation / Amortization 8006 8079 1714 1727  Interest Expense (Income) - Net Operating -599 -597 - -  Unusual Expense (Income) - 791 281 1171  Other Operating Expenses, Total -8213 -8147 1 -","Selling/General/Admin. Expenses, Total 63925 62702 64153 66024  Research & Development 2379 2401 - -  Depreciation / Amortization 8006 8079 1714 1727  Interest Expense (Income) - Net Operating -599 -597 - -  Unusual Expense (Income) - 791 281 1171  Other Operating Expenses, Total -8213 -8147 1 -","Selling/General/Admin. Expenses, Total 63925 62702 64153 66024  Research & Development 2379 2401 - -  Depreciation / Amortization 8006 8079 1714 1727  Interest Expense (Income) - Net Operating -599 -597 - -  Unusual Expense (Income) - 791 281 1171  Other Operating Expenses, Total -8213 -8147 1 -","Selling/General/Admin. Expenses, Total 63925 62702 64153 66024  Research & Development 2379 2401 - -  Depreciation / Amortization 8006 8079 1714 1727  Interest Expense (Income) - Net Operating -599 -597 - -  Unusual Expense (Income) - 791 281 1171  Other Operating Expenses, Total -8213 -8147 1 -"
"Selling/General/Admin. Expenses, Total",63925,62702,64153,66024
Research & Development,2379,2401,-,-
Depreciation / Amortization,8006,8079,1714,1727
Interest Expense (Income) - Net Operating,-599,-597,-,-
Unusual Expense (Income),-,791,281,1171
"Other Operating Expenses, Total",-8213,-8147,1,-
Operating Income,3783,4569,1734,-433
"Interest Income (Expense), Net Non-Operating",-,518,-111,181
Gain (Loss) on Sale of Assets,416,750,614,683
"Other, Net",463,-796,-901,-918
Net Income Before Taxes,2904,4615,1336,-487
Provision for Income Taxes,2260,2578,2461,667
Net Income After Taxes,644,2037,-1125,-1154
Minority Interest,3040,2781,-407,-264
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,395,1683,-1532,-1418
Total Extraordinary Items,-,-,-,-
Net Income,395,1683,-1532,-1418
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,395,1683,-1533,-1419
Dilution Adjustment,-,-,-,-
Diluted Net Income,395,1683,-1533,-1419
Diluted Weighted Average Shares,31.36,31.36,31.37,31.38
Diluted EPS Excluding Extraordinary Items,12.6,53.66,-48.87,-45.23
DPS - Common Stock Primary Issue,15,15,15,15
Diluted Normalized EPS,75.71,81.3,-34.51,2.84
