Period Ending:,202330/04,202231/10,202230/04,202131/10
Total Revenue,31163.01,15797,14756,17291
"Revenue 30440.95 15084 14756 32346.44  Other Revenue, Total 722.05 2139 2817.27 5764.08","Revenue 30440.95 15084 14756 32346.44  Other Revenue, Total 722.05 2139 2817.27 5764.08","Revenue 30440.95 15084 14756 32346.44  Other Revenue, Total 722.05 2139 2817.27 5764.08","Revenue 30440.95 15084 14756 32346.44  Other Revenue, Total 722.05 2139 2817.27 5764.08","Revenue 30440.95 15084 14756 32346.44  Other Revenue, Total 722.05 2139 2817.27 5764.08"
Revenue,30440.95,15084,14756,32346.44
"Other Revenue, Total",722.05,2139,2817.27,5764.08
"Cost of Revenue, Total",14805.25,7297,6802,9274.94
Gross Profit,16357.76,8500,7954,23071.5
Total Operating Expenses,15576.33,7718,7130,14943.67
"Selling/General/Admin. Expenses, Total 108.79 62 61 744.94  Research & Development - - - -  Depreciation / Amortization 5203.9 2603 2556 4923.78  Interest Expense (Income) - Net Operating -1463.16 -850 -825 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3078.45 -4182 -1813.88 0.01","Selling/General/Admin. Expenses, Total 108.79 62 61 744.94  Research & Development - - - -  Depreciation / Amortization 5203.9 2603 2556 4923.78  Interest Expense (Income) - Net Operating -1463.16 -850 -825 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3078.45 -4182 -1813.88 0.01","Selling/General/Admin. Expenses, Total 108.79 62 61 744.94  Research & Development - - - -  Depreciation / Amortization 5203.9 2603 2556 4923.78  Interest Expense (Income) - Net Operating -1463.16 -850 -825 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3078.45 -4182 -1813.88 0.01","Selling/General/Admin. Expenses, Total 108.79 62 61 744.94  Research & Development - - - -  Depreciation / Amortization 5203.9 2603 2556 4923.78  Interest Expense (Income) - Net Operating -1463.16 -850 -825 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3078.45 -4182 -1813.88 0.01","Selling/General/Admin. Expenses, Total 108.79 62 61 744.94  Research & Development - - - -  Depreciation / Amortization 5203.9 2603 2556 4923.78  Interest Expense (Income) - Net Operating -1463.16 -850 -825 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3078.45 -4182 -1813.88 0.01"
"Selling/General/Admin. Expenses, Total",108.79,62,61,744.94
Research & Development,-,-,-,-
Depreciation / Amortization,5203.9,2603,2556,4923.78
Interest Expense (Income) - Net Operating,-1463.16,-850,-825,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-3078.45,-4182,-1813.88,0.01
Operating Income,15586.67,8079,7626,17402.77
"Interest Income (Expense), Net Non-Operating",-,-,-,-1689.4
Gain (Loss) on Sale of Assets,-,-,-728.72,-
"Other, Net",1743.72,2625,3748.15,-89.13
Net Income Before Taxes,13842.96,7204,6745,15624.24
Provision for Income Taxes,1.21,-,-,1.21
Net Income After Taxes,13841.75,7204,6745,15623.03
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,13841.75,7204,6745,15623.03
Total Extraordinary Items,-,-,-,-
Net Income,13841.75,7204,6745,15623.03
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,13841.75,7204,6745,15623.03
Dilution Adjustment,-,-,-,-
Diluted Net Income,13841.75,7204,6745,15623.03
Diluted Weighted Average Shares,4.39,4.4,4.43,4.29
Diluted EPS Excluding Extraordinary Items,3151.66,3272.84,3501.54,3642.86
DPS - Common Stock Primary Issue,3479,-,-,3478
Diluted Normalized EPS,1969.77,2049.79,2248,3642.86
