Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,89253,76184,76255,90069
"Revenue 89253 76184 76255 90069  Other Revenue, Total - - - -","Revenue 89253 76184 76255 90069  Other Revenue, Total - - - -","Revenue 89253 76184 76255 90069  Other Revenue, Total - - - -","Revenue 89253 76184 76255 90069  Other Revenue, Total - - - -","Revenue 89253 76184 76255 90069  Other Revenue, Total - - - -"
Revenue,89253,76184,76255,90069
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",71288,59808,58913,70392
Gross Profit,17965,16376,17342,19677
Total Operating Expenses,87025,74905,74005,86553
"Selling/General/Admin. Expenses, Total 15737 12048 11757 12744  Research & Development - 3043 2900 3242  Depreciation / Amortization 2587 2536 - -  Interest Expense (Income) - Net Operating -147 -288 - -  Unusual Expense (Income) - 74 434 175  Other Operating Expenses, Total -2440 -2242 1 -","Selling/General/Admin. Expenses, Total 15737 12048 11757 12744  Research & Development - 3043 2900 3242  Depreciation / Amortization 2587 2536 - -  Interest Expense (Income) - Net Operating -147 -288 - -  Unusual Expense (Income) - 74 434 175  Other Operating Expenses, Total -2440 -2242 1 -","Selling/General/Admin. Expenses, Total 15737 12048 11757 12744  Research & Development - 3043 2900 3242  Depreciation / Amortization 2587 2536 - -  Interest Expense (Income) - Net Operating -147 -288 - -  Unusual Expense (Income) - 74 434 175  Other Operating Expenses, Total -2440 -2242 1 -","Selling/General/Admin. Expenses, Total 15737 12048 11757 12744  Research & Development - 3043 2900 3242  Depreciation / Amortization 2587 2536 - -  Interest Expense (Income) - Net Operating -147 -288 - -  Unusual Expense (Income) - 74 434 175  Other Operating Expenses, Total -2440 -2242 1 -","Selling/General/Admin. Expenses, Total 15737 12048 11757 12744  Research & Development - 3043 2900 3242  Depreciation / Amortization 2587 2536 - -  Interest Expense (Income) - Net Operating -147 -288 - -  Unusual Expense (Income) - 74 434 175  Other Operating Expenses, Total -2440 -2242 1 -"
"Selling/General/Admin. Expenses, Total",15737,12048,11757,12744
Research & Development,-,3043,2900,3242
Depreciation / Amortization,2587,2536,-,-
Interest Expense (Income) - Net Operating,-147,-288,-,-
Unusual Expense (Income),-,74,434,175
"Other Operating Expenses, Total",-2440,-2242,1,-
Operating Income,2228,1279,2250,3516
"Interest Income (Expense), Net Non-Operating",-,-303,-213,-127
Gain (Loss) on Sale of Assets,1802,-,-,-
"Other, Net",-3146,165,493,85
Net Income Before Taxes,3572,1114,2530,3474
Provision for Income Taxes,1371,1013,1093,1283
Net Income After Taxes,2201,101,1437,2191
Minority Interest,12228,11865,-955,-993
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1319,-658,482,1198
Total Extraordinary Items,-,-,-,-
Net Income,1319,-658,482,1198
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,1319,-658,482,1197
Dilution Adjustment,-0.901,-,-,-
Diluted Net Income,1319.9,-658,482,1197
Diluted Weighted Average Shares,48.15,49.04,49.79,49.73
Diluted EPS Excluding Extraordinary Items,27.41,-13.42,9.68,24.07
DPS - Common Stock Primary Issue,20,20,20,20
Diluted Normalized EPS,4.85,-0.336,18.59,30.33
