Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Revenue,5519,6003.5,6311.51,6593.93
"Revenue 5519 6003.5 6311.51 6593.93  Other Revenue, Total - - - -","Revenue 5519 6003.5 6311.51 6593.93  Other Revenue, Total - - - -","Revenue 5519 6003.5 6311.51 6593.93  Other Revenue, Total - - - -","Revenue 5519 6003.5 6311.51 6593.93  Other Revenue, Total - - - -","Revenue 5519 6003.5 6311.51 6593.93  Other Revenue, Total - - - -"
Revenue,5519,6003.5,6311.51,6593.93
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",4436,4201.99,3908.15,3728.63
Gross Profit,1083,1801.52,2403.36,2865.29
Total Operating Expenses,5756,6214.44,6686.55,6295.95
"Selling/General/Admin. Expenses, Total 1320 1602.16 2154.6 2109.14  Research & Development 7 21.63 29.38 35.78  Depreciation / Amortization 18 - - -  Interest Expense (Income) - Net Operating -3 - - -  Unusual Expense (Income) - 388.66 594.42 422.39  Other Operating Expenses, Total -22 - - -","Selling/General/Admin. Expenses, Total 1320 1602.16 2154.6 2109.14  Research & Development 7 21.63 29.38 35.78  Depreciation / Amortization 18 - - -  Interest Expense (Income) - Net Operating -3 - - -  Unusual Expense (Income) - 388.66 594.42 422.39  Other Operating Expenses, Total -22 - - -","Selling/General/Admin. Expenses, Total 1320 1602.16 2154.6 2109.14  Research & Development 7 21.63 29.38 35.78  Depreciation / Amortization 18 - - -  Interest Expense (Income) - Net Operating -3 - - -  Unusual Expense (Income) - 388.66 594.42 422.39  Other Operating Expenses, Total -22 - - -","Selling/General/Admin. Expenses, Total 1320 1602.16 2154.6 2109.14  Research & Development 7 21.63 29.38 35.78  Depreciation / Amortization 18 - - -  Interest Expense (Income) - Net Operating -3 - - -  Unusual Expense (Income) - 388.66 594.42 422.39  Other Operating Expenses, Total -22 - - -","Selling/General/Admin. Expenses, Total 1320 1602.16 2154.6 2109.14  Research & Development 7 21.63 29.38 35.78  Depreciation / Amortization 18 - - -  Interest Expense (Income) - Net Operating -3 - - -  Unusual Expense (Income) - 388.66 594.42 422.39  Other Operating Expenses, Total -22 - - -"
"Selling/General/Admin. Expenses, Total",1320,1602.16,2154.6,2109.14
Research & Development,7,21.63,29.38,35.78
Depreciation / Amortization,18,-,-,-
Interest Expense (Income) - Net Operating,-3,-,-,-
Unusual Expense (Income),-,388.66,594.42,422.39
"Other Operating Expenses, Total",-22,-,-,-
Operating Income,-237,-210.94,-375.04,297.98
"Interest Income (Expense), Net Non-Operating",-,-2.42,-6.13,-2.2
Gain (Loss) on Sale of Assets,-,-0.24,-,-
"Other, Net",-31,39.33,12.77,-3.41
Net Income Before Taxes,-206,-174.26,-368.4,292.36
Provision for Income Taxes,-38,211.73,209.12,305.27
Net Income After Taxes,-168,-385.99,-577.52,-12.91
Minority Interest,-,-152.75,84.91,-3.94
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-168,-538.74,-492.62,-16.86
Total Extraordinary Items,-,-,-,-
Net Income,-168,-538.74,-492.62,-16.86
Total Adjustments to Net Income,-,-0,-,-
Income Available to Common Excluding Extraordinary Items,-168,-538.74,-492.62,-16.86
Dilution Adjustment,-,-,-,-
Diluted Net Income,-168,-538.74,-492.62,-16.86
Diluted Weighted Average Shares,7.07,7.05,7.1,7.29
Diluted EPS Excluding Extraordinary Items,-23.75,-76.4,-69.33,-2.31
DPS - Common Stock Primary Issue,5,5,5,5
Diluted Normalized EPS,-18.11,-40.55,5.81,46.32
