Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,19738,19697,18765,20321
"Revenue 19738 19697 18765 20321  Other Revenue, Total - - - -","Revenue 19738 19697 18765 20321  Other Revenue, Total - - - -","Revenue 19738 19697 18765 20321  Other Revenue, Total - - - -","Revenue 19738 19697 18765 20321  Other Revenue, Total - - - -","Revenue 19738 19697 18765 20321  Other Revenue, Total - - - -"
Revenue,19738,19697,18765,20321
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",16111,15740,15282,16419
Gross Profit,3627,3957,3483,3902
Total Operating Expenses,19285,18708,18277,19666
"Selling/General/Admin. Expenses, Total 3174 2968 2928 3125  Research & Development - 180 - -  Depreciation / Amortization 506 431 - -  Interest Expense (Income) - Net Operating -11 -12 - -  Unusual Expense (Income) - 5 66 121  Other Operating Expenses, Total -495 -599 1 1","Selling/General/Admin. Expenses, Total 3174 2968 2928 3125  Research & Development - 180 - -  Depreciation / Amortization 506 431 - -  Interest Expense (Income) - Net Operating -11 -12 - -  Unusual Expense (Income) - 5 66 121  Other Operating Expenses, Total -495 -599 1 1","Selling/General/Admin. Expenses, Total 3174 2968 2928 3125  Research & Development - 180 - -  Depreciation / Amortization 506 431 - -  Interest Expense (Income) - Net Operating -11 -12 - -  Unusual Expense (Income) - 5 66 121  Other Operating Expenses, Total -495 -599 1 1","Selling/General/Admin. Expenses, Total 3174 2968 2928 3125  Research & Development - 180 - -  Depreciation / Amortization 506 431 - -  Interest Expense (Income) - Net Operating -11 -12 - -  Unusual Expense (Income) - 5 66 121  Other Operating Expenses, Total -495 -599 1 1","Selling/General/Admin. Expenses, Total 3174 2968 2928 3125  Research & Development - 180 - -  Depreciation / Amortization 506 431 - -  Interest Expense (Income) - Net Operating -11 -12 - -  Unusual Expense (Income) - 5 66 121  Other Operating Expenses, Total -495 -599 1 1"
"Selling/General/Admin. Expenses, Total",3174,2968,2928,3125
Research & Development,-,180,-,-
Depreciation / Amortization,506,431,-,-
Interest Expense (Income) - Net Operating,-11,-12,-,-
Unusual Expense (Income),-,5,66,121
"Other Operating Expenses, Total",-495,-599,1,1
Operating Income,453,989,488,655
"Interest Income (Expense), Net Non-Operating",-,174,168,82
Gain (Loss) on Sale of Assets,4,-1,15,-
"Other, Net",-177,-308,275,-38
Net Income Before Taxes,626,1298,946,699
Provision for Income Taxes,102,236,-22,112
Net Income After Taxes,524,1062,968,587
Minority Interest,-,-,-,4
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,524,1062,968,591
Total Extraordinary Items,-,-,-,-
Net Income,524,1062,968,591
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,524,1062,968,591
Dilution Adjustment,-,-,-,-
Diluted Net Income,524,1062,968,591
Diluted Weighted Average Shares,12.04,12.34,12.39,12.38
Diluted EPS Excluding Extraordinary Items,43.51,86.03,78.1,47.72
DPS - Common Stock Primary Issue,-,20,20,20
Diluted Normalized EPS,32.23,65.82,80.78,55.93
