Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,2391578,2079695,1907176,2010751
"Revenue 2391578 2079695 1907176 2010751  Other Revenue, Total - - - -","Revenue 2391578 2079695 1907176 2010751  Other Revenue, Total - - - -","Revenue 2391578 2079695 1907176 2010751  Other Revenue, Total - - - -","Revenue 2391578 2079695 1907176 2010751  Other Revenue, Total - - - -","Revenue 2391578 2079695 1907176 2010751  Other Revenue, Total - - - -"
Revenue,2391578,2079695,1907176,2010751
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2125389,1823979,1665759,1762630
Gross Profit,266189,255716,241417,248121
Total Operating Expenses,2268356,1956332,1784842,1877209
"Selling/General/Admin. Expenses, Total 140449 116602 85852 100350  Research & Development - 15751 28266 15784  Depreciation / Amortization 24711 22611 - -  Interest Expense (Income) - Net Operating -4810 -2362 - -  Unusual Expense (Income) - 19668 4964 -1555  Other Operating Expenses, Total -17383 -20249 1 -","Selling/General/Admin. Expenses, Total 140449 116602 85852 100350  Research & Development - 15751 28266 15784  Depreciation / Amortization 24711 22611 - -  Interest Expense (Income) - Net Operating -4810 -2362 - -  Unusual Expense (Income) - 19668 4964 -1555  Other Operating Expenses, Total -17383 -20249 1 -","Selling/General/Admin. Expenses, Total 140449 116602 85852 100350  Research & Development - 15751 28266 15784  Depreciation / Amortization 24711 22611 - -  Interest Expense (Income) - Net Operating -4810 -2362 - -  Unusual Expense (Income) - 19668 4964 -1555  Other Operating Expenses, Total -17383 -20249 1 -","Selling/General/Admin. Expenses, Total 140449 116602 85852 100350  Research & Development - 15751 28266 15784  Depreciation / Amortization 24711 22611 - -  Interest Expense (Income) - Net Operating -4810 -2362 - -  Unusual Expense (Income) - 19668 4964 -1555  Other Operating Expenses, Total -17383 -20249 1 -","Selling/General/Admin. Expenses, Total 140449 116602 85852 100350  Research & Development - 15751 28266 15784  Depreciation / Amortization 24711 22611 - -  Interest Expense (Income) - Net Operating -4810 -2362 - -  Unusual Expense (Income) - 19668 4964 -1555  Other Operating Expenses, Total -17383 -20249 1 -"
"Selling/General/Admin. Expenses, Total",140449,116602,85852,100350
Research & Development,-,15751,28266,15784
Depreciation / Amortization,24711,22611,-,-
Interest Expense (Income) - Net Operating,-4810,-2362,-,-
Unusual Expense (Income),-,19668,4964,-1555
"Other Operating Expenses, Total",-17383,-20249,1,-
Operating Income,123222,123363,122334,133542
"Interest Income (Expense), Net Non-Operating",-,45086,20455,12855
Gain (Loss) on Sale of Assets,10864,17713,2369,637
"Other, Net",-54896,-44720,89,2600
Net Income Before Taxes,167254,150370,145247,149634
Provision for Income Taxes,53190,50220,46479,45847
Net Income After Taxes,114064,100150,98768,103787
Minority Interest,8714,7861,-245,-544
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,111789,103867,98523,103243
Total Extraordinary Items,-,-,-,-
Net Income,111789,103867,98523,103243
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,111789,103867,98522,103242
Dilution Adjustment,-,-,-,-
Diluted Net Income,111789,103867,98522,103242
Diluted Weighted Average Shares,490.34,499.37,510.14,513.67
Diluted EPS Excluding Extraordinary Items,227.98,208,193.13,200.99
DPS - Common Stock Primary Issue,70,58,54,50
Diluted Normalized EPS,195.13,197.81,196.58,198.03
