Period Ending:,202231/07,202131/07,Unnamed: 3,Unnamed: 4
Total Revenue,5163.14,4532.15,-,-
"Revenue 5163.14 4532.15 - -  Other Revenue, Total - - - -","Revenue 5163.14 4532.15 - -  Other Revenue, Total - - - -","Revenue 5163.14 4532.15 - -  Other Revenue, Total - - - -","Revenue 5163.14 4532.15 - -  Other Revenue, Total - - - -","Revenue 5163.14 4532.15 - -  Other Revenue, Total - - - -"
Revenue,5163.14,4532.15,-,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2901.17,2478.68,-,-
Gross Profit,2261.97,2053.47,-,-
Total Operating Expenses,4321.28,3752.6,-,-
"Selling/General/Admin. Expenses, Total 1420.11 1273.92 - -  Research & Development - - - -  Depreciation / Amortization 4.3 4.77 - -  Interest Expense (Income) - Net Operating -1.06 -1.38 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3.24 -3.39 - -","Selling/General/Admin. Expenses, Total 1420.11 1273.92 - -  Research & Development - - - -  Depreciation / Amortization 4.3 4.77 - -  Interest Expense (Income) - Net Operating -1.06 -1.38 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3.24 -3.39 - -","Selling/General/Admin. Expenses, Total 1420.11 1273.92 - -  Research & Development - - - -  Depreciation / Amortization 4.3 4.77 - -  Interest Expense (Income) - Net Operating -1.06 -1.38 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3.24 -3.39 - -","Selling/General/Admin. Expenses, Total 1420.11 1273.92 - -  Research & Development - - - -  Depreciation / Amortization 4.3 4.77 - -  Interest Expense (Income) - Net Operating -1.06 -1.38 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3.24 -3.39 - -","Selling/General/Admin. Expenses, Total 1420.11 1273.92 - -  Research & Development - - - -  Depreciation / Amortization 4.3 4.77 - -  Interest Expense (Income) - Net Operating -1.06 -1.38 - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -3.24 -3.39 - -"
"Selling/General/Admin. Expenses, Total",1420.11,1273.92,-,-
Research & Development,-,-,-,-
Depreciation / Amortization,4.3,4.77,-,-
Interest Expense (Income) - Net Operating,-1.06,-1.38,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-3.24,-3.39,-,-
Operating Income,841.86,779.55,-,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,-,12.02,-,-
"Other, Net",-8.61,-41.8,-,-
Net Income Before Taxes,850.47,809.33,-,-
Provision for Income Taxes,289.12,238.34,-,-
Net Income After Taxes,561.35,570.99,-,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,561.35,570.99,-,-
Total Extraordinary Items,-,-,-,-
Net Income,561.35,570.99,-,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,561.35,570.99,-,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,561.35,570.99,-,-
Diluted Weighted Average Shares,6.4,6.4,-,-
Diluted EPS Excluding Extraordinary Items,87.71,89.22,-,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,83.05,77.86,-,-
