Period Ending:,202231/07,202131/07,202031/07,Unnamed: 4
Total Revenue,43954,28698,25879,-
"Revenue 43954 28698 25879 -  Other Revenue, Total - - - -","Revenue 43954 28698 25879 -  Other Revenue, Total - - - -","Revenue 43954 28698 25879 -  Other Revenue, Total - - - -","Revenue 43954 28698 25879 -  Other Revenue, Total - - - -","Revenue 43954 28698 25879 -  Other Revenue, Total - - - -"
Revenue,43954,28698,25879,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",5802,3999,4104,-
Gross Profit,38152,24699,21775,-
Total Operating Expenses,35640,26330,18925,-
"Selling/General/Admin. Expenses, Total 29838 22094 19463 -  Research & Development 105 237 125 -  Depreciation / Amortization 415 - - -  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - - -4768 -  Other Operating Expenses, Total -519 - 1 -","Selling/General/Admin. Expenses, Total 29838 22094 19463 -  Research & Development 105 237 125 -  Depreciation / Amortization 415 - - -  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - - -4768 -  Other Operating Expenses, Total -519 - 1 -","Selling/General/Admin. Expenses, Total 29838 22094 19463 -  Research & Development 105 237 125 -  Depreciation / Amortization 415 - - -  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - - -4768 -  Other Operating Expenses, Total -519 - 1 -","Selling/General/Admin. Expenses, Total 29838 22094 19463 -  Research & Development 105 237 125 -  Depreciation / Amortization 415 - - -  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - - -4768 -  Other Operating Expenses, Total -519 - 1 -","Selling/General/Admin. Expenses, Total 29838 22094 19463 -  Research & Development 105 237 125 -  Depreciation / Amortization 415 - - -  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - - -4768 -  Other Operating Expenses, Total -519 - 1 -"
"Selling/General/Admin. Expenses, Total",29838,22094,19463,-
Research & Development,105,237,125,-
Depreciation / Amortization,415,-,-,-
Interest Expense (Income) - Net Operating,-1,-,-,-
Unusual Expense (Income),-,-,-4768,-
"Other Operating Expenses, Total",-519,-,1,-
Operating Income,8314,2368,6954,-
"Interest Income (Expense), Net Non-Operating",-,296,48,-
Gain (Loss) on Sale of Assets,-,16,-,-
"Other, Net",-440,-390,21,-
Net Income Before Taxes,8754,2290,7023,-
Provision for Income Taxes,2896,869,2364,-
Net Income After Taxes,5858,1421,4659,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,5858,1421,4659,-
Total Extraordinary Items,-,-,-,-
Net Income,5858,1421,4659,-
Total Adjustments to Net Income,-,-1,-1,-
Income Available to Common Excluding Extraordinary Items,5858,1420,4658,-
Dilution Adjustment,-0.903,-,-,-
Diluted Net Income,5858.9,1420,4658,-
Diluted Weighted Average Shares,41.7,39.64,28.57,-
Diluted EPS Excluding Extraordinary Items,140.5,35.82,163.06,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,131.16,40.34,56.08,-
