Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,2415,1723,1323,1377.12
"Revenue 2415 1723 1323 1377.12  Other Revenue, Total - - - -","Revenue 2415 1723 1323 1377.12  Other Revenue, Total - - - -","Revenue 2415 1723 1323 1377.12  Other Revenue, Total - - - -","Revenue 2415 1723 1323 1377.12  Other Revenue, Total - - - -","Revenue 2415 1723 1323 1377.12  Other Revenue, Total - - - -"
Revenue,2415,1723,1323,1377.12
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1565,1018,855,788.47
Gross Profit,850,705,468,588.65
Total Operating Expenses,2150,1505,1273,1250.96
"Selling/General/Admin. Expenses, Total 585 486 417 430.4  Research & Development - - 5 30.78  Depreciation / Amortization 9 8 11 1.29  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 0.68 -1.09 0.02  Other Operating Expenses, Total -43 -7 -15 -","Selling/General/Admin. Expenses, Total 585 486 417 430.4  Research & Development - - 5 30.78  Depreciation / Amortization 9 8 11 1.29  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 0.68 -1.09 0.02  Other Operating Expenses, Total -43 -7 -15 -","Selling/General/Admin. Expenses, Total 585 486 417 430.4  Research & Development - - 5 30.78  Depreciation / Amortization 9 8 11 1.29  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 0.68 -1.09 0.02  Other Operating Expenses, Total -43 -7 -15 -","Selling/General/Admin. Expenses, Total 585 486 417 430.4  Research & Development - - 5 30.78  Depreciation / Amortization 9 8 11 1.29  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 0.68 -1.09 0.02  Other Operating Expenses, Total -43 -7 -15 -","Selling/General/Admin. Expenses, Total 585 486 417 430.4  Research & Development - - 5 30.78  Depreciation / Amortization 9 8 11 1.29  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 0.68 -1.09 0.02  Other Operating Expenses, Total -43 -7 -15 -"
"Selling/General/Admin. Expenses, Total",585,486,417,430.4
Research & Development,-,-,5,30.78
Depreciation / Amortization,9,8,11,1.29
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,0.68,-1.09,0.02
"Other Operating Expenses, Total",-43,-7,-15,-
Operating Income,265,218,50,126.16
"Interest Income (Expense), Net Non-Operating",-,0.02,223.63,-0.71
Gain (Loss) on Sale of Assets,-,-,207,-
"Other, Net",38,-,-433,2.24
Net Income Before Taxes,227,218,276,127.68
Provision for Income Taxes,59,70,86,37.31
Net Income After Taxes,168,148,190,90.37
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,168,148,190,90.37
Total Extraordinary Items,-,-,-,-
Net Income,168,148,190,90.37
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,168,148,190,90.37
Dilution Adjustment,-,-,-,-
Diluted Net Income,168,148,190,90.37
Diluted Weighted Average Shares,2.06,2.05,2.05,2.05
Diluted EPS Excluding Extraordinary Items,81.37,72.02,92.68,44.08
DPS - Common Stock Primary Issue,-,10,10,10
Diluted Normalized EPS,80.83,66.31,20.43,44.09
