Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,46794,37686,31661,37274
"Revenue 46794 37686 31661 37274  Other Revenue, Total - - - -","Revenue 46794 37686 31661 37274  Other Revenue, Total - - - -","Revenue 46794 37686 31661 37274  Other Revenue, Total - - - -","Revenue 46794 37686 31661 37274  Other Revenue, Total - - - -","Revenue 46794 37686 31661 37274  Other Revenue, Total - - - -"
Revenue,46794,37686,31661,37274
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",35271,27245,21809,25504
Gross Profit,11523,10441,9852,11770
Total Operating Expenses,45744,36767,30456,35063
"Selling/General/Admin. Expenses, Total 10473 9545 8755 9555  Research & Development - - - -  Depreciation / Amortization 1065 - - -  Interest Expense (Income) - Net Operating -56 - - -  Unusual Expense (Income) - -25 -110 2  Other Operating Expenses, Total -1009 2 2 2","Selling/General/Admin. Expenses, Total 10473 9545 8755 9555  Research & Development - - - -  Depreciation / Amortization 1065 - - -  Interest Expense (Income) - Net Operating -56 - - -  Unusual Expense (Income) - -25 -110 2  Other Operating Expenses, Total -1009 2 2 2","Selling/General/Admin. Expenses, Total 10473 9545 8755 9555  Research & Development - - - -  Depreciation / Amortization 1065 - - -  Interest Expense (Income) - Net Operating -56 - - -  Unusual Expense (Income) - -25 -110 2  Other Operating Expenses, Total -1009 2 2 2","Selling/General/Admin. Expenses, Total 10473 9545 8755 9555  Research & Development - - - -  Depreciation / Amortization 1065 - - -  Interest Expense (Income) - Net Operating -56 - - -  Unusual Expense (Income) - -25 -110 2  Other Operating Expenses, Total -1009 2 2 2","Selling/General/Admin. Expenses, Total 10473 9545 8755 9555  Research & Development - - - -  Depreciation / Amortization 1065 - - -  Interest Expense (Income) - Net Operating -56 - - -  Unusual Expense (Income) - -25 -110 2  Other Operating Expenses, Total -1009 2 2 2"
"Selling/General/Admin. Expenses, Total",10473,9545,8755,9555
Research & Development,-,-,-,-
Depreciation / Amortization,1065,-,-,-
Interest Expense (Income) - Net Operating,-56,-,-,-
Unusual Expense (Income),-,-25,-110,2
"Other Operating Expenses, Total",-1009,2,2,2
Operating Income,1050,919,1205,2211
"Interest Income (Expense), Net Non-Operating",-,454,295,462
Gain (Loss) on Sale of Assets,277,56,51,18
"Other, Net",-944,89,6,43
Net Income Before Taxes,1717,1518,1557,2734
Provision for Income Taxes,508,989,334,604
Net Income After Taxes,1209,529,1223,2130
Minority Interest,2338,2429,-245,-215
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,898,273,978,1915
Total Extraordinary Items,-,-,-,-
Net Income,898,273,978,1915
Total Adjustments to Net Income,-,-,-,-2
Income Available to Common Excluding Extraordinary Items,898,273,978,1913
Dilution Adjustment,-,-,-,-
Diluted Net Income,898,273,978,1913
Diluted Weighted Average Shares,13.61,13.6,13.58,13.58
Diluted EPS Excluding Extraordinary Items,65.98,20.07,72.01,140.9
DPS - Common Stock Primary Issue,-,48,38,48
Diluted Normalized EPS,43.28,29.88,75.95,156.33
