Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,701187,645273,577840,596497
"Revenue 701187 645273 577840 596497  Other Revenue, Total - - - -","Revenue 701187 645273 577840 596497  Other Revenue, Total - - - -","Revenue 701187 645273 577840 596497  Other Revenue, Total - - - -","Revenue 701187 645273 577840 596497  Other Revenue, Total - - - -","Revenue 701187 645273 577840 596497  Other Revenue, Total - - - -"
Revenue,701187,645273,577840,596497
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",458217,408382,367242,383152
Gross Profit,242970,236891,210598,213345
Total Operating Expenses,652065,594887,541461,563539
"Selling/General/Admin. Expenses, Total 193848 184710 170940 148716  Research & Development - - 22395 21467  Depreciation / Amortization 31412 - 5523 6401  Interest Expense (Income) - Net Operating -76 - - -  Unusual Expense (Income) - 1794 3277 3802  Other Operating Expenses, Total -25690 1 2 1","Selling/General/Admin. Expenses, Total 193848 184710 170940 148716  Research & Development - - 22395 21467  Depreciation / Amortization 31412 - 5523 6401  Interest Expense (Income) - Net Operating -76 - - -  Unusual Expense (Income) - 1794 3277 3802  Other Operating Expenses, Total -25690 1 2 1","Selling/General/Admin. Expenses, Total 193848 184710 170940 148716  Research & Development - - 22395 21467  Depreciation / Amortization 31412 - 5523 6401  Interest Expense (Income) - Net Operating -76 - - -  Unusual Expense (Income) - 1794 3277 3802  Other Operating Expenses, Total -25690 1 2 1","Selling/General/Admin. Expenses, Total 193848 184710 170940 148716  Research & Development - - 22395 21467  Depreciation / Amortization 31412 - 5523 6401  Interest Expense (Income) - Net Operating -76 - - -  Unusual Expense (Income) - 1794 3277 3802  Other Operating Expenses, Total -25690 1 2 1","Selling/General/Admin. Expenses, Total 193848 184710 170940 148716  Research & Development - - 22395 21467  Depreciation / Amortization 31412 - 5523 6401  Interest Expense (Income) - Net Operating -76 - - -  Unusual Expense (Income) - 1794 3277 3802  Other Operating Expenses, Total -25690 1 2 1"
"Selling/General/Admin. Expenses, Total",193848,184710,170940,148716
Research & Development,-,-,22395,21467
Depreciation / Amortization,31412,-,5523,6401
Interest Expense (Income) - Net Operating,-76,-,-,-
Unusual Expense (Income),-,1794,3277,3802
"Other Operating Expenses, Total",-25690,1,2,1
Operating Income,49122,50386,36379,32958
"Interest Income (Expense), Net Non-Operating",-,8049,2767,2883
Gain (Loss) on Sale of Assets,-233,35,-4,-109
"Other, Net",-10619,-603,-396,-2032
Net Income Before Taxes,59974,57867,38746,33700
Provision for Income Taxes,18893,17192,11289,10142
Net Income After Taxes,41081,40674,27457,23558
Minority Interest,7294,7637,-478,25
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,38943,40132,26979,23583
Total Extraordinary Items,-,-,-,-
Net Income,38943,40132,26979,23583
Total Adjustments to Net Income,-,-1,-1,-
Income Available to Common Excluding Extraordinary Items,38943,40131,26978,23583
Dilution Adjustment,-1.04,-,-,-
Diluted Net Income,38944.04,40131,26978,23583
Diluted Weighted Average Shares,169.71,169.69,169.66,169.64
Diluted EPS Excluding Extraordinary Items,229.47,236.5,159.01,139.01
DPS - Common Stock Primary Issue,100,95,70,90
Diluted Normalized EPS,191.24,209.55,172.71,155.13
