Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,30496,28453,26717.33,27065.9
"Revenue 30496 28453 26717.33 27065.9  Other Revenue, Total - - - -","Revenue 30496 28453 26717.33 27065.9  Other Revenue, Total - - - -","Revenue 30496 28453 26717.33 27065.9  Other Revenue, Total - - - -","Revenue 30496 28453 26717.33 27065.9  Other Revenue, Total - - - -","Revenue 30496 28453 26717.33 27065.9  Other Revenue, Total - - - -"
Revenue,30496,28453,26717.33,27065.9
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",24631,22724,21256.51,21836.98
Gross Profit,5865,5729,5460.81,5228.92
Total Operating Expenses,29123,26911,25425.7,26048.58
"Selling/General/Admin. Expenses, Total 4492 3490 3336.54 3479.32  Research & Development - - - -  Depreciation / Amortization 808 745 663.9 632.46  Interest Expense (Income) - Net Operating -13 -18 - -  Unusual Expense (Income) - 3.62 168.75 99.81  Other Operating Expenses, Total -795 -30 - -","Selling/General/Admin. Expenses, Total 4492 3490 3336.54 3479.32  Research & Development - - - -  Depreciation / Amortization 808 745 663.9 632.46  Interest Expense (Income) - Net Operating -13 -18 - -  Unusual Expense (Income) - 3.62 168.75 99.81  Other Operating Expenses, Total -795 -30 - -","Selling/General/Admin. Expenses, Total 4492 3490 3336.54 3479.32  Research & Development - - - -  Depreciation / Amortization 808 745 663.9 632.46  Interest Expense (Income) - Net Operating -13 -18 - -  Unusual Expense (Income) - 3.62 168.75 99.81  Other Operating Expenses, Total -795 -30 - -","Selling/General/Admin. Expenses, Total 4492 3490 3336.54 3479.32  Research & Development - - - -  Depreciation / Amortization 808 745 663.9 632.46  Interest Expense (Income) - Net Operating -13 -18 - -  Unusual Expense (Income) - 3.62 168.75 99.81  Other Operating Expenses, Total -795 -30 - -","Selling/General/Admin. Expenses, Total 4492 3490 3336.54 3479.32  Research & Development - - - -  Depreciation / Amortization 808 745 663.9 632.46  Interest Expense (Income) - Net Operating -13 -18 - -  Unusual Expense (Income) - 3.62 168.75 99.81  Other Operating Expenses, Total -795 -30 - -"
"Selling/General/Admin. Expenses, Total",4492,3490,3336.54,3479.32
Research & Development,-,-,-,-
Depreciation / Amortization,808,745,663.9,632.46
Interest Expense (Income) - Net Operating,-13,-18,-,-
Unusual Expense (Income),-,3.62,168.75,99.81
"Other Operating Expenses, Total",-795,-30,-,-
Operating Income,1373,1542,1291.63,1017.32
"Interest Income (Expense), Net Non-Operating",-,-10.16,-14.84,-21.4
Gain (Loss) on Sale of Assets,-3,-3,-,77.22
"Other, Net",-18,-14,21.18,40.13
Net Income Before Taxes,1394,1559,1297.97,1113.28
Provision for Income Taxes,478,535,475.91,412.67
Net Income After Taxes,916,1024,822.06,700.61
Minority Interest,288,256,-33.67,-21.12
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,883,975,788.39,679.49
Total Extraordinary Items,-,-,-,-
Net Income,883,975,788.39,679.49
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,883,975,788.39,679.49
Dilution Adjustment,-,-,-,-
Diluted Net Income,883,975,788.39,679.49
Diluted Weighted Average Shares,2.1,2.1,2.1,2.1
Diluted EPS Excluding Extraordinary Items,420.52,464.33,375.45,323.58
DPS - Common Stock Primary Issue,-,50,50,50
Diluted Normalized EPS,402.78,441.59,426.35,330.35
