Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,118721,112118,111801,109123
"Revenue 118721 112118 111801 109123  Other Revenue, Total - - - -","Revenue 118721 112118 111801 109123  Other Revenue, Total - - - -","Revenue 118721 112118 111801 109123  Other Revenue, Total - - - -","Revenue 118721 112118 111801 109123  Other Revenue, Total - - - -","Revenue 118721 112118 111801 109123  Other Revenue, Total - - - -"
Revenue,118721,112118,111801,109123
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",106378,99335,97282,96879
Gross Profit,12343,12783,14519,12244
Total Operating Expenses,113985,106601,104694,103395
"Selling/General/Admin. Expenses, Total 7607 7266 7104 7232  Research & Development - 264 249 259  Depreciation / Amortization 2060 2141 - -  Interest Expense (Income) - Net Operating -21 -29 - -  Unusual Expense (Income) - 117 58 -975  Other Operating Expenses, Total -2039 -2376 1 -","Selling/General/Admin. Expenses, Total 7607 7266 7104 7232  Research & Development - 264 249 259  Depreciation / Amortization 2060 2141 - -  Interest Expense (Income) - Net Operating -21 -29 - -  Unusual Expense (Income) - 117 58 -975  Other Operating Expenses, Total -2039 -2376 1 -","Selling/General/Admin. Expenses, Total 7607 7266 7104 7232  Research & Development - 264 249 259  Depreciation / Amortization 2060 2141 - -  Interest Expense (Income) - Net Operating -21 -29 - -  Unusual Expense (Income) - 117 58 -975  Other Operating Expenses, Total -2039 -2376 1 -","Selling/General/Admin. Expenses, Total 7607 7266 7104 7232  Research & Development - 264 249 259  Depreciation / Amortization 2060 2141 - -  Interest Expense (Income) - Net Operating -21 -29 - -  Unusual Expense (Income) - 117 58 -975  Other Operating Expenses, Total -2039 -2376 1 -","Selling/General/Admin. Expenses, Total 7607 7266 7104 7232  Research & Development - 264 249 259  Depreciation / Amortization 2060 2141 - -  Interest Expense (Income) - Net Operating -21 -29 - -  Unusual Expense (Income) - 117 58 -975  Other Operating Expenses, Total -2039 -2376 1 -"
"Selling/General/Admin. Expenses, Total",7607,7266,7104,7232
Research & Development,-,264,249,259
Depreciation / Amortization,2060,2141,-,-
Interest Expense (Income) - Net Operating,-21,-29,-,-
Unusual Expense (Income),-,117,58,-975
"Other Operating Expenses, Total",-2039,-2376,1,-
Operating Income,4736,5517,7107,5728
"Interest Income (Expense), Net Non-Operating",-,107,79,90
Gain (Loss) on Sale of Assets,2,21,18,44
"Other, Net",-140,-69,15,42
Net Income Before Taxes,4874,5565,7219,5904
Provision for Income Taxes,1593,1723,2382,1651
Net Income After Taxes,3281,3842,4837,4253
Minority Interest,1366,1392,-140,-136
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,3160,3714,4697,4117
Total Extraordinary Items,-,-,-,-
Net Income,3160,3714,4697,4117
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,3160,3714,4697,4116
Dilution Adjustment,-,-,-,-
Diluted Net Income,3160,3714,4697,4116
Diluted Weighted Average Shares,9.47,9.7,9.9,5.07
Diluted EPS Excluding Extraordinary Items,333.63,382.73,948.7,406.08
DPS - Common Stock Primary Issue,90,90,130,120
Diluted Normalized EPS,314.19,348.45,954.11,286.75
