Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Revenue,2840,2892,2349.74,1784.03
"Revenue 2840 2892 2349.74 1784.03  Other Revenue, Total - - - -","Revenue 2840 2892 2349.74 1784.03  Other Revenue, Total - - - -","Revenue 2840 2892 2349.74 1784.03  Other Revenue, Total - - - -","Revenue 2840 2892 2349.74 1784.03  Other Revenue, Total - - - -","Revenue 2840 2892 2349.74 1784.03  Other Revenue, Total - - - -"
Revenue,2840,2892,2349.74,1784.03
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1493,1430,947.91,636.73
Gross Profit,1347,1462,1401.83,1147.29
Total Operating Expenses,2743,2608,1853.88,1415.44
"Selling/General/Admin. Expenses, Total 1174 1105 873.39 687.98  Research & Development 76 73 71.25 90.73  Depreciation / Amortization 131 121 - -  Interest Expense (Income) - Net Operating - -5 - -  Unusual Expense (Income) - 44.73 -38.67 -  Other Operating Expenses, Total -131 -116 - -","Selling/General/Admin. Expenses, Total 1174 1105 873.39 687.98  Research & Development 76 73 71.25 90.73  Depreciation / Amortization 131 121 - -  Interest Expense (Income) - Net Operating - -5 - -  Unusual Expense (Income) - 44.73 -38.67 -  Other Operating Expenses, Total -131 -116 - -","Selling/General/Admin. Expenses, Total 1174 1105 873.39 687.98  Research & Development 76 73 71.25 90.73  Depreciation / Amortization 131 121 - -  Interest Expense (Income) - Net Operating - -5 - -  Unusual Expense (Income) - 44.73 -38.67 -  Other Operating Expenses, Total -131 -116 - -","Selling/General/Admin. Expenses, Total 1174 1105 873.39 687.98  Research & Development 76 73 71.25 90.73  Depreciation / Amortization 131 121 - -  Interest Expense (Income) - Net Operating - -5 - -  Unusual Expense (Income) - 44.73 -38.67 -  Other Operating Expenses, Total -131 -116 - -","Selling/General/Admin. Expenses, Total 1174 1105 873.39 687.98  Research & Development 76 73 71.25 90.73  Depreciation / Amortization 131 121 - -  Interest Expense (Income) - Net Operating - -5 - -  Unusual Expense (Income) - 44.73 -38.67 -  Other Operating Expenses, Total -131 -116 - -"
"Selling/General/Admin. Expenses, Total",1174,1105,873.39,687.98
Research & Development,76,73,71.25,90.73
Depreciation / Amortization,131,121,-,-
Interest Expense (Income) - Net Operating,-,-5,-,-
Unusual Expense (Income),-,44.73,-38.67,-
"Other Operating Expenses, Total",-131,-116,-,-
Operating Income,97,284,495.86,368.59
"Interest Income (Expense), Net Non-Operating",-,9.22,5.06,4.11
Gain (Loss) on Sale of Assets,-215,-,-,-
"Other, Net",627,-5,-4.35,-1
Net Income Before Taxes,-315,289,496.57,371.7
Provision for Income Taxes,21,82,122.8,113.1
Net Income After Taxes,-336,207,373.77,258.6
Minority Interest,26,18,-0.02,0.71
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-339,199,373.75,259.31
Total Extraordinary Items,-,-,-,-
Net Income,-339,199,373.75,259.31
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,-339,199,373.75,259.31
Dilution Adjustment,-,-0.657,-,-
Diluted Net Income,-339,199.66,373.75,259.31
Diluted Weighted Average Shares,5.46,5.46,5.76,5.79
Diluted EPS Excluding Extraordinary Items,-62.12,36.56,64.87,44.76
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,15.26,36.65,60.87,44.76
