Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,1605768,1585116,-,-
"Revenue 820248 442159 - -  Other Revenue, Total 785520 1142957 - -","Revenue 820248 442159 - -  Other Revenue, Total 785520 1142957 - -","Revenue 820248 442159 - -  Other Revenue, Total 785520 1142957 - -","Revenue 820248 442159 - -  Other Revenue, Total 785520 1142957 - -","Revenue 820248 442159 - -  Other Revenue, Total 785520 1142957 - -"
Revenue,820248,442159,-,-
"Other Revenue, Total",785520,1142957,-,-
"Cost of Revenue, Total",-,-,-,-
Gross Profit,1605768,1585116,-,-
Total Operating Expenses,1150519,1088526,-,-
"Selling/General/Admin. Expenses, Total 924791 981401 - -  Research & Development - - - -  Depreciation / Amortization 34234 37716 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 191494 69409 - -","Selling/General/Admin. Expenses, Total 924791 981401 - -  Research & Development - - - -  Depreciation / Amortization 34234 37716 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 191494 69409 - -","Selling/General/Admin. Expenses, Total 924791 981401 - -  Research & Development - - - -  Depreciation / Amortization 34234 37716 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 191494 69409 - -","Selling/General/Admin. Expenses, Total 924791 981401 - -  Research & Development - - - -  Depreciation / Amortization 34234 37716 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 191494 69409 - -","Selling/General/Admin. Expenses, Total 924791 981401 - -  Research & Development - - - -  Depreciation / Amortization 34234 37716 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 191494 69409 - -"
"Selling/General/Admin. Expenses, Total",924791,981401,-,-
Research & Development,-,-,-,-
Depreciation / Amortization,34234,37716,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",191494,69409,-,-
Operating Income,455249,496590,-,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,-318,5698,-,-
"Other, Net",1194,-5682,-,-
Net Income Before Taxes,454373,496574,392654,378631
Provision for Income Taxes,122698,142348,113124,105680
Net Income After Taxes,331675,354226,279530,272951
Minority Interest,36780,32041,600,485
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,325070,355070,280130,273436
Total Extraordinary Items,-,-,-,-
Net Income,325070,355070,280130,273436
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,325070,355070,280130,273435
Dilution Adjustment,-,-,-,-
Diluted Net Income,325070,355070,280130,273435
Diluted Weighted Average Shares,3743.04,3748.76,3748.73,3748.76
Diluted EPS Excluding Extraordinary Items,86.85,94.72,74.73,72.94
DPS - Common Stock Primary Issue,50,50,50,50
Diluted Normalized EPS,74.25,83.02,75.02,73.04
