Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,7472,7116,-,-
"Revenue 3118 3111 - -  Other Revenue, Total 4354 4005 - -","Revenue 3118 3111 - -  Other Revenue, Total 4354 4005 - -","Revenue 3118 3111 - -  Other Revenue, Total 4354 4005 - -","Revenue 3118 3111 - -  Other Revenue, Total 4354 4005 - -","Revenue 3118 3111 - -  Other Revenue, Total 4354 4005 - -"
Revenue,3118,3111,-,-
"Other Revenue, Total",4354,4005,-,-
"Cost of Revenue, Total",-,-,-,-
Gross Profit,7472,7116,-,-
Total Operating Expenses,7056,6811,-,-
"Selling/General/Admin. Expenses, Total 4458 4264 - -  Research & Development - - - -  Depreciation / Amortization 552 553 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 2046 1994 - -","Selling/General/Admin. Expenses, Total 4458 4264 - -  Research & Development - - - -  Depreciation / Amortization 552 553 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 2046 1994 - -","Selling/General/Admin. Expenses, Total 4458 4264 - -  Research & Development - - - -  Depreciation / Amortization 552 553 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 2046 1994 - -","Selling/General/Admin. Expenses, Total 4458 4264 - -  Research & Development - - - -  Depreciation / Amortization 552 553 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 2046 1994 - -","Selling/General/Admin. Expenses, Total 4458 4264 - -  Research & Development - - - -  Depreciation / Amortization 552 553 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 2046 1994 - -"
"Selling/General/Admin. Expenses, Total",4458,4264,-,-
Research & Development,-,-,-,-
Depreciation / Amortization,552,553,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",2046,1994,-,-
Operating Income,416,305,-,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,2,21,-,-
"Other, Net",-8,-7,-,-
Net Income Before Taxes,422,291,303,-2109
Provision for Income Taxes,4,-3,-54,169
Net Income After Taxes,418,294,357,-2278
Minority Interest,22,21,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,418,294,357,-2278
Total Extraordinary Items,-,-,-,-
Net Income,418,294,357,-2278
Total Adjustments to Net Income,-36,-10,-11,-2
Income Available to Common Excluding Extraordinary Items,382,284,346,-2280
Dilution Adjustment,-,-,10,-
Diluted Net Income,418,294,356,-2280
Diluted Weighted Average Shares,13.4,9.84,9.68,6.49
Diluted EPS Excluding Extraordinary Items,31.18,29.87,36.78,-351.15
DPS - Common Stock Primary Issue,10,10,5,-
Diluted Normalized EPS,19.4,19.36,44.43,-330.53
