Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,72984,76034,74979,89232
"Revenue 72984 76034 74979 89232  Other Revenue, Total - - - -","Revenue 72984 76034 74979 89232  Other Revenue, Total - - - -","Revenue 72984 76034 74979 89232  Other Revenue, Total - - - -","Revenue 72984 76034 74979 89232  Other Revenue, Total - - - -","Revenue 72984 76034 74979 89232  Other Revenue, Total - - - -"
Revenue,72984,76034,74979,89232
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",33428,34458,34073,38753
Gross Profit,39556,41576,40906,50479
Total Operating Expenses,64984,58969,57191,63076
"Selling/General/Admin. Expenses, Total 15476 15833 16155 17320  Research & Development 15789 8420 6736 6418  Depreciation / Amortization 2546 2481 2318 231  Interest Expense (Income) - Net Operating -17 -17 -17 -  Unusual Expense (Income) - 3860 58 356  Other Operating Expenses, Total -2238 -2206 -2074 -2","Selling/General/Admin. Expenses, Total 15476 15833 16155 17320  Research & Development 15789 8420 6736 6418  Depreciation / Amortization 2546 2481 2318 231  Interest Expense (Income) - Net Operating -17 -17 -17 -  Unusual Expense (Income) - 3860 58 356  Other Operating Expenses, Total -2238 -2206 -2074 -2","Selling/General/Admin. Expenses, Total 15476 15833 16155 17320  Research & Development 15789 8420 6736 6418  Depreciation / Amortization 2546 2481 2318 231  Interest Expense (Income) - Net Operating -17 -17 -17 -  Unusual Expense (Income) - 3860 58 356  Other Operating Expenses, Total -2238 -2206 -2074 -2","Selling/General/Admin. Expenses, Total 15476 15833 16155 17320  Research & Development 15789 8420 6736 6418  Depreciation / Amortization 2546 2481 2318 231  Interest Expense (Income) - Net Operating -17 -17 -17 -  Unusual Expense (Income) - 3860 58 356  Other Operating Expenses, Total -2238 -2206 -2074 -2","Selling/General/Admin. Expenses, Total 15476 15833 16155 17320  Research & Development 15789 8420 6736 6418  Depreciation / Amortization 2546 2481 2318 231  Interest Expense (Income) - Net Operating -17 -17 -17 -  Unusual Expense (Income) - 3860 58 356  Other Operating Expenses, Total -2238 -2206 -2074 -2"
"Selling/General/Admin. Expenses, Total",15476,15833,16155,17320
Research & Development,15789,8420,6736,6418
Depreciation / Amortization,2546,2481,2318,231
Interest Expense (Income) - Net Operating,-17,-17,-17,-
Unusual Expense (Income),-,3860,58,356
"Other Operating Expenses, Total",-2238,-2206,-2074,-2
Operating Income,8000,17065,17788,26156
"Interest Income (Expense), Net Non-Operating",-,349,479,322
Gain (Loss) on Sale of Assets,2,196,494,4
"Other, Net",1181,2984,-1363,110
Net Income Before Taxes,6817,13885,18657,26592
Provision for Income Taxes,1377,4336,5252,7222
Net Income After Taxes,5440,9549,13405,19370
Minority Interest,578,578,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,5440,9549,13405,19370
Total Extraordinary Items,-,-,-,-
Net Income,5440,9549,13405,19370
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,5440,9549,13405,19370
Dilution Adjustment,-,-,-,-
Diluted Net Income,5440,9549,13405,19370
Diluted Weighted Average Shares,37.57,37.98,38.59,39.14
Diluted EPS Excluding Extraordinary Items,144.79,251.44,347.37,494.89
DPS - Common Stock Primary Issue,-,150,150,150
Diluted Normalized EPS,145.17,288.69,295.11,501.44
