Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,1077009,1052972,1014741,1061152
"Revenue 1077009 1052972 1014741 1061152  Other Revenue, Total - - - -","Revenue 1077009 1052972 1014741 1061152  Other Revenue, Total - - - -","Revenue 1077009 1052972 1014741 1061152  Other Revenue, Total - - - -","Revenue 1077009 1052972 1014741 1061152  Other Revenue, Total - - - -","Revenue 1077009 1052972 1014741 1061152  Other Revenue, Total - - - -"
Revenue,1077009,1052972,1014741,1061152
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",733401,685116,661123,686356
Gross Profit,343608,367856,353618,374796
Total Operating Expenses,1054975,1034765,999155,1038702
"Selling/General/Admin. Expenses, Total 308738 336476 324165 337977  Research & Development 8482 - - -  Depreciation / Amortization 39436 13020 12015 11993  Interest Expense (Income) - Net Operating -752 - - -  Unusual Expense (Income) - 152 1852 2374  Other Operating Expenses, Total -34330 1 - 2","Selling/General/Admin. Expenses, Total 308738 336476 324165 337977  Research & Development 8482 - - -  Depreciation / Amortization 39436 13020 12015 11993  Interest Expense (Income) - Net Operating -752 - - -  Unusual Expense (Income) - 152 1852 2374  Other Operating Expenses, Total -34330 1 - 2","Selling/General/Admin. Expenses, Total 308738 336476 324165 337977  Research & Development 8482 - - -  Depreciation / Amortization 39436 13020 12015 11993  Interest Expense (Income) - Net Operating -752 - - -  Unusual Expense (Income) - 152 1852 2374  Other Operating Expenses, Total -34330 1 - 2","Selling/General/Admin. Expenses, Total 308738 336476 324165 337977  Research & Development 8482 - - -  Depreciation / Amortization 39436 13020 12015 11993  Interest Expense (Income) - Net Operating -752 - - -  Unusual Expense (Income) - 152 1852 2374  Other Operating Expenses, Total -34330 1 - 2","Selling/General/Admin. Expenses, Total 308738 336476 324165 337977  Research & Development 8482 - - -  Depreciation / Amortization 39436 13020 12015 11993  Interest Expense (Income) - Net Operating -752 - - -  Unusual Expense (Income) - 152 1852 2374  Other Operating Expenses, Total -34330 1 - 2"
"Selling/General/Admin. Expenses, Total",308738,336476,324165,337977
Research & Development,8482,-,-,-
Depreciation / Amortization,39436,13020,12015,11993
Interest Expense (Income) - Net Operating,-752,-,-,-
Unusual Expense (Income),-,152,1852,2374
"Other Operating Expenses, Total",-34330,1,-,2
Operating Income,22034,18207,15586,22450
"Interest Income (Expense), Net Non-Operating",-,1710,895,951
Gain (Loss) on Sale of Assets,-1509,-1275,-1545,-1902
"Other, Net",326,1313,1470,1846
Net Income Before Taxes,23217,19955,16406,23345
Provision for Income Taxes,8728,7475,8423,8531
Net Income After Taxes,14489,12480,7983,14814
Minority Interest,44158,-2102,-1026,-955
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,12368,10378,6957,13859
Total Extraordinary Items,-,-,-,-
Net Income,12368,10378,6957,13859
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,12368,10378,6956,13858
Dilution Adjustment,-,-,-,-
Diluted Net Income,12368,10378,6956,13858
Diluted Weighted Average Shares,209.28,213.54,217.39,217.39
Diluted EPS Excluding Extraordinary Items,59.1,48.6,32,63.75
DPS - Common Stock Primary Issue,-,22,22,20
Diluted Normalized EPS,67.89,60.36,46.62,83.28
